Country Name,Country Code,Year,Value
Argentina,ARG,1996,18.7000007629
Argentina,ARG,1997,17.3803005219
Argentina,ARG,1998,-28.5112991333
Argentina,ARG,1999,33.4000015259
Argentina,ARG,2000,-25.1301326752
Argentina,ARG,2001,-31.6675872803
Argentina,ARG,2002,-51.4000015259
Argentina,ARG,2003,131.3899993896
Argentina,ARG,2004,24.6200008392
Argentina,ARG,2005,45.3879423329
Argentina,ARG,2006,57.6475466732
Argentina,ARG,2007,0.66903019213175
Argentina,ARG,2008,-56.160749787
Argentina,ARG,2009,97.8385758533
Argentina,ARG,2010,55.3178821686445
Argentina,ARG,2011,-30.2236032553253
Argentina,ARG,2012,-15.8729748197112
Argentina,ARG,2013,29.59
Argentina,ARG,2014,12.74
Argentina,ARG,2015,-10.2158387523919
Argentina,ARG,2016,13.9766567267658
Argentina,ARG,2017,71.6545451182719
Australia,AUS,1990,-22.4115388274438
Australia,AUS,1991,28.5554932230591
Australia,AUS,1992,-15.5935084655491
Australia,AUS,1993,34.2412
Australia,AUS,1994,0.410455210471916
Australia,AUS,1995,9.84938297616626
Australia,AUS,1996,17.9306320592375
Australia,AUS,1997,-8.8839638525238
Australia,AUS,1998,1.01379592093271
Australia,AUS,1999,18.1843352953621
Australia,AUS,2000,-8.74607449057219
Australia,AUS,2001,-0.278196213139148
Australia,AUS,2002,-2.12706256975032
Australia,AUS,2003,47.1142700244307
Australia,AUS,2004,29.0921634563034
Australia,AUS,2005,11.7041905529075
Australia,AUS,2006,28.5832151425395
Australia,AUS,2007,25.1505157614917
Australia,AUS,2008,-54.0847414573636
Australia,AUS,2009,72.3744821747435
Australia,AUS,2010,12.4909195260715
Australia,AUS,2011,-15.7144146292547
Australia,AUS,2012,15.0242886382768
Australia,AUS,2013,-1.71123184588485
Australia,AUS,2014,-8.28065385379522
Australia,AUS,2015,-12.9619961086404
Australia,AUS,2016,7.00705843849538
Australia,AUS,2017,16.4594260554184
Austria,AUT,1990,8.33296032183433
Austria,AUT,1991,-19.2069590412596
Austria,AUT,1992,-20.0922455117812
Austria,AUT,1993,38.5882
Austria,AUT,1994,-4.87826524913377
Austria,AUT,1995,-4.29857199749673
Austria,AUT,1996,2.16002117932035
Austria,AUT,1997,-1.67093530013757
Austria,AUT,1998,0.213363128421107
Austria,AUT,1999,-6.52710532925679
Austria,AUT,2000,-14.8616285818499
Austria,AUT,2001,-5.33618151308396
Austria,AUT,2002,18.2210790251795
Austria,AUT,2003,57.1492478593941
Austria,AUT,2004,61.3013164949202
Austria,AUT,2005,21.8768485139343
Austria,AUT,2006,37.1214172104393
Austria,AUT,2007,-0.41915105424295
Austria,AUT,2008,-65.3176795753793
Austria,AUT,2009,57.0214923356471
Austria,AUT,2010,10.9048179087599
Austria,AUT,2011,-35.8361630708702
Austria,AUT,2012,29.8517547112932
Austria,AUT,2013,12.5680450801661
Austria,AUT,2014,-21.0825851483827
Austria,AUT,2015,0.819819900213004
Austria,AUT,2016,4.1701634500833
Austria,AUT,2017,55.4606998005826
Bahrain,BHR,1999,3.5
Bahrain,BHR,2001,-2.9246892929
Bahrain,BHR,2002,7.4400000572
Bahrain,BHR,2004,35.4000015259
Bahrain,BHR,2005,20.8011809703
Bahrain,BHR,2006,-2.2440704327
Bahrain,BHR,2007,34.9906244672993
Bahrain,BHR,2009,-19.9687927902
Bahrain,BHR,2010,9.96791011925158
Bahrain,BHR,2011,-14.3684307022993
Bahrain,BHR,2012,-4.4748450754671
Bahrain,BHR,2013,35.8313389524081
Bahrain,BHR,2014,4.12569134932708
Bahrain,BHR,2015,-12.3409493724338
Bahrain,BHR,2016,18.5516927195231
Bahrain,BHR,2017,5.29848873232088
Bangladesh,BGD,1997,-67.659797668457
Bangladesh,BGD,1998,-38.4791984558105
Bangladesh,BGD,1999,-17.5
Bangladesh,BGD,2000,28.4874286652
Bangladesh,BGD,2001,-20.6722431183
Bangladesh,BGD,2002,-4.2399997711
Bangladesh,BGD,2003,15.3699998856
Bangladesh,BGD,2004,104.3000030518
Bangladesh,BGD,2005,-27.7493831512
Bangladesh,BGD,2006,12.8552262471
Bangladesh,BGD,2007,126.391440613855
Bangladesh,BGD,2008,4.253389345
Bangladesh,BGD,2009,38.6369413514
Bangladesh,BGD,2010,37.6415050238572
Bangladesh,BGD,2011,-42.3084397147464
Bangladesh,BGD,2012,-14.3200475570802
Bangladesh,BGD,2013,-1.37650183718355
Bangladesh,BGD,2014,18.5413545960869
Bangladesh,BGD,2015,-5.37624941281915
Bangladesh,BGD,2016,7.38073240978265
Bangladesh,BGD,2017,22.4545269511421
Belgium,BEL,1990,-11.6493907175993
Belgium,BEL,1991,7.58605789280637
Belgium,BEL,1992,-6.59486925616824
Belgium,BEL,1993,21.05
Belgium,BEL,1994,5.69698471705908
Belgium,BEL,1995,22.3705745070975
Belgium,BEL,1996,12.2101188936472
Belgium,BEL,1997,13.9582789037469
Belgium,BEL,1998,63.832936080604
Belgium,BEL,1999,-13.6737505537224
Belgium,BEL,2000,-16.5132061291922
Belgium,BEL,2001,-15.9272786341013
Belgium,BEL,2002,-17.3525155675776
Belgium,BEL,2003,34.8841371761287
Belgium,BEL,2004,40.0105705382579
Belgium,BEL,2005,6.77123578728092
Belgium,BEL,2006,43.8478360175731
Belgium,BEL,2007,-3.13109730501218
Belgium,BEL,2008,-65.5731620277421
Belgium,BEL,2009,54.4694201872394
Belgium,BEL,2010,0.502780286766202
Belgium,BEL,2011,-15.0585121778465
Belgium,BEL,2012,33.319350475813
Belgium,BEL,2013,23.4567032384176
Belgium,BEL,2014,1.25849576902628
Belgium,BEL,2015,9.37057341767897
Belgium,BEL,2016,-7.73870372417026
Belgium,BEL,2017,16.7693467101374
Botswana,BWA,1997,99.7742004394531
Botswana,BWA,1998,9.19250011444092
Botswana,BWA,1999,45.5999984741211
Botswana,BWA,2000,-6.913131237
Botswana,BWA,2001,43.9385375977
Botswana,BWA,2002,31.1499996185
Botswana,BWA,2003,25.5699996948
Botswana,BWA,2004,21.1000003815
Botswana,BWA,2005,-3.2418952618
Botswana,BWA,2006,53.0178069353
Botswana,BWA,2007,37.2144300851351
Botswana,BWA,2008,-38.4063146305
Botswana,BWA,2009,24.3338143668
Botswana,BWA,2010,-6.76803855778088
Botswana,BWA,2011,-7.48314427715363
Botswana,BWA,2012,8.09822546366208
Botswana,BWA,2013,8.17236581107828
Botswana,BWA,2014,-0.754624585409391
Botswana,BWA,2015,-2.74850584499394
Botswana,BWA,2016,-11.3185178008699
Botswana,BWA,2017,-0.753817580011973
Brazil,BRA,1996,29.7999992371
Brazil,BRA,1997,21.7630004883
Brazil,BRA,1998,-43.0027999878
Brazil,BRA,1999,66.9000015259
Brazil,BRA,2000,-10.3367166519
Brazil,BRA,2001,-22.5126304626
Brazil,BRA,2002,-32.9599990845
Brazil,BRA,2003,105.3700027466
Brazil,BRA,2004,33.6800003052
Brazil,BRA,2005,47.6437026314
Brazil,BRA,2006,43.0665943776
Brazil,BRA,2007,74.671633487337
Brazil,BRA,2008,-57.1782692388
Brazil,BRA,2009,125.1100585124
Brazil,BRA,2010,6.50041169396876
Brazil,BRA,2011,-24.4143306774468
Brazil,BRA,2012,-0.269773966585163
Brazil,BRA,2013,-19.1393488526925
Brazil,BRA,2014,-18.3777239149514
Brazil,BRA,2015,-44.2980795091941
Brazil,BRA,2016,62.5686403581319
Brazil,BRA,2017,22.5894409958877
Bulgaria,BGR,1997,-70.5053024291992
Bulgaria,BGR,1998,-30.0797004699707
Bulgaria,BGR,1999,-23.7000007629395
Bulgaria,BGR,2000,-29.9595146179
Bulgaria,BGR,2001,-7.5144510269
Bulgaria,BGR,2002,62.5
Bulgaria,BGR,2003,189.2299957275
Bulgaria,BGR,2004,82.6999969482
Bulgaria,BGR,2005,16.4483260553
Bulgaria,BGR,2006,31.4375
Bulgaria,BGR,2007,39.0394674274845
Bulgaria,BGR,2008,-70.2120383037
Bulgaria,BGR,2009,17.2226949347
Bulgaria,BGR,2010,-15.1638477266015
Bulgaria,BGR,2011,-22.1000412701959
Bulgaria,BGR,2012,-8.07436493850022
Bulgaria,BGR,2013,43.1252771041637
Bulgaria,BGR,2014,-21.6286274331472
Bulgaria,BGR,2015,-20.1957451080887
Bulgaria,BGR,2016,15.5458813705494
Bulgaria,BGR,2017,36.1176644104624
Canada,CAN,1990,-17.0886817527296
Canada,CAN,1991,7.55628115755005
Canada,CAN,1992,-13.5588180378543
Canada,CAN,1993,23.516
Canada,CAN,1994,-7.46478189060527
Canada,CAN,1995,15.3231352333157
Canada,CAN,1996,25.2872516776105
Canada,CAN,1997,7.62350846703261
Canada,CAN,1998,-10.0600348843752
Canada,CAN,1999,33.1289337586479
Canada,CAN,2000,3.97284863749783
Canada,CAN,2001,-18.1290012044572
Canada,CAN,2002,-12.3554642863058
Canada,CAN,2003,53.622410674245
Canada,CAN,2004,22.2693130847636
Canada,CAN,2005,25.9754548109717
Canada,CAN,2006,16.2632299884529
Canada,CAN,2007,26.4269936425428
Canada,CAN,2008,-49.0401766877494
Canada,CAN,2009,57.5330904314842
Canada,CAN,2010,22.0277204306522
Canada,CAN,2011,-14.7064259140067
Canada,CAN,2012,5.99381772938306
Canada,CAN,2013,2.97976062435605
Canada,CAN,2014,-2.13617344817959
Canada,CAN,2015,-26.1668346573362
Canada,CAN,2016,22.562032632035
Canada,CAN,2017,13.7467201753953
Chile,CHL,1996,-17.1000003815
Chile,CHL,1997,3.6168000698
Chile,CHL,1998,-29.7670001984
Chile,CHL,1999,35.7999992371
Chile,CHL,2000,-15.2117872238
Chile,CHL,2001,-8.3286828995
Chile,CHL,2002,-14.8400001526
Chile,CHL,2003,79.4700012207
Chile,CHL,2004,18.2800006866
Chile,CHL,2005,14.652299618
Chile,CHL,2006,28.6281420267
Chile,CHL,2007,22.6305015353122
Chile,CHL,2008,-41.242865306
Chile,CHL,2009,83.9903475206
Chile,CHL,2010,47.2403307767836
Chile,CHL,2011,-24.1365742906758
Chile,CHL,2012,11.4041137615063
Chile,CHL,2013,-22.0593723612252
Chile,CHL,2014,-12.8960164797768
Chile,CHL,2015,-19.1565736233617
Chile,CHL,2016,16.6554767704287
Chile,CHL,2017,41.6367778470976
China,CHN,1996,36.2999992371
China,CHN,1997,-25
China,CHN,1998,-52.6497001648
China,CHN,1999,102.1999969482
China,CHN,2000,-9.8035507202
China,CHN,2001,-19.4764404297
China,CHN,2002,-14.5100002289
China,CHN,2003,77.6699981689
China,CHN,2004,-2.1099998951
China,CHN,2005,13.3111771908
China,CHN,2006,80.7193578265
China,CHN,2007,66.6097206799351
China,CHN,2008,-52.7044347603
China,CHN,2009,66.2637916011
China,CHN,2010,6.91468273403615
China,CHN,2011,-21.6726736051879
China,CHN,2012,17.1711747606138
China,CHN,2013,7.26434807444456
China,CHN,2014,3.02638337253336
China,CHN,2015,-6.00718204917274
China,CHN,2016,-2.02499777737666
China,CHN,2017,46.0300246028568
Colombia,COL,1996,5.90000009536743
Colombia,COL,1997,30.3687000274658
Colombia,COL,1998,-46.7705993652344
Colombia,COL,1999,-19.7000007629395
Colombia,COL,2000,-43.7677230835
Colombia,COL,2001,25.191947937
Colombia,COL,2002,9.7299995422
Colombia,COL,2003,27.2700004578
Colombia,COL,2004,115.3899993896
Colombia,COL,2005,108.0565572215
Colombia,COL,2006,12.6576396807
Colombia,COL,2007,12.7362393504
Colombia,COL,2009,75.7217160445
Colombia,COL,2010,44.0582676379378
Colombia,COL,2011,-12.0037784367257
Colombia,COL,2012,29.1424334306926
Colombia,COL,2013,-17.8416965096053
Colombia,COL,2014,-19.7966430247872
Colombia,COL,2015,-41.0415907062282
Colombia,COL,2016,22.6975460896323
Colombia,COL,2017,11.8752264387045
Cote d'Ivoire,CIV,1997,-10.5727996826172
Cote d'Ivoire,CIV,1998,4.41900014877319
Cote d'Ivoire,CIV,1999,-12.1000003814697
Cote d'Ivoire,CIV,2000,-25.5789470673
Cote d'Ivoire,CIV,2001,-2.3691654205
Cote d'Ivoire,CIV,2002,17.3600006104
Cote d'Ivoire,CIV,2003,27.3600006104
Cote d'Ivoire,CIV,2004,41.0999984741
Cote d'Ivoire,CIV,2005,16.8660218623
Cote d'Ivoire,CIV,2006,35.5533790402
Cote d'Ivoire,CIV,2007,115.556358381503
Cote d'Ivoire,CIV,2008,-16.9392954111
Cote d'Ivoire,CIV,2009,-10.7101824561
Cote d'Ivoire,CIV,2010,19.3249243859278
Cote d'Ivoire,CIV,2011,-15.1533511617011
Cote d'Ivoire,CIV,2012,27.1939276115438
Cote d'Ivoire,CIV,2013,37.4827405658476
Cote d'Ivoire,CIV,2014,0.0443070411803248
Cote d'Ivoire,CIV,2015,7.589782196825
Cote d'Ivoire,CIV,2016,-1.25730575112568
Cote d'Ivoire,CIV,2017,-2.48825226175259
Croatia,HRV,1998,-33.7900009155273
Croatia,HRV,1999,-18.1000003814697
Croatia,HRV,2000,10.9040594101
Croatia,HRV,2001,-3.5102312565
Croatia,HRV,2002,44.1899986267
Croatia,HRV,2003,12.7899999619
Croatia,HRV,2004,-7.6999998093
Croatia,HRV,2005,7.4176139626
Croatia,HRV,2006,85.1523249599
Croatia,HRV,2007,68.0618901910975
Croatia,HRV,2008,-59.2785984198
Croatia,HRV,2009,31.1147778051
Croatia,HRV,2010,-0.404287143330984
Croatia,HRV,2011,-30.3401615551312
Croatia,HRV,2012,-5.20249033406598
Croatia,HRV,2013,3.19653004295573
Croatia,HRV,2014,-12.6860519832889
Croatia,HRV,2015,-4.71678581799282
Croatia,HRV,2016,15.5085110869424
Croatia,HRV,2017,6.38562099797713
Cyprus,CYP,2011,-71.9066555204386
Cyprus,CYP,2012,-41.2476515414393
Cyprus,CYP,2013,-56.8169279021725
Cyprus,CYP,2014,-43.3293447463191
Cyprus,CYP,2015,-40.9004532829316
