Country Name,Country Code,Year,Value
Arab World,ARB,2013,52.0899858582429
Arab World,ARB,2014,54.6802172434566
Arab World,ARB,2015,52.751837497673
Arab World,ARB,2016,55.1526782004081
Central Europe and the Baltics,CEB,1995,6.0441918096494
Central Europe and the Baltics,CEB,1996,9.29472450004155
Central Europe and the Baltics,CEB,1997,10.3772433523104
Central Europe and the Baltics,CEB,1998,10.125229366748
Central Europe and the Baltics,CEB,1999,12.8615559020544
Central Europe and the Baltics,CEB,2000,13.4510953031662
Central Europe and the Baltics,CEB,2001,10.9562020197771
Central Europe and the Baltics,CEB,2002,13.9917553522784
Central Europe and the Baltics,CEB,2003,14.954358489017
Central Europe and the Baltics,CEB,2004,22.8080000522101
Central Europe and the Baltics,CEB,2005,24.8012339090121
Central Europe and the Baltics,CEB,2006,34.3376207133984
Central Europe and the Baltics,CEB,2007,41.4861761491203
Central Europe and the Baltics,CEB,2008,15.4272539890957
Central Europe and the Baltics,CEB,2009,24.8529100342539
Central Europe and the Baltics,CEB,2010,27.2116542268461
Central Europe and the Baltics,CEB,2011,19.0044445671306
Early-demographic dividend,EAR,1996,38.2482753389133
Early-demographic dividend,EAR,1997,34.652775664031
Early-demographic dividend,EAR,1998,25.2713207979877
Early-demographic dividend,EAR,1999,39.9051086834355
Early-demographic dividend,EAR,2000,28.238273864738
Early-demographic dividend,EAR,2001,23.0379859785282
Early-demographic dividend,EAR,2003,36.22334212741
Early-demographic dividend,EAR,2004,46.0586801153542
Early-demographic dividend,EAR,2005,51.927017460637
Early-demographic dividend,EAR,2006,62.3117097231734
Early-demographic dividend,EAR,2007,83.4978506849014
Early-demographic dividend,EAR,2008,36.1676287743112
Early-demographic dividend,EAR,2009,65.0044021238815
Early-demographic dividend,EAR,2010,67.3058444992087
Early-demographic dividend,EAR,2011,46.6710507124514
Early-demographic dividend,EAR,2012,54.6907415926587
Early-demographic dividend,EAR,2013,55.0989639538564
Early-demographic dividend,EAR,2014,57.7281565739316
Early-demographic dividend,EAR,2015,53.2593797963094
Early-demographic dividend,EAR,2016,56.0494040123102
East Asia & Pacific,EAS,1978,4.59028328633442
East Asia & Pacific,EAS,1979,28.7887368562669
East Asia & Pacific,EAS,1980,37.3448798989025
East Asia & Pacific,EAS,1981,36.8498321517962
East Asia & Pacific,EAS,1982,34.5772763187865
East Asia & Pacific,EAS,1983,42.0465319986854
East Asia & Pacific,EAS,1984,44.7988898983006
East Asia & Pacific,EAS,1985,61.023320853753
East Asia & Pacific,EAS,1986,81.2740200326894
East Asia & Pacific,EAS,1987,100.859684363271
East Asia & Pacific,EAS,1988,113.885638691025
East Asia & Pacific,EAS,1989,124.087605971542
East Asia & Pacific,EAS,1990,82.2045175199418
East Asia & Pacific,EAS,1991,76.9532137861922
East Asia & Pacific,EAS,1992,57.6983132442651
East Asia & Pacific,EAS,1993,74.3429499699802
East Asia & Pacific,EAS,1994,77.669585589013
East Asia & Pacific,EAS,1995,68.3374687655318
East Asia & Pacific,EAS,1996,70.6278276258648
East Asia & Pacific,EAS,1997,52.3897816536036
East Asia & Pacific,EAS,1998,66.3692616952095
East Asia & Pacific,EAS,1999,103.937832391862
East Asia & Pacific,EAS,2000,71.0810567568082
East Asia & Pacific,EAS,2001,64.3269525230237
East Asia & Pacific,EAS,2002,60.5714170542926
East Asia & Pacific,EAS,2003,71.0485475070346
East Asia & Pacific,EAS,2004,75.5155830575988
East Asia & Pacific,EAS,2005,86.4365790272671
East Asia & Pacific,EAS,2006,102.693339775448
East Asia & Pacific,EAS,2007,133.064521662604
East Asia & Pacific,EAS,2008,60.7689976023067
East Asia & Pacific,EAS,2009,92.3324273153938
East Asia & Pacific,EAS,2010,94.9858386220429
East Asia & Pacific,EAS,2011,70.8105906658482
East Asia & Pacific,EAS,2012,75.7006961411633
East Asia & Pacific,EAS,2013,82.6225435386109
East Asia & Pacific,EAS,2014,90.1075277426904
East Asia & Pacific,EAS,2015,100.308456263018
East Asia & Pacific,EAS,2016,95.1586577768093
East Asia & Pacific (excluding high income),EAP,2003,38.6520520718477
East Asia & Pacific (excluding high income),EAP,2004,32.4367880040876
East Asia & Pacific (excluding high income),EAP,2005,27.5019744583752
East Asia & Pacific (excluding high income),EAP,2006,47.4843538634046
East Asia & Pacific (excluding high income),EAP,2007,115.148166668654
East Asia & Pacific (excluding high income),EAP,2008,37.6993783273039
East Asia & Pacific (excluding high income),EAP,2009,67.9329153636129
East Asia & Pacific (excluding high income),EAP,2010,67.7637762087528
East Asia & Pacific (excluding high income),EAP,2011,49.0494130919194
East Asia & Pacific (excluding high income),EAP,2012,49.48704703966
East Asia & Pacific (excluding high income),EAP,2013,46.1957131005795
East Asia & Pacific (excluding high income),EAP,2014,60.5662097424689
East Asia & Pacific (excluding high income),EAP,2015,72.9634476647837
East Asia & Pacific (excluding high income),EAP,2016,66.2816507072076
East Asia & Pacific (IDA & IBRD countries),TEA,2003,38.6520520718477
East Asia & Pacific (IDA & IBRD countries),TEA,2004,32.4367880040876
East Asia & Pacific (IDA & IBRD countries),TEA,2005,27.5019744583752
East Asia & Pacific (IDA & IBRD countries),TEA,2006,47.4843538634046
East Asia & Pacific (IDA & IBRD countries),TEA,2007,115.148166668654
East Asia & Pacific (IDA & IBRD countries),TEA,2008,37.6993783273039
East Asia & Pacific (IDA & IBRD countries),TEA,2009,67.9329153636129
East Asia & Pacific (IDA & IBRD countries),TEA,2010,67.7637762087528
East Asia & Pacific (IDA & IBRD countries),TEA,2011,49.0494130919194
East Asia & Pacific (IDA & IBRD countries),TEA,2012,49.48704703966
East Asia & Pacific (IDA & IBRD countries),TEA,2013,46.1957131005795
East Asia & Pacific (IDA & IBRD countries),TEA,2014,60.5662097424689
East Asia & Pacific (IDA & IBRD countries),TEA,2015,72.9634476647837
East Asia & Pacific (IDA & IBRD countries),TEA,2016,66.2816507072076
Euro area,EMU,1975,12.7222278264265
Euro area,EMU,1976,11.0673836716135
Euro area,EMU,1977,9.90280020015651
Euro area,EMU,1978,11.6805608599222
Euro area,EMU,1979,9.47062463787517
Euro area,EMU,1980,7.99944996230792
Euro area,EMU,1981,7.57010559157726
Euro area,EMU,1982,7.63639938879712
Euro area,EMU,1983,9.69516874912559
Euro area,EMU,1984,10.4899997839945
Euro area,EMU,1985,20.0194800789603
Euro area,EMU,1986,23.2629056564607
Euro area,EMU,1987,19.3843962531833
Euro area,EMU,1988,22.349428026687
Euro area,EMU,1989,31.5948555353849
Euro area,EMU,1990,22.9677189127161
Euro area,EMU,1991,25.2694591947138
Euro area,EMU,1992,20.444368769035
Euro area,EMU,1993,27.7315344669118
Euro area,EMU,1994,29.4028376165229
Euro area,EMU,1995,29.2338435415842
Euro area,EMU,1996,35.4581944301125
Euro area,EMU,1997,47.4708218337595
Euro area,EMU,1998,64.1950951652719
Euro area,EMU,1999,79.7200571138651
Euro area,EMU,2000,84.1226848228968
Euro area,EMU,2001,66.5180464678827
Euro area,EMU,2002,49.0120571869707
Euro area,EMU,2003,56.4156219442508
Euro area,EMU,2004,58.9107874921823
Euro area,EMU,2005,59.6509810980995
Euro area,EMU,2006,76.8115809096111
Euro area,EMU,2007,80.2945452435685
Euro area,EMU,2008,36.3492015281974
Euro area,EMU,2009,53.0527689865375
Euro area,EMU,2010,52.280870401887
Euro area,EMU,2011,40.7377627397655
Euro area,EMU,2012,49.9171659259622
Euro area,EMU,2013,60.1288030542796
Euro area,EMU,2014,53.8697798368534
Euro area,EMU,2015,64.9842246176731
Euro area,EMU,2016,63.9333384460207
Europe & Central Asia,ECS,1975,15.7012211610116
Europe & Central Asia,ECS,1976,13.3585100311519
Europe & Central Asia,ECS,1977,15.0543396922729
Europe & Central Asia,ECS,1978,15.5216888440054
Europe & Central Asia,ECS,1979,8.96692302198425
Europe & Central Asia,ECS,1980,8.7932207783128
Europe & Central Asia,ECS,1981,14.0020998213669
Europe & Central Asia,ECS,1982,14.5577102314654
Europe & Central Asia,ECS,1983,18.3371364421499
Europe & Central Asia,ECS,1984,21.6448806525913
Europe & Central Asia,ECS,1985,32.3797666252144
Europe & Central Asia,ECS,1986,35.3201643424331
Europe & Central Asia,ECS,1987,33.835213925978
Europe & Central Asia,ECS,1988,35.1764735490941
Europe & Central Asia,ECS,1989,44.7763604935331
Europe & Central Asia,ECS,1990,34.5304096969092
Europe & Central Asia,ECS,1991,38.2370697224549
Europe & Central Asia,ECS,1992,32.4594195390079
Europe & Central Asia,ECS,1993,43.0732655975548
