Country Name,Country Code,Year,Value
Arab World,ARB,2008,1249
Arab World,ARB,2009,1207
Arab World,ARB,2010,1133
Arab World,ARB,2011,1338
Arab World,ARB,2012,1333
Arab World,ARB,2013,1355
Arab World,ARB,2014,1184
Arab World,ARB,2015,1188
Arab World,ARB,2016,1187
Arab World,ARB,2017,1172
Caribbean small states,CSS,2017,88
Central Europe and the Baltics,CEB,1993,88
Central Europe and the Baltics,CEB,1994,191
Central Europe and the Baltics,CEB,1995,291
Central Europe and the Baltics,CEB,1996,382
Central Europe and the Baltics,CEB,1997,572
Central Europe and the Baltics,CEB,1998,789
Central Europe and the Baltics,CEB,1999,849
Central Europe and the Baltics,CEB,2000,827
Central Europe and the Baltics,CEB,2001,1144
Central Europe and the Baltics,CEB,2002,1040
Central Europe and the Baltics,CEB,2003,1073
Central Europe and the Baltics,CEB,2004,992
Central Europe and the Baltics,CEB,2005,991
Central Europe and the Baltics,CEB,2006,1178
Central Europe and the Baltics,CEB,2007,1433
Central Europe and the Baltics,CEB,2008,1522
Central Europe and the Baltics,CEB,2009,1448
Central Europe and the Baltics,CEB,2010,1499
Central Europe and the Baltics,CEB,2011,1740
Central Europe and the Baltics,CEB,2012,1717
Central Europe and the Baltics,CEB,2013,1710
Central Europe and the Baltics,CEB,2014,1258
Central Europe and the Baltics,CEB,2015,1246
Central Europe and the Baltics,CEB,2016,1186
Central Europe and the Baltics,CEB,2017,1178
Early-demographic dividend,EAR,1991,4596
Early-demographic dividend,EAR,1992,4893
Early-demographic dividend,EAR,1993,6858
Early-demographic dividend,EAR,1994,8267
Early-demographic dividend,EAR,1995,9636
Early-demographic dividend,EAR,1996,10487
Early-demographic dividend,EAR,1997,11153
Early-demographic dividend,EAR,1998,11260
Early-demographic dividend,EAR,1999,11502
Early-demographic dividend,EAR,2000,11473
Early-demographic dividend,EAR,2001,11016
Early-demographic dividend,EAR,2002,10581
Early-demographic dividend,EAR,2003,10327
Early-demographic dividend,EAR,2004,9435
Early-demographic dividend,EAR,2005,9444
Early-demographic dividend,EAR,2006,9306
Early-demographic dividend,EAR,2007,9408
Early-demographic dividend,EAR,2008,9446
Early-demographic dividend,EAR,2009,9386
Early-demographic dividend,EAR,2010,9421
Early-demographic dividend,EAR,2011,9679
Early-demographic dividend,EAR,2012,9638
Early-demographic dividend,EAR,2013,9706
Early-demographic dividend,EAR,2014,9729
Early-demographic dividend,EAR,2015,9854
Early-demographic dividend,EAR,2016,9844
