Country Name,Country Code,Year,Value
Arab World,ARB,1990,7.2415212459437
Arab World,ARB,1991,6.69071124370349
Arab World,ARB,1992,5.76901813258006
Arab World,ARB,1993,5.38748187078984
Arab World,ARB,1994,5.32098508196058
Arab World,ARB,1995,5.08106281845763
Arab World,ARB,1996,5.3000683462729
Arab World,ARB,1997,5.17146502773086
Arab World,ARB,1998,4.81046443732312
Arab World,ARB,1999,4.84660501000953
Arab World,ARB,2000,4.464523630726
Arab World,ARB,2001,4.61775354537859
Arab World,ARB,2002,3.75588977195501
Arab World,ARB,2003,3.94413212202338
Arab World,ARB,2004,3.9135459576725
Arab World,ARB,2005,4.47445355615319
Arab World,ARB,2006,4.11950310044185
Arab World,ARB,2007,4.15020980059449
Arab World,ARB,2008,3.36273534553699
Arab World,ARB,2009,3.32848576738529
Arab World,ARB,2010,3.85400991246685
Arab World,ARB,2011,3.54915660487484
Arab World,ARB,2012,3.59163850508694
Arab World,ARB,2013,3.72032235311628
Arab World,ARB,2014,3.36583671450004
Caribbean small states,CSS,1990,3.16028177168774
Caribbean small states,CSS,1991,2.43022136669875
Caribbean small states,CSS,1992,2.37279448752385
Caribbean small states,CSS,1993,2.63523828972063
Caribbean small states,CSS,1994,2.82530739846029
Caribbean small states,CSS,1995,3.20547290434367
Caribbean small states,CSS,1996,3.52217905477522
Caribbean small states,CSS,1997,3.46285699040911
Caribbean small states,CSS,1998,2.95056857857904
Caribbean small states,CSS,1999,2.87073735236563
Caribbean small states,CSS,2000,8.66685336758955
Caribbean small states,CSS,2001,8.11142969671362
Caribbean small states,CSS,2002,7.50332970610934
Caribbean small states,CSS,2003,6.43642952432957
Caribbean small states,CSS,2004,6.54642353710725
Caribbean small states,CSS,2005,5.80292220594843
Caribbean small states,CSS,2006,7.46687320416789
Caribbean small states,CSS,2007,8.18961622051477
Caribbean small states,CSS,2008,9.76690657681481
Caribbean small states,CSS,2009,9.81823469674787
Caribbean small states,CSS,2010,9.28263385334104
Caribbean small states,CSS,2011,9.14309173528311
Caribbean small states,CSS,2012,9.44761728765285
Caribbean small states,CSS,2013,9.32733118118558
Caribbean small states,CSS,2014,9.35474648041204
Central Europe and the Baltics,CEB,1990,6.96016099942201
Central Europe and the Baltics,CEB,1991,8.25593296078649
Central Europe and the Baltics,CEB,1992,7.57504648329807
Central Europe and the Baltics,CEB,1993,8.30512392448953
Central Europe and the Baltics,CEB,1994,9.06052347405769
Central Europe and the Baltics,CEB,1995,9.99511655243325
Central Europe and the Baltics,CEB,1996,9.76068307259541
Central Europe and the Baltics,CEB,1997,9.86816856002457
Central Europe and the Baltics,CEB,1998,10.7670217097791
Central Europe and the Baltics,CEB,1999,10.9056054095661
Central Europe and the Baltics,CEB,2000,9.5589294868312
Central Europe and the Baltics,CEB,2001,9.49615057946793
Central Europe and the Baltics,CEB,2002,9.48201947984195
Central Europe and the Baltics,CEB,2003,7.81580068423665
Central Europe and the Baltics,CEB,2004,10.0202451088771
Central Europe and the Baltics,CEB,2005,11.3215735053697
Central Europe and the Baltics,CEB,2006,10.6279704509289
Central Europe and the Baltics,CEB,2007,9.69757193829846
Central Europe and the Baltics,CEB,2008,10.8744255241138
Central Europe and the Baltics,CEB,2009,12.6970372477295
Central Europe and the Baltics,CEB,2010,15.2231558097185
Central Europe and the Baltics,CEB,2011,13.1905038609269
Central Europe and the Baltics,CEB,2012,14.9626454615149
Central Europe and the Baltics,CEB,2013,17.9413247824569
Central Europe and the Baltics,CEB,2014,20.5052777670024
Early-demographic dividend,EAR,1990,26.0203870414001
Early-demographic dividend,EAR,1991,25.5117508748064
Early-demographic dividend,EAR,1992,25.2147601859534
Early-demographic dividend,EAR,1993,25.2530417037994
Early-demographic dividend,EAR,1994,24.9537128595291
Early-demographic dividend,EAR,1995,24.0154400656561
Early-demographic dividend,EAR,1996,23.4452833969231
Early-demographic dividend,EAR,1997,22.689281831132
Early-demographic dividend,EAR,1998,22.240693595743
Early-demographic dividend,EAR,1999,21.5528787108098
Early-demographic dividend,EAR,2000,20.6836228843288
Early-demographic dividend,EAR,2001,19.7524684721866
Early-demographic dividend,EAR,2002,19.2679490057842
Early-demographic dividend,EAR,2003,19.1117407001427
Early-demographic dividend,EAR,2004,19.6943038304824
Early-demographic dividend,EAR,2005,20.2291579410282
Early-demographic dividend,EAR,2006,20.7212934945709
Early-demographic dividend,EAR,2007,19.5112740010322
Early-demographic dividend,EAR,2008,19.0238911324056
Early-demographic dividend,EAR,2009,18.274434346169
Early-demographic dividend,EAR,2010,18.7622943139682
Early-demographic dividend,EAR,2011,19.1115411995576
Early-demographic dividend,EAR,2012,18.4442532955228
Early-demographic dividend,EAR,2013,18.9047768403105
Early-demographic dividend,EAR,2014,17.9936625586822
East Asia & Pacific,EAS,1990,15.780707014757
East Asia & Pacific,EAS,1991,15.0654693557721
East Asia & Pacific,EAS,1992,14.0385163146265
East Asia & Pacific,EAS,1993,14.6076423171016
East Asia & Pacific,EAS,1994,13.3558996358104
East Asia & Pacific,EAS,1995,14.2853159082478
East Asia & Pacific,EAS,1996,13.3809368757747
East Asia & Pacific,EAS,1997,13.140489481289
East Asia & Pacific,EAS,1998,13.5120520633153
East Asia & Pacific,EAS,1999,12.8700737470654
East Asia & Pacific,EAS,2000,12.7979376023873
East Asia & Pacific,EAS,2001,13.6880915875378
East Asia & Pacific,EAS,2002,12.9987544107896
East Asia & Pacific,EAS,2003,12.3908101562487
East Asia & Pacific,EAS,2004,12.9582139702412
East Asia & Pacific,EAS,2005,12.6505331249044
East Asia & Pacific,EAS,2006,12.8601592714769
