Country Name,Country Code,Year,Value
Arab World,ARB,1971,1.39991937624746
Arab World,ARB,1972,1.42345737153683
Arab World,ARB,1973,1.24094066506683
Arab World,ARB,1974,1.38793939022939
Arab World,ARB,1975,1.37205327679939
Arab World,ARB,1976,1.4423313326057
Arab World,ARB,1977,1.50783251522931
Arab World,ARB,1978,1.38661971279844
Arab World,ARB,1979,1.24447584762432
Arab World,ARB,1980,1.11138126552984
Arab World,ARB,1981,0.970610028719356
Arab World,ARB,1982,0.874438681612932
Arab World,ARB,1983,0.750300966099109
Arab World,ARB,1984,0.759656925413816
Arab World,ARB,1985,0.693671440887744
Arab World,ARB,1986,0.660358566753548
Arab World,ARB,1987,0.689413517186446
Arab World,ARB,1988,0.635368371065828
Arab World,ARB,1989,0.642140751459732
Arab World,ARB,1990,0.701423267107997
Arab World,ARB,1991,0.62661558838731
Arab World,ARB,1992,0.546448884549574
Arab World,ARB,1993,0.519674703701069
Arab World,ARB,1994,0.511641960485938
Arab World,ARB,1995,0.498467025909331
Arab World,ARB,1996,0.524785373274306
Arab World,ARB,1997,0.522568667922334
Arab World,ARB,1998,0.518587256178283
Arab World,ARB,1999,0.546176257906295
Arab World,ARB,2000,0.524511478508182
Arab World,ARB,2001,0.534412317403849
Arab World,ARB,2002,0.443465855999075
Arab World,ARB,2003,0.481076598491973
Arab World,ARB,2004,0.47610758164165
Arab World,ARB,2005,0.553522810058793
Arab World,ARB,2006,0.513033152834303
Arab World,ARB,2007,0.525936319830539
Arab World,ARB,2008,0.431715154367518
Arab World,ARB,2009,0.427774064352034
Arab World,ARB,2010,0.514010867430058
Arab World,ARB,2011,0.490512133862926
Arab World,ARB,2012,0.48494121416899
Arab World,ARB,2013,0.523547796250002
Arab World,ARB,2014,0.496316000381638
Caribbean small states,CSS,1971,0.2331363421605
Caribbean small states,CSS,1972,0.230949565345909
Caribbean small states,CSS,1973,0.153257808470941
Caribbean small states,CSS,1974,0.194110668982477
Caribbean small states,CSS,1975,0.225179848062566
Caribbean small states,CSS,1976,0.188835735865515
Caribbean small states,CSS,1977,0.17701274098961
Caribbean small states,CSS,1978,0.165466047922916
Caribbean small states,CSS,1979,0.159795668357905
