Country Name,Country Code,Year,Value
Caribbean small states,CSS,2006,53.4626403130905
Caribbean small states,CSS,2007,52.1287042952985
Europe & Central Asia (excluding high income),ECA,1998,103.019939732253
Europe & Central Asia (excluding high income),ECA,2008,17.5903060619718
Europe & Central Asia (excluding high income),ECA,2009,22.4939871690063
Europe & Central Asia (excluding high income),ECA,2010,21.5100442795215
Europe & Central Asia (excluding high income),ECA,2011,20.7603834681226
Europe & Central Asia (excluding high income),ECA,2012,19.9152303724875
Europe & Central Asia (excluding high income),ECA,2013,18.38044924549
Europe & Central Asia (excluding high income),ECA,2014,20.8631538422363
Europe & Central Asia (excluding high income),ECA,2015,22.6030293887886
Europe & Central Asia (excluding high income),ECA,2016,24.0112120049889
Europe & Central Asia (IDA & IBRD countries),TEC,2008,17.5903060619718
Europe & Central Asia (IDA & IBRD countries),TEC,2009,22.4939871690063
Europe & Central Asia (IDA & IBRD countries),TEC,2010,21.5100442795215
Europe & Central Asia (IDA & IBRD countries),TEC,2011,20.7603834681226
Europe & Central Asia (IDA & IBRD countries),TEC,2012,19.9152303724875
Europe & Central Asia (IDA & IBRD countries),TEC,2013,18.38044924549
Europe & Central Asia (IDA & IBRD countries),TEC,2014,20.8631538422363
Europe & Central Asia (IDA & IBRD countries),TEC,2015,22.6030293887886
Europe & Central Asia (IDA & IBRD countries),TEC,2016,24.0112120049889
High income,HIC,1990,37.8831586830923
High income,HIC,1991,41.8710223564795
High income,HIC,1992,43.9340732160908
Lower middle income,LMC,1990,54.2430406616911
Lower middle income,LMC,1991,51.827753860148
Lower middle income,LMC,1992,51.6657160947629
Lower middle income,LMC,1993,53.5091183692743
Lower middle income,LMC,1998,54.8544991188592
Lower middle income,LMC,1999,51.9803840583377
Lower middle income,LMC,2003,55.5604084716023
Lower middle income,LMC,2008,45.3571095438898
Lower middle income,LMC,2009,45.2743194778391
Lower middle income,LMC,2010,42.3405433547154
Lower middle income,LMC,2011,41.6088829820006
Lower middle income,LMC,2012,41.0377087820113
Lower middle income,LMC,2013,41.5274614397322
North America,NAC,1989,39.0169632746068
North America,NAC,1990,40.8213674886351
North America,NAC,1991,43.9480256292352
North America,NAC,1992,45.9165424306183
North America,NAC,1993,48.1047485883271
North America,NAC,1994,47.2140603974275
North America,NAC,1995,47.0597829348935
North America,NAC,1996,46.5855106558467
North America,NAC,1997,43.9588012566627
North America,NAC,1998,41.0099142187712
North America,NAC,1999,37.612270180477
North America,NAC,2000,33.158223429011
North America,NAC,2001,15.1087327374281
North America,NAC,2002,53.6295011785
North America,NAC,2003,55.98548998451
North America,NAC,2004,56.3958094092283
North America,NAC,2005,56.3034158496978
North America,NAC,2006,55.3058887312022
North America,NAC,2007,55.6467199235234
North America,NAC,2008,64.0372557628174
North America,NAC,2009,76.3374591911262
North America,NAC,2010,85.6223635712879
North America,NAC,2011,90.1978653590693
North America,NAC,2012,94.4067735235377
North America,NAC,2013,96.6128183555755
North America,NAC,2014,96.892838254519
North America,NAC,2015,97.3748109483986
North America,NAC,2016,99.4568598577946
OECD members,OED,1990,37.7240395139143
OECD members,OED,1991,41.2851733098135
OECD members,OED,1992,42.9551311168965
OECD members,OED,1993,42.3258646898125
OECD members,OED,1994,45.3950525883976
Post-demographic dividend,PST,1990,37.1828119865081
Post-demographic dividend,PST,1991,41.2902990030545
Post-demographic dividend,PST,1992,43.3635673803915
South Asia,SAS,1990,55.4575577622323
South Asia,SAS,1991,54.6921187621606
South Asia,SAS,1992,54.1493623976115
South Asia,SAS,1993,56.4777211038821
South Asia,SAS,1994,51.7299008054941
South Asia,SAS,1995,49.6758333774539
South Asia,SAS,1996,47.8820489882779
South Asia,SAS,1997,52.1487241536624
South Asia,SAS,1998,54.9903125722415
South Asia,SAS,1999,53.4206029581394
South Asia,SAS,2000,58.7651607655738
South Asia,SAS,2001,59.0744239452691
South Asia,SAS,2002,62.4010765554797
South Asia,SAS,2003,61.9317347607518
South Asia,SAS,2004,64.5391724055779
South Asia,SAS,2005,63.8135449906579
South Asia,SAS,2006,61.6666602127568
South Asia,SAS,2007,58.8812080615355
South Asia,SAS,2008,57.7059224997592
South Asia,SAS,2009,56.9063867953205
South Asia,SAS,2010,52.6077186277169
South Asia,SAS,2011,52.1667173843294
South Asia,SAS,2012,51.2454230190555
South Asia,SAS,2013,50.9758514791246
South Asia (IDA & IBRD),TSA,1990,55.4575577622323
South Asia (IDA & IBRD),TSA,1991,54.6921187621606
South Asia (IDA & IBRD),TSA,1992,54.1493623976115
South Asia (IDA & IBRD),TSA,1993,56.4777211038821
South Asia (IDA & IBRD),TSA,1994,51.7299008054941
South Asia (IDA & IBRD),TSA,1995,49.6758333774539
South Asia (IDA & IBRD),TSA,1996,47.8820489882779
South Asia (IDA & IBRD),TSA,1997,52.1487241536624
South Asia (IDA & IBRD),TSA,1998,54.9903125722415
South Asia (IDA & IBRD),TSA,1999,53.4206029581394
South Asia (IDA & IBRD),TSA,2000,58.7651607655738
South Asia (IDA & IBRD),TSA,2001,59.0744239452691
South Asia (IDA & IBRD),TSA,2002,62.4010765554797
South Asia (IDA & IBRD),TSA,2003,61.9317347607518
South Asia (IDA & IBRD),TSA,2004,64.5391724055779
South Asia (IDA & IBRD),TSA,2005,63.8135449906579
South Asia (IDA & IBRD),TSA,2006,61.6666602127568
South Asia (IDA & IBRD),TSA,2007,58.8812080615355
South Asia (IDA & IBRD),TSA,2008,57.7059224997592
South Asia (IDA & IBRD),TSA,2009,56.9063867953205
South Asia (IDA & IBRD),TSA,2010,52.6077186277168
South Asia (IDA & IBRD),TSA,2011,52.1667173843294
South Asia (IDA & IBRD),TSA,2012,51.2454230190555
South Asia (IDA & IBRD),TSA,2013,50.9758514791246
Albania,ALB,1995,35.2888834429933
Albania,ALB,1996,36.1778716014616
Albania,ALB,1997,50.826139598709
Albania,ALB,1998,52.2577922655156
Albania,ALB,2011,69.6376696171185
Albania,ALB,2012,63.6691531516921
Albania,ALB,2013,70.5807888271536
Albania,ALB,2014,73.3202468042376
Albania,ALB,2015,80.2284428817261
Albania,ALB,2016,80.7184787250873
Algeria,DZA,1994,68.8616825279407
Algeria,DZA,1995,99.5659081603643
Algeria,DZA,1996,85.8360697984359
Algeria,DZA,1997,75.0533798466763
Algeria,DZA,1998,74.680407127762
Algeria,DZA,1999,80.4982991459258
