Country Name,Country Code,Year,Value
Afghanistan,AFG,2017,183
Albania,ALB,2017,65
Algeria,DZA,2017,166
Angola,AGO,2017,175
Antigua and Barbuda,ATG,2017,107
Argentina,ARG,2017,117
Armenia,ARM,2017,47
Australia,AUS,2017,14
Austria,AUT,2017,22
Azerbaijan,AZE,2017,57
"Bahamas, The",BHS,2017,119
Bahrain,BHR,2017,66
Bangladesh,BGD,2017,177
Barbados,BRB,2017,132
Belarus,BLR,2017,38
Belgium,BEL,2017,52
Belize,BLZ,2017,121
Benin,BEN,2017,151
Bhutan,BTN,2017,75
Bolivia,BOL,2017,152
Bosnia and Herzegovina,BIH,2017,86
Botswana,BWA,2017,81
Brazil,BRA,2017,125
Brunei Darussalam,BRN,2017,56
Bulgaria,BGR,2017,50
Burkina Faso,BFA,2017,148
Burundi,BDI,2017,164
Cabo Verde,CPV,2017,127
Cambodia,KHM,2017,135
Cameroon,CMR,2017,163
Canada,CAN,2017,18
Central African Republic,CAF,2017,184
Chad,TCD,2017,180
Chile,CHL,2017,55
China,CHN,2017,78
Colombia,COL,2017,59
Comoros,COM,2017,158
"Congo, Dem. Rep.",COD,2017,182
"Congo, Rep.",COG,2017,179
Costa Rica,CRI,2017,61
Cote d'Ivoire,CIV,2017,139
Croatia,HRV,2017,51
Cyprus,CYP,2017,53
Czech Republic,CZE,2017,30
Denmark,DNK,2017,3
Djibouti,DJI,2017,154
Dominica,DMA,2017,98
Dominican Republic,DOM,2017,99
Ecuador,ECU,2017,118
"Egypt, Arab Rep.",EGY,2017,128
El Salvador,SLV,2017,73
Equatorial Guinea,GNQ,2017,173
Eritrea,ERI,2017,189
Estonia,EST,2017,12
Ethiopia,ETH,2017,161
Fiji,FJI,2017,101
Finland,FIN,2017,13
France,FRA,2017,31
Gabon,GAB,2017,167
"Gambia, The",GMB,2017,146
Georgia,GEO,2017,9
Germany,DEU,2017,20
Ghana,GHA,2017,120
Greece,GRC,2017,67
Grenada,GRD,2017,142
Guatemala,GTM,2017,97
Guinea,GIN,2017,153
Guinea-Bissau,GNB,2017,176
Guyana,GUY,2017,126
Haiti,HTI,2017,181
Honduras,HND,2017,115
"Hong Kong SAR, China",HKG,2017,5
Hungary,HUN,2017,48
Iceland,ISL,2017,23
India,IND,2017,100
Indonesia,IDN,2017,72
"Iran, Islamic Rep.",IRN,2017,124
Iraq,IRQ,2017,168
Ireland,IRL,2017,17
Israel,ISR,2017,54
Italy,ITA,2017,46
Jamaica,JAM,2017,70
Japan,JPN,2017,34
Jordan,JOR,2017,103
Kazakhstan,KAZ,2017,36
Kenya,KEN,2017,80
