Country Name,Country Code,Year,Value
Afghanistan,AFG,2006,2252
Afghanistan,AFG,2007,2276
Afghanistan,AFG,2008,903
Afghanistan,AFG,2009,10082
Afghanistan,AFG,2010,12071
Afghanistan,AFG,2011,6465
Afghanistan,AFG,2012,20817
Afghanistan,AFG,2013,4638
Afghanistan,AFG,2014,3422
Afghanistan,AFG,2015,3009
Afghanistan,AFG,2016,3492
Albania,ALB,2006,1417
Albania,ALB,2007,2176
Albania,ALB,2008,3005
Albania,ALB,2009,2045
Albania,ALB,2010,2088
Albania,ALB,2011,1849
Albania,ALB,2012,1886
Albania,ALB,2013,2114
Albania,ALB,2014,2219
Albania,ALB,2015,2616
Albania,ALB,2016,2679
Algeria,DZA,2006,8864
Algeria,DZA,2007,7955
Algeria,DZA,2008,11120
Algeria,DZA,2009,10661
Algeria,DZA,2010,9564
Algeria,DZA,2011,12256
Algeria,DZA,2012,13938
Algeria,DZA,2013,14207
Algeria,DZA,2014,15574
Antigua and Barbuda,ATG,2006,283
Antigua and Barbuda,ATG,2007,255
Antigua and Barbuda,ATG,2008,215
Antigua and Barbuda,ATG,2009,153
Antigua and Barbuda,ATG,2010,171
Antigua and Barbuda,ATG,2011,162
Antigua and Barbuda,ATG,2012,152
Antigua and Barbuda,ATG,2013,207
Antigua and Barbuda,ATG,2014,230
Antigua and Barbuda,ATG,2015,244
Antigua and Barbuda,ATG,2016,279
Argentina,ARG,2006,14219
Argentina,ARG,2007,14694
Argentina,ARG,2008,14805
Argentina,ARG,2009,14493
Argentina,ARG,2010,12118
Argentina,ARG,2011,13133
Argentina,ARG,2012,13799
Argentina,ARG,2013,12228
Argentina,ARG,2014,11672
Armenia,ARM,2006,2474
Armenia,ARM,2007,3290
Armenia,ARM,2008,3344
Armenia,ARM,2009,2575
Armenia,ARM,2010,2527
Armenia,ARM,2011,2671
Armenia,ARM,2012,3178
Armenia,ARM,2013,3172
Armenia,ARM,2014,3213
Armenia,ARM,2015,3556
Armenia,ARM,2016,3573
Australia,AUS,2006,135092
Australia,AUS,2007,159108
Australia,AUS,2008,143153
Australia,AUS,2009,127258
Australia,AUS,2010,160615
Australia,AUS,2011,168170
Australia,AUS,2012,185009
Australia,AUS,2013,226209
Australia,AUS,2014,231920
Australia,AUS,2015,243347
Australia,AUS,2016,246623
Austria,AUT,2006,3759
Austria,AUT,2007,3622
Austria,AUT,2008,3663
Austria,AUT,2009,3274
Austria,AUT,2010,3476
Austria,AUT,2011,3213
Austria,AUT,2012,3058
Austria,AUT,2013,3466
Austria,AUT,2014,4235
Austria,AUT,2015,3631
Austria,AUT,2016,3486
Azerbaijan,AZE,2008,6130
Azerbaijan,AZE,2009,4676
Azerbaijan,AZE,2010,3535
Azerbaijan,AZE,2011,4170
Azerbaijan,AZE,2012,4652
Azerbaijan,AZE,2013,7159
Azerbaijan,AZE,2014,6785
Azerbaijan,AZE,2015,5210
Azerbaijan,AZE,2016,7218
Bangladesh,BGD,2006,5707
Bangladesh,BGD,2007,7992
Bangladesh,BGD,2008,7425
Bangladesh,BGD,2009,8007
Bangladesh,BGD,2010,8755
Bangladesh,BGD,2011,9884
Bangladesh,BGD,2012,9193
Belarus,BLR,2006,1783
Belarus,BLR,2007,3820
Belarus,BLR,2008,5168
Belarus,BLR,2009,5714
Belarus,BLR,2010,6399
Belarus,BLR,2011,6063
Belarus,BLR,2012,7674
Belarus,BLR,2013,8983
Belarus,BLR,2014,7019
Belarus,BLR,2015,5780
Belarus,BLR,2016,7206
Belgium,BEL,2006,19510
Belgium,BEL,2007,21850
Belgium,BEL,2008,22078
Belgium,BEL,2009,19469
Belgium,BEL,2010,22655
Belgium,BEL,2011,24034
Belgium,BEL,2012,21790
Belgium,BEL,2013,18669
Belgium,BEL,2014,23573
Belgium,BEL,2015,21428
Belgium,BEL,2016,27248
Belize,BLZ,2006,752
Belize,BLZ,2007,778
Belize,BLZ,2008,708
Belize,BLZ,2009,592
Belize,BLZ,2010,566
Belize,BLZ,2011,576
Belize,BLZ,2012,576
Belize,BLZ,2013,665
Belize,BLZ,2014,655
Belize,BLZ,2016,911
Bhutan,BTN,2006,10
Bhutan,BTN,2007,11
Bhutan,BTN,2008,21
Bhutan,BTN,2009,14
Bhutan,BTN,2010,18
Bhutan,BTN,2011,23
Bhutan,BTN,2012,82
Bhutan,BTN,2013,24
Bhutan,BTN,2014,29
Bhutan,BTN,2015,47
Bhutan,BTN,2016,47
Bolivia,BOL,2006,1914
Bolivia,BOL,2007,2121
Bolivia,BOL,2008,2448
Bolivia,BOL,2009,2623
Bolivia,BOL,2010,2593
Bolivia,BOL,2011,2898
Bolivia,BOL,2012,3426
Bolivia,BOL,2013,3793
Bolivia,BOL,2014,3620
Bolivia,BOL,2015,3731
Bolivia,BOL,2016,3612
Bosnia and Herzegovina,BIH,2009,1896
Bosnia and Herzegovina,BIH,2010,1939
Bosnia and Herzegovina,BIH,2011,1897
Bosnia and Herzegovina,BIH,2012,1828
Bosnia and Herzegovina,BIH,2013,1900
Bosnia and Herzegovina,BIH,2014,2192
Bosnia and Herzegovina,BIH,2015,2323
