Country Name,Country Code,Year,Value
Arab World,ARB,1966,176
Arab World,ARB,1967,180
Arab World,ARB,1969,170
Arab World,ARB,1970,160
Arab World,ARB,1971,175
Arab World,ARB,1972,189
Arab World,ARB,1973,214
Arab World,ARB,1974,209
Arab World,ARB,1975,142
Arab World,ARB,1978,149
Arab World,ARB,1979,165
Arab World,ARB,1980,162
Arab World,ARB,1981,171
Arab World,ARB,1983,193
Arab World,ARB,1989,549
Arab World,ARB,1993,702
Arab World,ARB,1994,703
Arab World,ARB,1995,795
Arab World,ARB,1996,902
Arab World,ARB,1998,777
Arab World,ARB,1999,809
Arab World,ARB,2000,1124
Arab World,ARB,2001,831
Arab World,ARB,2002,991
Arab World,ARB,2003,874
Arab World,ARB,2004,932
Arab World,ARB,2005,982
Arab World,ARB,2007,1027
Arab World,ARB,2010,1551
Arab World,ARB,2011,1688
Arab World,ARB,2013,2161
Arab World,ARB,2014,2184
Arab World,ARB,2015,2905
Arab World,ARB,2016,2910
Caribbean small states,CSS,1977,33
Caribbean small states,CSS,2014,40
Central Europe and the Baltics,CEB,1963,5837
Central Europe and the Baltics,CEB,1964,4961
Central Europe and the Baltics,CEB,1965,6605
Central Europe and the Baltics,CEB,1966,8381
Central Europe and the Baltics,CEB,1967,8795
Central Europe and the Baltics,CEB,1968,9568
Central Europe and the Baltics,CEB,1969,9753
Central Europe and the Baltics,CEB,1970,8697
Central Europe and the Baltics,CEB,1971,11129
Central Europe and the Baltics,CEB,1972,11423
Central Europe and the Baltics,CEB,1973,11588
Central Europe and the Baltics,CEB,1974,12713
Central Europe and the Baltics,CEB,1975,12438
Central Europe and the Baltics,CEB,1976,13738
Central Europe and the Baltics,CEB,1977,13396
Central Europe and the Baltics,CEB,1978,13819
Central Europe and the Baltics,CEB,1979,14316
Central Europe and the Baltics,CEB,1980,13665
Central Europe and the Baltics,CEB,1981,12648
Central Europe and the Baltics,CEB,1982,13178
Central Europe and the Baltics,CEB,1983,14420
Central Europe and the Baltics,CEB,1984,15248
Central Europe and the Baltics,CEB,1985,12231
Central Europe and the Baltics,CEB,1986,12728
Central Europe and the Baltics,CEB,1987,13735
Central Europe and the Baltics,CEB,1988,15163
Central Europe and the Baltics,CEB,1989,13882
Central Europe and the Baltics,CEB,1990,9533
Central Europe and the Baltics,CEB,1991,8086
Central Europe and the Baltics,CEB,1992,7048
Central Europe and the Baltics,CEB,1993,8147
Central Europe and the Baltics,CEB,1994,7664
Central Europe and the Baltics,CEB,1995,7676
Central Europe and the Baltics,CEB,1996,7025
Central Europe and the Baltics,CEB,1997,6882
Central Europe and the Baltics,CEB,1998,6411
Central Europe and the Baltics,CEB,1999,5863
Central Europe and the Baltics,CEB,2000,6060
Central Europe and the Baltics,CEB,2001,6212
Central Europe and the Baltics,CEB,2002,6589
Central Europe and the Baltics,CEB,2003,5888
Central Europe and the Baltics,CEB,2004,6099
Central Europe and the Baltics,CEB,2005,5561
Central Europe and the Baltics,CEB,2006,5585
Central Europe and the Baltics,CEB,2007,5994
Central Europe and the Baltics,CEB,2008,6280
Central Europe and the Baltics,CEB,2009,6947
Central Europe and the Baltics,CEB,2010,7648
Central Europe and the Baltics,CEB,2011,8262
Central Europe and the Baltics,CEB,2012,7943
Central Europe and the Baltics,CEB,2013,7919
Central Europe and the Baltics,CEB,2014,7218
Central Europe and the Baltics,CEB,2015,8044
Central Europe and the Baltics,CEB,2016,7518
Early-demographic dividend,EAR,1963,4208
Early-demographic dividend,EAR,1964,4288
Early-demographic dividend,EAR,1965,4888
Early-demographic dividend,EAR,1966,5331
Early-demographic dividend,EAR,1967,3529
Early-demographic dividend,EAR,1968,7785
Early-demographic dividend,EAR,1969,4920
Early-demographic dividend,EAR,1970,7554
Early-demographic dividend,EAR,1971,6754
Early-demographic dividend,EAR,1972,7495
Early-demographic dividend,EAR,1973,7243
Early-demographic dividend,EAR,1974,7085
Early-demographic dividend,EAR,1975,7336
Early-demographic dividend,EAR,1976,7274
Early-demographic dividend,EAR,1977,7746
Early-demographic dividend,EAR,1978,8084
Early-demographic dividend,EAR,1979,7053
Early-demographic dividend,EAR,1980,7965
Early-demographic dividend,EAR,1981,7804
Early-demographic dividend,EAR,1982,7364
Early-demographic dividend,EAR,1984,9105
Early-demographic dividend,EAR,1985,7516
Early-demographic dividend,EAR,1986,8074
Early-demographic dividend,EAR,1987,8600
Early-demographic dividend,EAR,1988,8276
Early-demographic dividend,EAR,1989,9000
Early-demographic dividend,EAR,1990,6174
Early-demographic dividend,EAR,1991,6302
Early-demographic dividend,EAR,1992,6060
Early-demographic dividend,EAR,1993,8516
Early-demographic dividend,EAR,1994,7534
Early-demographic dividend,EAR,1995,7393
Early-demographic dividend,EAR,1996,7885
Early-demographic dividend,EAR,1997,7123
Early-demographic dividend,EAR,1998,8078
Early-demographic dividend,EAR,1999,8480
Early-demographic dividend,EAR,2000,9273
Early-demographic dividend,EAR,2001,9096
Early-demographic dividend,EAR,2002,9705
Early-demographic dividend,EAR,2003,11023
Early-demographic dividend,EAR,2004,12642
Early-demographic dividend,EAR,2005,15802
Early-demographic dividend,EAR,2006,17995
Early-demographic dividend,EAR,2007,24709
Early-demographic dividend,EAR,2008,29600
Early-demographic dividend,EAR,2009,27178
Early-demographic dividend,EAR,2010,29252
Early-demographic dividend,EAR,2011,30376
Early-demographic dividend,EAR,2012,30184
Early-demographic dividend,EAR,2013,32928
Early-demographic dividend,EAR,2014,37492
Early-demographic dividend,EAR,2015,25927
Early-demographic dividend,EAR,2016,44001
East Asia & Pacific,EAS,1985,282346
East Asia & Pacific,EAS,1986,298436
East Asia & Pacific,EAS,1987,320956
East Asia & Pacific,EAS,1988,320323
East Asia & Pacific,EAS,1989,330301
East Asia & Pacific,EAS,1990,349059
East Asia & Pacific,EAS,1991,357620
East Asia & Pacific,EAS,1992,364991
East Asia & Pacific,EAS,1993,367163
East Asia & Pacific,EAS,1994,361014
East Asia & Pacific,EAS,1995,406914
East Asia & Pacific,EAS,1996,423193
East Asia & Pacific,EAS,1997,433733
East Asia & Pacific,EAS,1998,426309
East Asia & Pacific,EAS,1999,434108
East Asia & Pacific,EAS,2000,487448
East Asia & Pacific,EAS,2001,492430
East Asia & Pacific,EAS,2002,488029
East Asia & Pacific,EAS,2003,512027
East Asia & Pacific,EAS,2004,546382
East Asia & Pacific,EAS,2005,596808
East Asia & Pacific,EAS,2006,609373
East Asia & Pacific,EAS,2007,629915
East Asia & Pacific,EAS,2008,659376
East Asia & Pacific,EAS,2009,667812
East Asia & Pacific,EAS,2010,731535
East Asia & Pacific,EAS,2011,857546
East Asia & Pacific,EAS,2012,986823
East Asia & Pacific,EAS,2013,1146946
East Asia & Pacific,EAS,2014,1240338
East Asia & Pacific,EAS,2015,1403979
East Asia & Pacific,EAS,2016,1637384
East Asia & Pacific (excluding high income),EAP,1985,4268
East Asia & Pacific (excluding high income),EAP,1986,3697
East Asia & Pacific (excluding high income),EAP,1987,4252
East Asia & Pacific (excluding high income),EAP,1988,5037
East Asia & Pacific (excluding high income),EAP,1989,5106
East Asia & Pacific (excluding high income),EAP,1990,6202
East Asia & Pacific (excluding high income),EAP,1991,7804
East Asia & Pacific (excluding high income),EAP,1992,10500
East Asia & Pacific (excluding high income),EAP,1993,12695
East Asia & Pacific (excluding high income),EAP,1994,11924
East Asia & Pacific (excluding high income),EAP,1995,10680
East Asia & Pacific (excluding high income),EAP,1996,12406
East Asia & Pacific (excluding high income),EAP,1997,13517
East Asia & Pacific (excluding high income),EAP,1998,14852
East Asia & Pacific (excluding high income),EAP,1999,16913
East Asia & Pacific (excluding high income),EAP,2000,26458
East Asia & Pacific (excluding high income),EAP,2001,31348
East Asia & Pacific (excluding high income),EAP,2002,41316
East Asia & Pacific (excluding high income),EAP,2003,58534
East Asia & Pacific (excluding high income),EAP,2004,67758
East Asia & Pacific (excluding high income),EAP,2005,101484
East Asia & Pacific (excluding high income),EAP,2006,131049
East Asia & Pacific (excluding high income),EAP,2007,162249
East Asia & Pacific (excluding high income),EAP,2008,197106
East Asia & Pacific (excluding high income),EAP,2009,240232
East Asia & Pacific (excluding high income),EAP,2010,304623
East Asia & Pacific (excluding high income),EAP,2011,426807
East Asia & Pacific (excluding high income),EAP,2012,546345
East Asia & Pacific (excluding high income),EAP,2013,709167
East Asia & Pacific (excluding high income),EAP,2014,805159
East Asia & Pacific (excluding high income),EAP,2015,972679
East Asia & Pacific (excluding high income),EAP,2016,1208187
East Asia & Pacific (IDA & IBRD countries),TEA,1985,4268
East Asia & Pacific (IDA & IBRD countries),TEA,1986,3697
East Asia & Pacific (IDA & IBRD countries),TEA,1987,4252
East Asia & Pacific (IDA & IBRD countries),TEA,1988,5037
East Asia & Pacific (IDA & IBRD countries),TEA,1989,5106
East Asia & Pacific (IDA & IBRD countries),TEA,1990,6202
East Asia & Pacific (IDA & IBRD countries),TEA,1991,7804
East Asia & Pacific (IDA & IBRD countries),TEA,1992,10500
East Asia & Pacific (IDA & IBRD countries),TEA,1993,12695
East Asia & Pacific (IDA & IBRD countries),TEA,1994,11924
East Asia & Pacific (IDA & IBRD countries),TEA,1995,10680
East Asia & Pacific (IDA & IBRD countries),TEA,1996,12406
East Asia & Pacific (IDA & IBRD countries),TEA,1997,13517
East Asia & Pacific (IDA & IBRD countries),TEA,1998,14852
East Asia & Pacific (IDA & IBRD countries),TEA,1999,16913
East Asia & Pacific (IDA & IBRD countries),TEA,2000,26458
East Asia & Pacific (IDA & IBRD countries),TEA,2001,31348
East Asia & Pacific (IDA & IBRD countries),TEA,2002,41316
East Asia & Pacific (IDA & IBRD countries),TEA,2003,58534
East Asia & Pacific (IDA & IBRD countries),TEA,2004,67758
East Asia & Pacific (IDA & IBRD countries),TEA,2005,95623
East Asia & Pacific (IDA & IBRD countries),TEA,2006,124699
East Asia & Pacific (IDA & IBRD countries),TEA,2007,155403
East Asia & Pacific (IDA & IBRD countries),TEA,2008,197106
East Asia & Pacific (IDA & IBRD countries),TEA,2009,232276
East Asia & Pacific (IDA & IBRD countries),TEA,2010,296605
East Asia & Pacific (IDA & IBRD countries),TEA,2011,418851
East Asia & Pacific (IDA & IBRD countries),TEA,2012,537991
East Asia & Pacific (IDA & IBRD countries),TEA,2013,709167
East Asia & Pacific (IDA & IBRD countries),TEA,2014,805159
East Asia & Pacific (IDA & IBRD countries),TEA,2015,972679
East Asia & Pacific (IDA & IBRD countries),TEA,2016,1208187
Euro area,EMU,1963,65680
Euro area,EMU,1965,68789
Euro area,EMU,1966,76397
Euro area,EMU,1967,74914
Euro area,EMU,1968,72015
Euro area,EMU,1969,65761
Euro area,EMU,1970,65919
Euro area,EMU,1971,66598
Euro area,EMU,1972,66641
Euro area,EMU,1973,61710
Euro area,EMU,1974,59138
Euro area,EMU,1975,59009
Euro area,EMU,1976,52872
Euro area,EMU,1977,52382
Euro area,EMU,1978,52279
Euro area,EMU,1979,52693
Euro area,EMU,1980,56158
Euro area,EMU,1981,50907
Euro area,EMU,1982,51540
Euro area,EMU,1983,52916
Euro area,EMU,1984,53993
Euro area,EMU,1985,57119
Euro area,EMU,1986,54751
Euro area,EMU,1987,55031
Euro area,EMU,1988,56498
Euro area,EMU,1989,53887
Euro area,EMU,1990,53313
Euro area,EMU,1991,54622
Euro area,EMU,1992,64140
Euro area,EMU,1993,66251
Euro area,EMU,1994,68122
Euro area,EMU,1995,61358
Euro area,EMU,1996,73716
Euro area,EMU,1997,69397
Euro area,EMU,1998,71873
Euro area,EMU,1999,82082
Euro area,EMU,2000,85915
Euro area,EMU,2001,75240
Euro area,EMU,2002,72993
Euro area,EMU,2003,73142
Euro area,EMU,2004,74592
Euro area,EMU,2005,74723
Euro area,EMU,2006,74672
Euro area,EMU,2007,84334
Euro area,EMU,2008,86047
Euro area,EMU,2009,84889
Euro area,EMU,2010,84641
Euro area,EMU,2011,83792
Euro area,EMU,2012,82306
Euro area,EMU,2013,82521
Euro area,EMU,2014,83156
Euro area,EMU,2015,73502
Euro area,EMU,2016,83081
Europe & Central Asia,ECS,1992,138969
Europe & Central Asia,ECS,1993,145365
Europe & Central Asia,ECS,1994,133569
Europe & Central Asia,ECS,1995,122401
Europe & Central Asia,ECS,1996,133026
Europe & Central Asia,ECS,1997,126206
Europe & Central Asia,ECS,1998,131491
Europe & Central Asia,ECS,1999,147250
Europe & Central Asia,ECS,2000,155927
Europe & Central Asia,ECS,2001,147866
Europe & Central Asia,ECS,2002,137630
Europe & Central Asia,ECS,2003,138508
Europe & Central Asia,ECS,2004,138975
Europe & Central Asia,ECS,2005,137103
Europe & Central Asia,ECS,2006,140824
Europe & Central Asia,ECS,2007,151829
Europe & Central Asia,ECS,2008,152574
Europe & Central Asia,ECS,2009,148934
Europe & Central Asia,ECS,2010,152872
Europe & Central Asia,ECS,2011,150130
Europe & Central Asia,ECS,2012,149813
Europe & Central Asia,ECS,2013,151669
Europe & Central Asia,ECS,2014,145990
Europe & Central Asia,ECS,2015,141882
Europe & Central Asia,ECS,2016,148234
Europe & Central Asia (excluding high income),ECA,1992,43055
Europe & Central Asia (excluding high income),ECA,1993,46711
Europe & Central Asia (excluding high income),ECA,1994,33113
Europe & Central Asia (excluding high income),ECA,1995,28882
Europe & Central Asia (excluding high income),ECA,1996,28057
Europe & Central Asia (excluding high income),ECA,1997,26023
Europe & Central Asia (excluding high income),ECA,1998,27577
Europe & Central Asia (excluding high income),ECA,1999,31137
Europe & Central Asia (excluding high income),ECA,2000,34811
Europe & Central Asia (excluding high income),ECA,2001,38754
Europe & Central Asia (excluding high income),ECA,2002,32097
Europe & Central Asia (excluding high income),ECA,2003,33522
Europe & Central Asia (excluding high income),ECA,2004,33851
Europe & Central Asia (excluding high income),ECA,2005,34213
Europe & Central Asia (excluding high income),ECA,2006,38293
Europe & Central Asia (excluding high income),ECA,2007,39157
Europe & Central Asia (excluding high income),ECA,2008,39151
Europe & Central Asia (excluding high income),ECA,2009,36922
