Country Name,Country Code,Year,Value
Arab World,ARB,1964,3706
Arab World,ARB,1965,4470
Arab World,ARB,1967,5457
Arab World,ARB,1968,5362
Arab World,ARB,1969,5898
Arab World,ARB,1970,5208
Arab World,ARB,1971,4929
Arab World,ARB,1972,6641
Arab World,ARB,1973,5982
Arab World,ARB,1974,6126
Arab World,ARB,1975,5213
Arab World,ARB,1976,5746
Arab World,ARB,1977,5133
Arab World,ARB,1978,6512
Arab World,ARB,1979,5893
Arab World,ARB,1980,5948
Arab World,ARB,1985,13155
Arab World,ARB,1986,14247
Arab World,ARB,1989,15802
Arab World,ARB,2000,26273
Arab World,ARB,2001,22178
Arab World,ARB,2002,19158
Arab World,ARB,2004,24508
Arab World,ARB,2005,27993
Arab World,ARB,2006,32851
Arab World,ARB,2007,34928
Arab World,ARB,2008,29363
Arab World,ARB,2010,29296
Arab World,ARB,2011,54915
Arab World,ARB,2012,52960
Arab World,ARB,2013,56725
Arab World,ARB,2014,70816
Arab World,ARB,2015,64844
Arab World,ARB,2016,55747
Caribbean small states,CSS,1976,1547
Caribbean small states,CSS,1977,2003
Caribbean small states,CSS,1978,1601
Caribbean small states,CSS,1979,1989
Caribbean small states,CSS,1982,2159
Caribbean small states,CSS,1996,4244
Caribbean small states,CSS,2002,5575
Caribbean small states,CSS,2012,8120
Caribbean small states,CSS,2013,8296
Caribbean small states,CSS,2014,8638
Caribbean small states,CSS,2015,7593
Caribbean small states,CSS,2016,6377
Central Europe and the Baltics,CEB,1968,2116
Central Europe and the Baltics,CEB,1969,1927
Central Europe and the Baltics,CEB,1970,1797
Central Europe and the Baltics,CEB,1971,1706
Central Europe and the Baltics,CEB,1972,1616
Central Europe and the Baltics,CEB,1973,1944
Central Europe and the Baltics,CEB,1974,2105
Central Europe and the Baltics,CEB,1975,1900
Central Europe and the Baltics,CEB,1976,1958
Central Europe and the Baltics,CEB,1977,1727
Central Europe and the Baltics,CEB,1978,1600
Central Europe and the Baltics,CEB,1979,1555
Central Europe and the Baltics,CEB,1980,1424
Central Europe and the Baltics,CEB,1981,1343
Central Europe and the Baltics,CEB,1982,1271
Central Europe and the Baltics,CEB,1983,1194
Central Europe and the Baltics,CEB,1984,1121
Central Europe and the Baltics,CEB,1985,5498
Central Europe and the Baltics,CEB,1986,6636
Central Europe and the Baltics,CEB,1987,7186
Central Europe and the Baltics,CEB,1988,8577
Central Europe and the Baltics,CEB,1989,10655
Central Europe and the Baltics,CEB,1990,19983
Central Europe and the Baltics,CEB,1991,23263
Central Europe and the Baltics,CEB,1992,37469
Central Europe and the Baltics,CEB,1993,76925
Central Europe and the Baltics,CEB,1994,58892
Central Europe and the Baltics,CEB,1995,65251
Central Europe and the Baltics,CEB,1996,63812
Central Europe and the Baltics,CEB,1997,71241
Central Europe and the Baltics,CEB,1998,73491
Central Europe and the Baltics,CEB,1999,73691
Central Europe and the Baltics,CEB,2000,87614
Central Europe and the Baltics,CEB,2001,80349
Central Europe and the Baltics,CEB,2002,73879
Central Europe and the Baltics,CEB,2003,79587
Central Europe and the Baltics,CEB,2004,69147
Central Europe and the Baltics,CEB,2005,59709
Central Europe and the Baltics,CEB,2006,58091
Central Europe and the Baltics,CEB,2007,50895
Central Europe and the Baltics,CEB,2008,46534
Central Europe and the Baltics,CEB,2009,33306
Central Europe and the Baltics,CEB,2010,32275
Central Europe and the Baltics,CEB,2011,30418
Central Europe and the Baltics,CEB,2012,28793
Central Europe and the Baltics,CEB,2013,26601
Central Europe and the Baltics,CEB,2014,22504
Central Europe and the Baltics,CEB,2015,19330
Central Europe and the Baltics,CEB,2016,19696
Early-demographic dividend,EAR,1963,17477
Early-demographic dividend,EAR,1964,17189
Early-demographic dividend,EAR,1965,14505
Early-demographic dividend,EAR,1966,18883
Early-demographic dividend,EAR,1968,29211
Early-demographic dividend,EAR,1969,38107
Early-demographic dividend,EAR,1970,42007
Early-demographic dividend,EAR,1971,29495
Early-demographic dividend,EAR,1972,30911
Early-demographic dividend,EAR,1973,37177
Early-demographic dividend,EAR,1974,35165
Early-demographic dividend,EAR,1975,27285
Early-demographic dividend,EAR,1976,34319
Early-demographic dividend,EAR,1977,34609
Early-demographic dividend,EAR,1978,47311
Early-demographic dividend,EAR,1979,57523
Early-demographic dividend,EAR,1981,45996
Early-demographic dividend,EAR,1982,45942
Early-demographic dividend,EAR,1983,41130
Early-demographic dividend,EAR,1984,32418
Early-demographic dividend,EAR,1985,31394
Early-demographic dividend,EAR,1986,54366
Early-demographic dividend,EAR,1987,52476
Early-demographic dividend,EAR,1988,62098
Early-demographic dividend,EAR,1989,67163
Early-demographic dividend,EAR,1990,70679
Early-demographic dividend,EAR,1991,70639
Early-demographic dividend,EAR,1992,85985
Early-demographic dividend,EAR,1993,94918
