Country Name,Country Code,Year,Value
Arab World,ARB,1964,1377
Arab World,ARB,1965,1675
Arab World,ARB,1967,2048
Arab World,ARB,1968,1978
Arab World,ARB,1969,2400
Arab World,ARB,1970,1996
Arab World,ARB,1971,2713
Arab World,ARB,1972,2034
Arab World,ARB,1973,2118
Arab World,ARB,1974,2075
Arab World,ARB,1975,1953
Arab World,ARB,1976,1421
Arab World,ARB,1977,1662
Arab World,ARB,1978,1839
Arab World,ARB,1979,1996
Arab World,ARB,1980,2463
Arab World,ARB,2000,14169
Arab World,ARB,2001,11045
Arab World,ARB,2010,26594
Arab World,ARB,2011,29122
Arab World,ARB,2013,30598
Arab World,ARB,2014,45476
Arab World,ARB,2015,45294
Caribbean small states,CSS,1976,188
Caribbean small states,CSS,1977,182
Caribbean small states,CSS,1978,284
Caribbean small states,CSS,1979,200
Caribbean small states,CSS,1982,335
Caribbean small states,CSS,1996,929
Caribbean small states,CSS,2002,1124
Caribbean small states,CSS,2012,1938
Caribbean small states,CSS,2013,1734
Caribbean small states,CSS,2014,2034
Caribbean small states,CSS,2015,2417
Caribbean small states,CSS,2016,2455
Central Europe and the Baltics,CEB,1968,2132
Central Europe and the Baltics,CEB,1969,1094
Central Europe and the Baltics,CEB,1970,993
Central Europe and the Baltics,CEB,1971,570
Central Europe and the Baltics,CEB,1972,761
Central Europe and the Baltics,CEB,1973,798
Central Europe and the Baltics,CEB,1974,759
Central Europe and the Baltics,CEB,1975,705
Central Europe and the Baltics,CEB,1976,629
Central Europe and the Baltics,CEB,1977,764
Central Europe and the Baltics,CEB,1978,936
Central Europe and the Baltics,CEB,1979,1079
Central Europe and the Baltics,CEB,1980,708
Central Europe and the Baltics,CEB,1981,656
Central Europe and the Baltics,CEB,1982,829
Central Europe and the Baltics,CEB,1983,1070
Central Europe and the Baltics,CEB,1984,1181
Central Europe and the Baltics,CEB,1985,1312
Central Europe and the Baltics,CEB,1986,1430
Central Europe and the Baltics,CEB,1987,1528
Central Europe and the Baltics,CEB,1988,2179
Central Europe and the Baltics,CEB,1989,2730
Central Europe and the Baltics,CEB,1990,4963
Central Europe and the Baltics,CEB,1991,10100
Central Europe and the Baltics,CEB,1992,16175
Central Europe and the Baltics,CEB,1993,24299
Central Europe and the Baltics,CEB,1994,30799
Central Europe and the Baltics,CEB,1995,33293
Central Europe and the Baltics,CEB,1996,29869
Central Europe and the Baltics,CEB,1997,33360
Central Europe and the Baltics,CEB,1998,34526
Central Europe and the Baltics,CEB,1999,36213
Central Europe and the Baltics,CEB,2000,41252
Central Europe and the Baltics,CEB,2001,41616
Central Europe and the Baltics,CEB,2002,42953
Central Europe and the Baltics,CEB,2003,47498
Central Europe and the Baltics,CEB,2004,53975
Central Europe and the Baltics,CEB,2005,54284
Central Europe and the Baltics,CEB,2006,57989
Central Europe and the Baltics,CEB,2007,55608
Central Europe and the Baltics,CEB,2008,54603
Central Europe and the Baltics,CEB,2009,46247
Central Europe and the Baltics,CEB,2010,48144
Central Europe and the Baltics,CEB,2011,47903
Central Europe and the Baltics,CEB,2012,43210
Central Europe and the Baltics,CEB,2013,45820
Central Europe and the Baltics,CEB,2014,45095
Central Europe and the Baltics,CEB,2015,44441
Central Europe and the Baltics,CEB,2016,45834
Early-demographic dividend,EAR,1963,21663
Early-demographic dividend,EAR,1964,20908
Early-demographic dividend,EAR,1965,20391
Early-demographic dividend,EAR,1966,19592
Early-demographic dividend,EAR,1968,60467
Early-demographic dividend,EAR,1969,60927
Early-demographic dividend,EAR,1970,55982
Early-demographic dividend,EAR,1971,42830
Early-demographic dividend,EAR,1972,37756
Early-demographic dividend,EAR,1973,44416
Early-demographic dividend,EAR,1974,47775
Early-demographic dividend,EAR,1975,55340
Early-demographic dividend,EAR,1976,62655
Early-demographic dividend,EAR,1977,64071
Early-demographic dividend,EAR,1978,64962
Early-demographic dividend,EAR,1979,70111
Early-demographic dividend,EAR,1981,73779
Early-demographic dividend,EAR,1982,84104
Early-demographic dividend,EAR,1983,81611
Early-demographic dividend,EAR,1984,59862
Early-demographic dividend,EAR,1985,60428
Early-demographic dividend,EAR,1986,129582
Early-demographic dividend,EAR,1987,139011
Early-demographic dividend,EAR,1988,112070
Early-demographic dividend,EAR,1989,135711
Early-demographic dividend,EAR,1990,161831
Early-demographic dividend,EAR,1991,153197
Early-demographic dividend,EAR,1992,160696
Early-demographic dividend,EAR,1993,152361
Early-demographic dividend,EAR,1994,180355
Early-demographic dividend,EAR,1995,164667
Early-demographic dividend,EAR,1999,217332
Early-demographic dividend,EAR,2000,262537
Early-demographic dividend,EAR,2001,271666
Early-demographic dividend,EAR,2002,288742
Early-demographic dividend,EAR,2003,316913
Early-demographic dividend,EAR,2004,333631
Early-demographic dividend,EAR,2005,375407
Early-demographic dividend,EAR,2006,419659
Early-demographic dividend,EAR,2007,453518
Early-demographic dividend,EAR,2008,472424
Early-demographic dividend,EAR,2009,469112
Early-demographic dividend,EAR,2010,564235
Early-demographic dividend,EAR,2011,588356
Early-demographic dividend,EAR,2012,529937
Early-demographic dividend,EAR,2013,594304
Early-demographic dividend,EAR,2014,601979
Early-demographic dividend,EAR,2015,678838
Early-demographic dividend,EAR,2016,765316
East Asia & Pacific,EAS,1982,183444
East Asia & Pacific,EAS,1983,202844
East Asia & Pacific,EAS,1984,222195
East Asia & Pacific,EAS,1985,252745
East Asia & Pacific,EAS,1986,262407
East Asia & Pacific,EAS,1987,273926
East Asia & Pacific,EAS,1988,276422
East Asia & Pacific,EAS,1989,274792
East Asia & Pacific,EAS,1990,297890
East Asia & Pacific,EAS,1991,306985
East Asia & Pacific,EAS,1992,381632
East Asia & Pacific,EAS,1993,351226
East Asia & Pacific,EAS,1994,386713
East Asia & Pacific,EAS,1995,402663
East Asia & Pacific,EAS,1996,415444
East Asia & Pacific,EAS,1997,349196
East Asia & Pacific,EAS,1998,320669
East Asia & Pacific,EAS,1999,381930
East Asia & Pacific,EAS,2000,475818
East Asia & Pacific,EAS,2001,521142
East Asia & Pacific,EAS,2002,619543
East Asia & Pacific,EAS,2003,733684
East Asia & Pacific,EAS,2004,879227
East Asia & Pacific,EAS,2005,952712
East Asia & Pacific,EAS,2006,1044839
East Asia & Pacific,EAS,2007,992567
East Asia & Pacific,EAS,2008,951732
East Asia & Pacific,EAS,2009,1109414
East Asia & Pacific,EAS,2010,1353095
East Asia & Pacific,EAS,2011,1662070
East Asia & Pacific,EAS,2012,1869338
East Asia & Pacific,EAS,2013,2153439
East Asia & Pacific,EAS,2014,2428913
East Asia & Pacific (excluding high income),EAP,1982,33410
East Asia & Pacific (excluding high income),EAP,1983,36176
East Asia & Pacific (excluding high income),EAP,1984,43194
East Asia & Pacific (excluding high income),EAP,1985,70373
East Asia & Pacific (excluding high income),EAP,1986,74028
East Asia & Pacific (excluding high income),EAP,1987,73367
East Asia & Pacific (excluding high income),EAP,1988,73632
East Asia & Pacific (excluding high income),EAP,1989,74798
East Asia & Pacific (excluding high income),EAP,1990,92814
East Asia & Pacific (excluding high income),EAP,1991,104930
East Asia & Pacific (excluding high income),EAP,1992,135481
East Asia & Pacific (excluding high income),EAP,1993,131024
East Asia & Pacific (excluding high income),EAP,1994,155777
East Asia & Pacific (excluding high income),EAP,1995,166458
East Asia & Pacific (excluding high income),EAP,1996,161291
East Asia & Pacific (excluding high income),EAP,1997,142166
East Asia & Pacific (excluding high income),EAP,1998,149147
East Asia & Pacific (excluding high income),EAP,1999,167178
East Asia & Pacific (excluding high income),EAP,2000,212435
