Country Name,Country Code,Year,Value
Arab World,ARB,1980,22707
Arab World,ARB,1981,22596
Arab World,ARB,1982,22808
Arab World,ARB,1983,23157
Arab World,ARB,1984,23455
Arab World,ARB,1985,25239
Arab World,ARB,1986,25445
Arab World,ARB,1987,25602
Arab World,ARB,1988,25953
Arab World,ARB,1989,25725
Arab World,ARB,1990,25071
Arab World,ARB,1991,24836
Arab World,ARB,1992,25125
Arab World,ARB,1993,23379
Arab World,ARB,1994,23379
Arab World,ARB,1995,23694
Arab World,ARB,1996,23434
Arab World,ARB,1997,23503
Arab World,ARB,1998,23585
Arab World,ARB,1999,23732
Arab World,ARB,2000,24000
Arab World,ARB,2001,24436
Arab World,ARB,2002,23874
Arab World,ARB,2003,24186
Arab World,ARB,2004,24864
Arab World,ARB,2005,25427
Arab World,ARB,2006,25122
Arab World,ARB,2007,25122
Arab World,ARB,2008,24371
Arab World,ARB,2009,24363
Arab World,ARB,2010,24362
Arab World,ARB,2011,26575
Arab World,ARB,2012,26180
Arab World,ARB,2013,26179.34
Arab World,ARB,2014,27334
Arab World,ARB,2015,25325.94
Arab World,ARB,2016,25325.94
Central Europe and the Baltics,CEB,1980,59129.5
Central Europe and the Baltics,CEB,1981,59063
Central Europe and the Baltics,CEB,1982,59096.1
Central Europe and the Baltics,CEB,1983,59077.2
Central Europe and the Baltics,CEB,1984,59036
Central Europe and the Baltics,CEB,1985,59113.7
Central Europe and the Baltics,CEB,1986,59153.1
Central Europe and the Baltics,CEB,1987,58764.6
Central Europe and the Baltics,CEB,1988,58690.6
Central Europe and the Baltics,CEB,1989,58973.9
Central Europe and the Baltics,CEB,1990,58547.3
Central Europe and the Baltics,CEB,1991,58738.4
Central Europe and the Baltics,CEB,1992,56180.5
Central Europe and the Baltics,CEB,1993,70654
Central Europe and the Baltics,CEB,1994,69856.4
Central Europe and the Baltics,CEB,1995,68978
Central Europe and the Baltics,CEB,1996,67631.66
Central Europe and the Baltics,CEB,1997,68170
Central Europe and the Baltics,CEB,1998,68053
Central Europe and the Baltics,CEB,1999,68557
Central Europe and the Baltics,CEB,2000,68408
Central Europe and the Baltics,CEB,2001,65573
Central Europe and the Baltics,CEB,2002,65756
Central Europe and the Baltics,CEB,2003,65141
Central Europe and the Baltics,CEB,2004,64524
Central Europe and the Baltics,CEB,2005,64728
Central Europe and the Baltics,CEB,2006,64342
Central Europe and the Baltics,CEB,2007,64119
Central Europe and the Baltics,CEB,2008,64385
Central Europe and the Baltics,CEB,2009,64177
Central Europe and the Baltics,CEB,2010,64026
Central Europe and the Baltics,CEB,2011,63804
Central Europe and the Baltics,CEB,2012,63753
Central Europe and the Baltics,CEB,2013,63069
Central Europe and the Baltics,CEB,2014,62937
Central Europe and the Baltics,CEB,2015,62853.9
Central Europe and the Baltics,CEB,2016,62875.33
Early-demographic dividend,EAR,1980,194942
Early-demographic dividend,EAR,1981,194607
Early-demographic dividend,EAR,1982,196113
Early-demographic dividend,EAR,1983,196665
Early-demographic dividend,EAR,1984,197404
Early-demographic dividend,EAR,1985,199163
Early-demographic dividend,EAR,1986,199154.5
Early-demographic dividend,EAR,1987,199073.15
Early-demographic dividend,EAR,1988,199293.02
Early-demographic dividend,EAR,1989,201837.37
Early-demographic dividend,EAR,1990,204294.618483871
Early-demographic dividend,EAR,1991,206316.555483871
Early-demographic dividend,EAR,1992,207328.555483871
Early-demographic dividend,EAR,1993,206648.915483871
Early-demographic dividend,EAR,1994,207364.715483871
Early-demographic dividend,EAR,1995,206250.905483871
Early-demographic dividend,EAR,1996,211588.055483871
Early-demographic dividend,EAR,1997,212232.445483871
Early-demographic dividend,EAR,1998,213347.445483871
Early-demographic dividend,EAR,1999,212732.275483871
Early-demographic dividend,EAR,2000,215546.935483871
Early-demographic dividend,EAR,2001,216331.935483871
Early-demographic dividend,EAR,2002,216099.935483871
Early-demographic dividend,EAR,2003,213918.935483871
Early-demographic dividend,EAR,2004,214410.935483871
Early-demographic dividend,EAR,2005,218053.935483871
Early-demographic dividend,EAR,2006,217446.935483871
Early-demographic dividend,EAR,2007,222465.935483871
Early-demographic dividend,EAR,2008,222469.935483871
Early-demographic dividend,EAR,2009,209572.935483871
Early-demographic dividend,EAR,2010,211232.935483871
Early-demographic dividend,EAR,2011,212099.935483871
Early-demographic dividend,EAR,2012,212033.935483871
Early-demographic dividend,EAR,2013,212183.275483871
Early-demographic dividend,EAR,2014,213707.935483871
Early-demographic dividend,EAR,2015,215126.725483871
Early-demographic dividend,EAR,2016,215271.985483871
East Asia & Pacific,EAS,1980,109099.7
East Asia & Pacific,EAS,1981,109605.7
East Asia & Pacific,EAS,1982,110857.7
East Asia & Pacific,EAS,1983,111752.7
East Asia & Pacific,EAS,1984,111294.7
East Asia & Pacific,EAS,1985,111555.7
East Asia & Pacific,EAS,1986,111021.7
East Asia & Pacific,EAS,1987,110393.7
East Asia & Pacific,EAS,1988,110357.7
East Asia & Pacific,EAS,1989,109798.7
East Asia & Pacific,EAS,1990,110146.635483871
East Asia & Pacific,EAS,1991,108600.635483871
East Asia & Pacific,EAS,1992,108762.635483871
East Asia & Pacific,EAS,1993,109002.635483871
East Asia & Pacific,EAS,1994,109247.635483871
East Asia & Pacific,EAS,1995,109898.635483871
East Asia & Pacific,EAS,1996,111281.635483871
East Asia & Pacific,EAS,1997,115382.635483871
East Asia & Pacific,EAS,1998,115428.935483871
East Asia & Pacific,EAS,1999,115767.935483871
East Asia & Pacific,EAS,2000,116568.935483871
East Asia & Pacific,EAS,2001,116948.935483871
East Asia & Pacific,EAS,2002,117064.935483871
East Asia & Pacific,EAS,2003,118060.935483871
East Asia & Pacific,EAS,2004,118559.935483871
East Asia & Pacific,EAS,2005,120205.935483871
East Asia & Pacific,EAS,2006,121491.935483871
East Asia & Pacific,EAS,2007,121723.935483871
East Asia & Pacific,EAS,2008,119687.935483871
