Country Name,Country Code,Year,Value
Arab World,ARB,2007,30991333
Arab World,ARB,2008,35945775.9208
Arab World,ARB,2009,36475109.3235755
Arab World,ARB,2010,40682767
Arab World,ARB,2011,41981988
Arab World,ARB,2012,44944803
Arab World,ARB,2013,47004575
Arab World,ARB,2014,49054907
Arab World,ARB,2015,51156429
Arab World,ARB,2016,51220406
Caribbean small states,CSS,2007,4391829
Caribbean small states,CSS,2008,4416836
Caribbean small states,CSS,2009,3757542
Caribbean small states,CSS,2010,3955175
Caribbean small states,CSS,2011,3822123
Caribbean small states,CSS,2012,4053669
Caribbean small states,CSS,2013,4198663
Caribbean small states,CSS,2014,4030741
Caribbean small states,CSS,2015,3990675
Caribbean small states,CSS,2016,3625941.5
Central Europe and the Baltics,CEB,2007,3499057
Central Europe and the Baltics,CEB,2008,3745827
Central Europe and the Baltics,CEB,2009,2439520
Central Europe and the Baltics,CEB,2010,3142941
Central Europe and the Baltics,CEB,2011,3795137
Central Europe and the Baltics,CEB,2012,4205558
Central Europe and the Baltics,CEB,2013,4608147
Central Europe and the Baltics,CEB,2014,4964558
Central Europe and the Baltics,CEB,2015,4694774
Central Europe and the Baltics,CEB,2016,5023226
Early-demographic dividend,EAR,2000,24653677
Early-demographic dividend,EAR,2001,27613470
Early-demographic dividend,EAR,2002,27230030
Early-demographic dividend,EAR,2003,33495544
Early-demographic dividend,EAR,2004,36951024
Early-demographic dividend,EAR,2005,44473958
Early-demographic dividend,EAR,2006,48474936
Early-demographic dividend,EAR,2007,60134388
Early-demographic dividend,EAR,2008,67893464.2896
Early-demographic dividend,EAR,2009,66375942.1348474
Early-demographic dividend,EAR,2010,76835338
Early-demographic dividend,EAR,2011,83369839
Early-demographic dividend,EAR,2012,88281396
Early-demographic dividend,EAR,2013,91043883
Early-demographic dividend,EAR,2014,94058279
Early-demographic dividend,EAR,2015,97966975
Early-demographic dividend,EAR,2016,100491841.5
East Asia & Pacific,EAS,2000,111180913
East Asia & Pacific,EAS,2001,115948099
East Asia & Pacific,EAS,2002,137479148
East Asia & Pacific,EAS,2003,151803542
East Asia & Pacific,EAS,2004,174201309
East Asia & Pacific,EAS,2005,193780272
East Asia & Pacific,EAS,2006,217761320
East Asia & Pacific,EAS,2007,252296411
East Asia & Pacific,EAS,2008,269311779.7
East Asia & Pacific,EAS,2009,247674210.41178
East Asia & Pacific,EAS,2010,295148403
East Asia & Pacific,EAS,2011,316811372
East Asia & Pacific,EAS,2012,332482773.75
East Asia & Pacific,EAS,2013,350652186.75
East Asia & Pacific,EAS,2014,373115179
East Asia & Pacific,EAS,2015,379649539.75
