Country Name,Country Code,Year,Value
Albania,ALB,2009,61.5
Armenia,ARM,2010,64.3
Benin,BEN,2012,38.2
Burkina Faso,BFA,2010,20.3
Burundi,BDI,2010,49
Cambodia,KHM,2014,75.6
Cameroon,CMR,2011,16.8
Chad,TCD,2015,11.6
Comoros,COM,2012,20.8
"Congo, Dem. Rep.",COD,2014,30.7
"Congo, Rep.",COG,2012,26.8
Cote d'Ivoire,CIV,2012,25.2
Dominican Republic,DOM,2007,77
Ethiopia,ETH,2011,53.4
Gabon,GAB,2012,48
"Gambia, The",GMB,2013,40.5
Ghana,GHA,2014,52
Guinea,GIN,2012,22.7
Guyana,GUY,2009,71.3
Haiti,HTI,2012,56.3
Honduras,HND,2012,70.3
Jordan,JOR,2012,72.6
Kenya,KEN,2014,56
Kyrgyz Republic,KGZ,2012,76.6
Lesotho,LSO,2014,60.9
Liberia,LBR,2013,67.2
Madagascar,MDG,2009,35.9
Malawi,MWI,2010,42.2
Mali,MLI,2013,6.5
Mozambique,MOZ,2011,49.1
Namibia,NAM,2013,71.2
Nepal,NPL,2011,59.5
Niger,NER,2012,7.3
Nigeria,NGA,2013,50.8
Rwanda,RWA,2015,69.5
Senegal,SEN,2014,3.4
Sierra Leone,SLE,2013,40.2
Swaziland,SWZ,2007,48.9
Tajikistan,TJK,2012,40.9
Tanzania,TZA,2010,46.8
Togo,TGO,2014,29.6
Uganda,UGA,2011,49
Ukraine,UKR,2007,81
Zambia,ZMB,2014,46.6
Zimbabwe,ZWE,2015,59.9
