Country Name,Country Code,Year,Value
Albania,ALB,2011,3.47
Algeria,DZA,2012,3.75
Argentina,ARG,2005,6.11
Argentina,ARG,2010,7.92
Argentina,ARG,2013,8.19
Armenia,ARM,2004,4.58
Armenia,ARM,2008,4.38
Australia,AUS,2006,11.39
Austria,AUT,2009,8.68
Azerbaijan,AZE,2008,8.89
Belarus,BLR,2015,9.51
Belgium,BEL,2000,9.24
Belgium,BEL,2005,9.24
Belgium,BEL,2013,10.07
Bhutan,BTN,2007,5.07
Bolivia,BOL,2001,5.42
Brazil,BRA,2009,5.97
Brazil,BRA,2012,3.13
Bulgaria,BGR,2002,10.9
Bulgaria,BGR,2010,9.24
Cambodia,KHM,2004,1.25
Canada,CAN,2005,10
Canada,CAN,2010,10.35
Chile,CHL,2008,5.21
Chile,CHL,2015,9.86
China,CHN,2008,6.32
Colombia,COL,2012,5.28
Costa Rica,CRI,2004,6.53
Costa Rica,CRI,2011,3.54
Cuba,CUB,2001,5.35
Denmark,DNK,2001,10.14
Denmark,DNK,2009,11.25
Ecuador,ECU,2012,4.51
El Salvador,SLV,2010,11.34
Estonia,EST,2000,11.18
Estonia,EST,2010,10.76
Ethiopia,ETH,2013,8.68
Finland,FIN,2000,9.44
Finland,FIN,2010,10.07
France,FRA,2010,9.65
Germany,DEU,2002,9.86
Germany,DEU,2013,10
Ghana,GHA,2009,4.58
Greece,GRC,2014,6.32
Guatemala,GTM,2006,3.26
Guatemala,GTM,2011,4.72
Honduras,HND,2009,4.38
"Hong Kong SAR, China",HKG,2002,4.58
"Hong Kong SAR, China",HKG,2013,3.33
Hungary,HUN,2000,11.04
Hungary,HUN,2010,10.63
"Iran, Islamic Rep.",IRN,2009,5.21
Iraq,IRQ,2007,4.17
Ireland,IRL,2005,8.96
Italy,ITA,2003,6.39
Italy,ITA,2009,6.74
Japan,JPN,2001,3.13
Japan,JPN,2006,2.64
Japan,JPN,2011,2.92
Kazakhstan,KAZ,2000,13.82
Kazakhstan,KAZ,2003,17.36
Kazakhstan,KAZ,2006,15.07
Kazakhstan,KAZ,2012,7.71
"Korea, Rep.",KOR,2004,2.71
"Korea, Rep.",KOR,2009,3.06
"Korea, Rep.",KOR,2014,3.26
Kyrgyz Republic,KGZ,2000,13.82
Kyrgyz Republic,KGZ,2005,9.65
Kyrgyz Republic,KGZ,2010,6.32
Kyrgyz Republic,KGZ,2015,9.51
Lao PDR,LAO,2003,2.5
Lao PDR,LAO,2008,2.08
Lao PDR,LAO,2013,2.5
Latvia,LVA,2003,6.88
Lesotho,LSO,2003,6.18
Lithuania,LTU,2003,8.96
Luxembourg,LUX,2014,7.08
"Macedonia, FYR",MKD,2004,8.13
"Macedonia, FYR",MKD,2009,6.04
Madagascar,MDG,2001,3.82
Malawi,MWI,2005,1.25
Malaysia,MYS,2003,5.97
Mali,MLI,2008,2.5
Malta,MLT,2002,7.01
Mauritius,MUS,2003,4.79
Mexico,MEX,2002,6.53
Mexico,MEX,2009,8.4
Mexico,MEX,2014,10.07
Moldova,MDA,2012,10.28
Mongolia,MNG,2000,8.96
Mongolia,MNG,2007,8.26
Mongolia,MNG,2011,9.1
Morocco,MAR,2012,2.99
Netherlands,NLD,2001,8.47
Netherlands,NLD,2003,8.06
Netherlands,NLD,2006,9.79
Netherlands,NLD,2012,9.24
New Zealand,NZL,2010,10.56
Norway,NOR,2001,9.72
Norway,NOR,2011,9.86
Oman,OMN,2000,7.36
Oman,OMN,2008,7.99
Pakistan,PAK,2007,1.81
Panama,PAN,2011,6.25
Peru,PER,2010,8.4
Poland,POL,2004,9.86
Poland,POL,2013,9.93
Qatar,QAT,2013,7.64
Romania,ROU,2000,9.58
Romania,ROU,2012,9.31
Serbia,SRB,2011,9.44
Slovenia,SVN,2001,11.11
South Africa,ZAF,2000,5.76
South Africa,ZAF,2010,6.74
Spain,ESP,2003,6.6
Spain,ESP,2010,8.61
Sweden,SWE,2001,11.94
Sweden,SWE,2011,12.64
Switzerland,CHE,2000,10.14
Switzerland,CHE,2004,10.56
Switzerland,CHE,2007,11.25
Switzerland,CHE,2010,10.07
Switzerland,CHE,2013,10.76
Tanzania,TZA,2006,5
Tanzania,TZA,2014,4.44
Thailand,THA,2009,3.4
Tunisia,TUN,2006,2.71
Turkey,TUR,2006,6.11
Turkey,TUR,2015,3.68
United Kingdom,GBR,2001,9.65
United Kingdom,GBR,2005,8.06
United States,USA,2003,9.86
United States,USA,2004,9.79
United States,USA,2005,9.65
United States,USA,2006,9.58
United States,USA,2007,9.93
United States,USA,2008,9.44
United States,USA,2009,9.79
United States,USA,2010,9.93
United States,USA,2011,9.65
United States,USA,2012,9.38
United States,USA,2013,9.72
United States,USA,2014,9.72
United States,USA,2015,9.79
Uruguay,URY,2007,9.72
Uruguay,URY,2013,8.54
West Bank and Gaza,PSE,2000,3.06
West Bank and Gaza,PSE,2013,3.06
