Country Name,Country Code,Year,Value
East Asia & Pacific (excluding high income),EAP,2014,2725.37333048214
East Asia & Pacific (IDA & IBRD countries),TEA,2014,2725.37333048214
Late-demographic dividend,LTE,2014,4914.03257909551
Latin America & Caribbean,LCN,2014,9945.97282245374
Latin America & Caribbean (excluding high income),LAC,2014,9946.12539601309
Latin America & the Caribbean (IDA & IBRD countries),TLA,2014,10079.7506389415
Pacific island small states,PSS,2014,1531.65840820916
Upper middle income,UMC,2014,4708.74481827796
Albania,ALB,2013,1900
Andorra,AND,2014,5178
Armenia,ARM,2015,4198
Australia,AUS,2015,28907
Australia,AUS,2016,10156
Austria,AUT,2014,13795
Azerbaijan,AZE,2015,1842
Bahrain,BHR,2012,3899
Bangladesh,BGD,2011,161
Belarus,BLR,2014,8741
Belgium,BEL,2013,20712
Belize,BLZ,2014,1964
Bhutan,BTN,2015,2639
Brazil,BRA,2015,13940
Burkina Faso,BFA,2012,328
Cayman Islands,CYM,2015,8771
Chad,TCD,2012,52
China,CHN,2012,2732
Colombia,COL,2015,27385
Costa Rica,CRI,2014,3746
Cuba,CUB,2012,4757
Cyprus,CYP,2014,3057
Denmark,DNK,2015,21197
Ecuador,ECU,2015,1552
Estonia,EST,2014,9684
Ethiopia,ETH,2011,43
Fiji,FJI,2016,1490
Finland,FIN,2014,8850
Georgia,GEO,2014,5488
Guatemala,GTM,2012,1505
Isle of Man,IMN,2014,9770
Israel,ISR,2014,4879
Jordan,JOR,2015,2982
Kazakhstan,KAZ,2015,4459
Kiribati,KIR,2016,1718
Kosovo,XKX,2014,1558
Kyrgyz Republic,KGZ,2015,3045
Latvia,LVA,2015,18395
Mexico,MEX,2015,1303
Moldova,MDA,2014,4898
Mongolia,MNG,2014,5339
Morocco,MAR,2015,756
Nauru,NRU,2016,7130
Nepal,NPL,2011,209
New Zealand,NZL,2016,5308
Niger,NER,2014,263
Oman,OMN,2015,2293
Papua New Guinea,PNG,2016,1264
Peru,PER,2011,3005
Russian Federation,RUS,2010,6622
Samoa,WSM,2016,1552
San Marino,SMR,2015,5145
Saudi Arabia,SAU,2012,3399
Seychelles,SYC,2012,4268
Sierra Leone,SLE,2015,400
Solomon Islands,SLB,2016,868
South Sudan,SSD,2014,268
Spain,ESP,2014,10579
Sri Lanka,LKA,2015,4943
St. Vincent and the Grenadines,VCT,2015,2509
Sweden,SWE,2014,15228
Tajikistan,TJK,2015,1691
Timor-Leste,TLS,2016,433
Tonga,TON,2016,5061
Turkmenistan,TKM,2015,2698
Tuvalu,TUV,2016,3417
Uganda,UGA,2011,248
Uzbekistan,UZB,2015,2584
Vanuatu,VUT,2016,1277
"Yemen, Rep.",YEM,2014,158
