Country Name,Country Code,Year,Value
Arab World,ARB,1990,51.782662279868
Arab World,ARB,2000,70.1738583516019
Arab World,ARB,2013,85.2224508768484
Caribbean small states,CSS,2000,92.5855295881226
Caribbean small states,CSS,2013,96.4680194439522
Central Europe and the Baltics,CEB,1990,99.0160766612511
Central Europe and the Baltics,CEB,2000,99.4757003188155
Central Europe and the Baltics,CEB,2013,98.780669109964
Early-demographic dividend,EAR,2000,48.7736808573817
Early-demographic dividend,EAR,2013,77.2691999667939
East Asia & Pacific,EAS,1990,84.9943609916918
East Asia & Pacific,EAS,2000,85.2435873331289
East Asia & Pacific,EAS,2013,94.4289953153601
East Asia & Pacific (excluding high income),EAP,1990,83.9718716648524
East Asia & Pacific (excluding high income),EAP,2000,84.1805925678319
East Asia & Pacific (excluding high income),EAP,2013,94.0816747953973
East Asia & Pacific (IDA & IBRD countries),TEA,1990,83.9720443201083
East Asia & Pacific (IDA & IBRD countries),TEA,2000,84.0056616211518
East Asia & Pacific (IDA & IBRD countries),TEA,2013,94.0087267529998
Euro area,EMU,2000,99.3470005150431
Euro area,EMU,2013,98.8349294171
Europe & Central Asia,ECS,2000,95.407350346441
Europe & Central Asia,ECS,2013,99.0036116832492
Europe & Central Asia (excluding high income),ECA,1990,98.6015279118715
Europe & Central Asia (excluding high income),ECA,2000,92.1204605149748
Europe & Central Asia (excluding high income),ECA,2013,99.0137244317809
Europe & Central Asia (IDA & IBRD countries),TEC,1990,98.515539975517
Europe & Central Asia (IDA & IBRD countries),TEC,2000,92.6269636186843
Europe & Central Asia (IDA & IBRD countries),TEC,2013,99.0579524299584
European Union,EUU,2000,99.2991275782956
European Union,EUU,2013,98.799693418663
Fragile and conflict affected situations,FCS,2000,47.8642732666388
Fragile and conflict affected situations,FCS,2013,65.0909329939684
Heavily indebted poor countries (HIPC),HPC,2000,36.0094647778388
Heavily indebted poor countries (HIPC),HPC,2013,59.0037732201239
High income,HIC,2000,98.9944994168514
High income,HIC,2013,98.9383648319706
IBRD only,IBD,2000,70.5594701155657
IBRD only,IBD,2013,90.2307906722408
IDA & IBRD total,IBT,2000,59.0996775059628
IDA & IBRD total,IBT,2013,76.7597541936126
IDA blend,IDB,1990,30.8897130805233
IDA blend,IDB,2000,39.5529846964133
IDA blend,IDB,2013,50.0203508506118
IDA only,IDX,2000,32.1689324773524
IDA only,IDX,2013,57.290570282529
