Country Name,Country Code,Year,Value
Arab World,ARB,2017,12.0769765664156
Caribbean small states,CSS,2017,11.8601800419976
Central Europe and the Baltics,CEB,2017,6.86254248732533
Early-demographic dividend,EAR,2017,9.32621226070955
East Asia & Pacific,EAS,2017,8.57148231793073
East Asia & Pacific (excluding high income),EAP,2017,8.84021731256394
East Asia & Pacific (IDA & IBRD countries),TEA,2017,8.9006137382759
Euro area,EMU,2017,6.23497772655595
Europe & Central Asia,ECS,2017,6.80009710603723
Europe & Central Asia (excluding high income),ECA,2017,7.88190349854051
Europe & Central Asia (IDA & IBRD countries),TEC,2017,7.70651256582986
European Union,EUU,2017,6.10067781265229
Fragile and conflict affected situations,FCS,2017,7.00981350436934
Heavily indebted poor countries (HIPC),HPC,2017,5.87028383990434
High income,HIC,2017,7.94040873414764
IBRD only,IBD,2017,9.3185620820197
IDA & IBRD total,IBT,2017,8.63337772213024
IDA blend,IDB,2017,5.70375647925384
IDA only,IDX,2017,6.3127536059074
IDA total,IDA,2017,6.10994291515569
Late-demographic dividend,LTE,2017,9.00341281811876
Latin America & Caribbean,LCN,2017,8.72327572739841
Latin America & Caribbean (excluding high income),LAC,2017,8.70323789055849
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,8.70036731747201
Least developed countries: UN classification,LDC,2017,6.2750172704099
Low & middle income,LMY,2017,8.63345709261833
Low income,LIC,2017,5.29283978708395
Lower middle income,LMC,2017,8.69099537203412
Middle East & North Africa,MEA,2017,11.4287792435047
Middle East & North Africa (excluding high income),MNA,2017,10.6312157799809
Middle East & North Africa (IDA & IBRD countries),TMN,2017,10.6316663634217
Middle income,MIC,2017,8.94462864988955
North America,NAC,2017,10.4333827307125
OECD members,OED,2017,8.21836657775171
Other small states,OSS,2017,8.3110951254052
Pacific island small states,PSS,2017,15.1216060862215
Post-demographic dividend,PST,2017,7.50581031192399
Pre-demographic dividend,PRE,2017,4.87213021340662
Small states,SST,2017,9.36914172518085
South Asia,SAS,2017,9.93777344819448
South Asia (IDA & IBRD),TSA,2017,9.93777344819448
Sub-Saharan Africa,SSF,2017,4.84790945894333
Sub-Saharan Africa (excluding high income),SSA,2017,4.84721374461909
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,4.84790945894333
Upper middle income,UMC,2017,9.20545809429335
World,WLD,2017,8.50955672533589
Afghanistan,AFG,2017,9.59
Albania,ALB,2017,10.08
Algeria,DZA,2017,6.73
Andorra,AND,2017,7.97
Angola,AGO,2017,3.94
Antigua and Barbuda,ATG,2017,13.17
Argentina,ARG,2017,5.5
Armenia,ARM,2017,7.11
Aruba,ABW,2017,11.62
Australia,AUS,2017,5.07
Austria,AUT,2017,6.35
Azerbaijan,AZE,2017,7.11
"Bahamas, The",BHS,2017,13.17
Bahrain,BHR,2017,16.52
Bangladesh,BGD,2017,8.38
Barbados,BRB,2017,13.57
Belarus,BLR,2017,5.18
Belgium,BEL,2017,4.29
Belize,BLZ,2017,17.11
Benin,BEN,2017,0.99
Bermuda,BMU,2017,13
Bhutan,BTN,2017,9.75
Bolivia,BOL,2017,6.89
Bosnia and Herzegovina,BIH,2017,10.08
Botswana,BWA,2017,4.81
Brazil,BRA,2017,8.11
British Virgin Islands,VGB,2017,13.67
Brunei Darussalam,BRN,2017,12.79
Bulgaria,BGR,2017,5.81
Burkina Faso,BFA,2017,2.42
Burundi,BDI,2017,6.05
Cabo Verde,CPV,2017,2.42
Cambodia,KHM,2017,4
Cameroon,CMR,2017,7.2
Canada,CAN,2017,7.37
Cayman Islands,CYM,2017,13.22
Central African Republic,CAF,2017,6.1
Chad,TCD,2017,6.1
Channel Islands,CHI,2017,4.28
Chile,CHL,2017,8.46
China,CHN,2017,9.74
Colombia,COL,2017,7.44
Comoros,COM,2017,11.88
"Congo, Dem. Rep.",COD,2017,6.1
"Congo, Rep.",COG,2017,7.2
Costa Rica,CRI,2017,8.78
Cote d'Ivoire,CIV,2017,2.42
Croatia,HRV,2017,5.59
Cuba,CUB,2017,8.27
Curacao,CUW,2017,11.62
Cyprus,CYP,2017,9.24
Czech Republic,CZE,2017,6.82
Denmark,DNK,2017,6.41
Djibouti,DJI,2017,6.05
Dominica,DMA,2017,11.62
Dominican Republic,DOM,2017,8.2
Ecuador,ECU,2017,5.55
"Egypt, Arab Rep.",EGY,2017,17.31
El Salvador,SLV,2017,8.87
Equatorial Guinea,GNQ,2017,7.78
Eritrea,ERI,2017,6.05
Estonia,EST,2017,4.02
Ethiopia,ETH,2017,7.47
Fiji,FJI,2017,14.49
Finland,FIN,2017,5.76
France,FRA,2017,4.77
French Polynesia,PYF,2017,22.63
Gabon,GAB,2017,7.2
"Gambia, The",GMB,2017,1.91
Georgia,GEO,2017,7.11
Germany,DEU,2017,8.31
Ghana,GHA,2017,4.97
Greece,GRC,2017,4.55
Greenland,GRL,2017,2.16
Grenada,GRD,2017,10.71
Guam,GUM,2017,21.52
Guatemala,GTM,2017,10.18
Guinea,GIN,2017,2.42
Guinea-Bissau,GNB,2017,2.42
Guyana,GUY,2017,11.62
Haiti,HTI,2017,6.65
Honduras,HND,2017,7.21
"Hong Kong SAR, China",HKG,2017,8.33
Hungary,HUN,2017,7.55
Iceland,ISL,2017,5.31
India,IND,2017,10.39
Indonesia,IDN,2017,6.32
"Iran, Islamic Rep.",IRN,2017,9.59
Iraq,IRQ,2017,8.83
Ireland,IRL,2017,3.28
Israel,ISR,2017,6.74
Italy,ITA,2017,4.78
Jamaica,JAM,2017,11.28
Japan,JPN,2017,5.72
Jordan,JOR,2017,11.75
Kazakhstan,KAZ,2017,7.11
Kenya,KEN,2017,2.92
Kiribati,KIR,2017,22.66
"Korea, Dem. People’s Rep.",PRK,2017,4
"Korea, Rep.",KOR,2017,6.8
Kuwait,KWT,2017,15.84
Kyrgyz Republic,KGZ,2017,7.11
Lao PDR,LAO,2017,4
Latvia,LVA,2017,4.91
Lebanon,LBN,2017,12.71
Lesotho,LSO,2017,3.94
Liberia,LBR,2017,2.42
Libya,LBY,2017,10.43
Liechtenstein,LIE,2017,7.77
Lithuania,LTU,2017,3.67
Luxembourg,LUX,2017,4.42
"Macedonia, FYR",MKD,2017,10.08
Madagascar,MDG,2017,3.94
Malawi,MWI,2017,3.94
Malaysia,MYS,2017,16.74
Maldives,MDV,2017,9.19
Mali,MLI,2017,2.42
Malta,MLT,2017,8.83
Marshall Islands,MHL,2017,30.53
Mauritania,MRT,2017,2.42
Mauritius,MUS,2017,22.02
Mexico,MEX,2017,13.06
"Micronesia, Fed. Sts.",FSM,2017,12.02
Moldova,MDA,2017,5.72
Monaco,MCO,2017,5.46
Mongolia,MNG,2017,4.82
Montenegro,MNE,2017,10.08
Morocco,MAR,2017,7.14
Mozambique,MOZ,2017,3.3
Myanmar,MMR,2017,4.61
Namibia,NAM,2017,3.94
Nauru,NRU,2017,24.07
Nepal,NPL,2017,7.26
Netherlands,NLD,2017,5.29
New Caledonia,NCL,2017,23.36
New Zealand,NZL,2017,8.08
Nicaragua,NIC,2017,11.47
Niger,NER,2017,2.42
Nigeria,NGA,2017,2.42
Norway,NOR,2017,5.31
Oman,OMN,2017,12.61
Pakistan,PAK,2017,8.35
Palau,PLW,2017,15.89
Panama,PAN,2017,8.33
Papua New Guinea,PNG,2017,17.65
Paraguay,PRY,2017,8.27
Peru,PER,2017,5.95
Philippines,PHL,2017,7.07
Poland,POL,2017,5.91
Portugal,PRT,2017,9.85
Puerto Rico,PRI,2017,12.9
Qatar,QAT,2017,16.52
Romania,ROU,2017,9.74
Russian Federation,RUS,2017,6.18
Rwanda,RWA,2017,4.28
Samoa,WSM,2017,9.21
San Marino,SMR,2017,5.64
Sao Tome and Principe,STP,2017,2.42
Saudi Arabia,SAU,2017,17.72
Senegal,SEN,2017,2.42
Serbia,SRB,2017,10.08
Seychelles,SYC,2017,10.55
Sierra Leone,SLE,2017,2.42
Singapore,SGP,2017,10.99
Slovak Republic,SVK,2017,7.29
Slovenia,SVN,2017,7.25
Solomon Islands,SLB,2017,18.68
Somalia,SOM,2017,6.05
South Africa,ZAF,2017,5.52
South Sudan,SSD,2017,10.43
Spain,ESP,2017,7.17
Sri Lanka,LKA,2017,10.68
St. Kitts and Nevis,KNA,2017,12.84
St. Lucia,LCA,2017,11.62
St. Vincent and the Grenadines,VCT,2017,11.62
Sudan,SDN,2017,15.67
Suriname,SUR,2017,12.54
Swaziland,SWZ,2017,3.94
Sweden,SWE,2017,4.79
Switzerland,CHE,2017,5.59
Syrian Arab Republic,SYR,2017,8.23
Tajikistan,TJK,2017,7.11
Tanzania,TZA,2017,5.75
Thailand,THA,2017,7.04
Timor-Leste,TLS,2017,6.86
Togo,TGO,2017,6.15
Tonga,TON,2017,15.42
Trinidad and Tobago,TTO,2017,10.97
Tunisia,TUN,2017,8.52
Turkey,TUR,2017,12.13
Turkmenistan,TKM,2017,7.11
Tuvalu,TUV,2017,27.25
Uganda,UGA,2017,2.5
Ukraine,UKR,2017,7.11
United Arab Emirates,ARE,2017,17.26
United Kingdom,GBR,2017,4.28
United States,USA,2017,10.79
Uruguay,URY,2017,6.93
Uzbekistan,UZB,2017,7.57
Vanuatu,VUT,2017,12.02
"Venezuela, RB",VEN,2017,6.47
Vietnam,VNM,2017,6
Virgin Islands (U.S.),VIR,2017,12.26
West Bank and Gaza,PSE,2017,10.59
"Yemen, Rep.",YEM,2017,5.35
Zambia,ZMB,2017,3.94
Zimbabwe,ZWE,2017,1.82
