Country Name,Country Code,Year,Value
Albania,ALB,1996,13.7
Albania,ALB,2002,12.6
Albania,ALB,2005,12.9
Albania,ALB,2008,13.1
Albania,ALB,2012,13.2
Algeria,DZA,1988,10.7
Algeria,DZA,1995,11.6
Algeria,DZA,2011,13.7
Angola,AGO,2008,9.6
Argentina,ARG,1980,10.2
Argentina,ARG,1986,9.8
Argentina,ARG,1987,9.2
Argentina,ARG,1991,9.1
Argentina,ARG,1992,9.2
Argentina,ARG,1993,9.3
Argentina,ARG,1994,9
Argentina,ARG,1995,8.4
Argentina,ARG,1996,8.2
Argentina,ARG,1997,8.2
Argentina,ARG,1998,7.8
Argentina,ARG,1999,8
Argentina,ARG,2000,7.6
Argentina,ARG,2001,7.1
Argentina,ARG,2002,6.9
Argentina,ARG,2003,7.6
Argentina,ARG,2004,8.1
Argentina,ARG,2005,8.4
Argentina,ARG,2006,8.6
Argentina,ARG,2007,8.7
Argentina,ARG,2008,9.2
Argentina,ARG,2009,9.3
Argentina,ARG,2010,9.5
Argentina,ARG,2011,9.7
Argentina,ARG,2012,9.9
Argentina,ARG,2013,10
Argentina,ARG,2014,9.8
Argentina,ARG,2016,9.6
Armenia,ARM,1999,11.6
Armenia,ARM,2001,11.9
Armenia,ARM,2002,12
Armenia,ARM,2003,12.4
Armenia,ARM,2004,11.5
Armenia,ARM,2005,11.8
Armenia,ARM,2006,13.1
Armenia,ARM,2007,12.8
Armenia,ARM,2008,13.1
Armenia,ARM,2009,13.5
Armenia,ARM,2010,13
Armenia,ARM,2011,13.2
Armenia,ARM,2012,13.2
Armenia,ARM,2013,12.9
Armenia,ARM,2014,12.7
Armenia,ARM,2015,12.6
Armenia,ARM,2016,12.1
Australia,AUS,1981,12.9
Australia,AUS,1985,12.6
Australia,AUS,1989,12.4
Australia,AUS,1995,12.5
Australia,AUS,2001,12.1
Australia,AUS,2003,12.1
Australia,AUS,2008,11.6
Australia,AUS,2010,11.8
Austria,AUT,2003,13.4
Austria,AUT,2004,13.2
Austria,AUT,2005,13.4
Austria,AUT,2006,13.3
Austria,AUT,2007,13.1
Austria,AUT,2008,13.3
Austria,AUT,2009,13
Austria,AUT,2010,13.2
Austria,AUT,2011,13.1
Austria,AUT,2012,13.3
Austria,AUT,2013,13.1
Austria,AUT,2014,13.2
Austria,AUT,2015,13.2
Azerbaijan,AZE,1995,12
Azerbaijan,AZE,2001,11.5
Azerbaijan,AZE,2002,16.3
Azerbaijan,AZE,2003,15.9
Azerbaijan,AZE,2004,16.6
Azerbaijan,AZE,2005,16.4
Bangladesh,BGD,1983,14.3
Bangladesh,BGD,1985,13.8
Bangladesh,BGD,1988,13.4
Bangladesh,BGD,1991,13.6
Bangladesh,BGD,1995,12.5
Bangladesh,BGD,2000,12.1
Bangladesh,BGD,2005,12.2
Bangladesh,BGD,2010,12.5
Bangladesh,BGD,2016,12.4
Belarus,BLR,1998,12.6
Belarus,BLR,1999,12.6
Belarus,BLR,2000,12.9
Belarus,BLR,2001,13
Belarus,BLR,2002,13.1
Belarus,BLR,2003,13.5
Belarus,BLR,2004,14
Belarus,BLR,2005,13.8
Belarus,BLR,2006,13.5
Belarus,BLR,2007,13.2
Belarus,BLR,2008,13.6
Belarus,BLR,2009,13.8
Belarus,BLR,2010,13.4
Belarus,BLR,2011,13.9
Belarus,BLR,2012,14
Belarus,BLR,2013,14
Belarus,BLR,2014,14
Belarus,BLR,2015,14
Belarus,BLR,2016,14.1
Belgium,BEL,2003,13.9
Belgium,BEL,2004,13.4
Belgium,BEL,2005,13.6
Belgium,BEL,2006,13.9
Belgium,BEL,2007,13.6
Belgium,BEL,2008,13.9
Belgium,BEL,2009,13.9
Belgium,BEL,2010,13.9
Belgium,BEL,2011,14
Belgium,BEL,2012,14.1
Belgium,BEL,2013,14.1
Belgium,BEL,2014,13.9
Belgium,BEL,2015,14
Belize,BLZ,1993,6.5
Belize,BLZ,1994,6.5
Belize,BLZ,1996,7.1
Belize,BLZ,1997,6.4
Belize,BLZ,1998,7
Belize,BLZ,1999,7.7
Benin,BEN,2003,10.9
Benin,BEN,2011,9.6
Benin,BEN,2015,9.6
Bhutan,BTN,2003,8.8
Bhutan,BTN,2007,10.8
Bhutan,BTN,2012,10.8
Bolivia,BOL,1990,9.7
Bolivia,BOL,1997,6.4
Bolivia,BOL,1999,5.7
Bolivia,BOL,2000,5.3
Bolivia,BOL,2001,6.5
Bolivia,BOL,2002,6.1
Bolivia,BOL,2004,7.2
Bolivia,BOL,2005,6.1
Bolivia,BOL,2006,6.5
Bolivia,BOL,2007,6.8
Bolivia,BOL,2008,8
Bolivia,BOL,2009,8.5
Bolivia,BOL,2011,9.2
Bolivia,BOL,2012,9
Bolivia,BOL,2013,8.8
Bolivia,BOL,2014,8.8
Bolivia,BOL,2015,9
Bolivia,BOL,2016,9.5
Bosnia and Herzegovina,BIH,2001,13.3
Bosnia and Herzegovina,BIH,2004,12.1
