Country Name,Country Code,Year,Value
Albania,ALB,1996,17.7
Albania,ALB,2002,16.5
Albania,ALB,2005,17
Albania,ALB,2008,16.8
Albania,ALB,2012,17.3
Algeria,DZA,1988,14.9
Algeria,DZA,1995,16.2
Algeria,DZA,2011,17.5
Angola,AGO,2008,14.5
Argentina,ARG,1980,15.4
Argentina,ARG,1986,14.8
Argentina,ARG,1987,14.2
Argentina,ARG,1991,13.3
Argentina,ARG,1992,13.9
Argentina,ARG,1993,14.3
Argentina,ARG,1994,14
Argentina,ARG,1995,13.3
Argentina,ARG,1996,13.1
Argentina,ARG,1997,13.2
Argentina,ARG,1998,12.7
Argentina,ARG,1999,13.1
Argentina,ARG,2000,12.8
Argentina,ARG,2001,12.3
Argentina,ARG,2002,12.2
Argentina,ARG,2003,12.9
Argentina,ARG,2004,13.7
Argentina,ARG,2005,13.9
Argentina,ARG,2006,14.2
Argentina,ARG,2007,14.3
Argentina,ARG,2008,14.8
Argentina,ARG,2009,15.1
Argentina,ARG,2010,15
Argentina,ARG,2011,15.1
Argentina,ARG,2012,15.4
Argentina,ARG,2013,15.5
Argentina,ARG,2014,15.2
Argentina,ARG,2016,15
Armenia,ARM,1999,15.4
Armenia,ARM,2001,15.6
Armenia,ARM,2002,15.6
Armenia,ARM,2003,15.9
Armenia,ARM,2004,15
Armenia,ARM,2005,15.2
Armenia,ARM,2006,17
Armenia,ARM,2007,16.7
Armenia,ARM,2008,17
Armenia,ARM,2009,17.2
Armenia,ARM,2010,16.8
Armenia,ARM,2011,17
Armenia,ARM,2012,17.1
Armenia,ARM,2013,16.9
Armenia,ARM,2014,16.9
Armenia,ARM,2015,16.7
Armenia,ARM,2016,17
Australia,AUS,1981,16.9
Australia,AUS,1985,16.6
Australia,AUS,1989,16.6
Australia,AUS,1995,16.7
Australia,AUS,2001,16.4
Australia,AUS,2003,16.5
Australia,AUS,2008,15.9
Australia,AUS,2010,16.1
Austria,AUT,2003,17.4
Austria,AUT,2004,17.2
Austria,AUT,2005,17.5
Austria,AUT,2006,17.2
Austria,AUT,2007,17.3
Austria,AUT,2008,17.5
Austria,AUT,2009,17.4
Austria,AUT,2010,17.5
Austria,AUT,2011,17.4
Austria,AUT,2012,17.5
Austria,AUT,2013,17.2
Austria,AUT,2014,17.5
Austria,AUT,2015,17.6
Azerbaijan,AZE,1995,16.4
Azerbaijan,AZE,2001,15.3
Azerbaijan,AZE,2002,18.8
Azerbaijan,AZE,2003,18.7
Azerbaijan,AZE,2004,18.8
Azerbaijan,AZE,2005,18.5
Bangladesh,BGD,1983,17.9
Bangladesh,BGD,1985,17.2
Bangladesh,BGD,1988,17
Bangladesh,BGD,1991,17.3
Bangladesh,BGD,1995,15.7
Bangladesh,BGD,2000,15.6
Bangladesh,BGD,2005,15.6
Bangladesh,BGD,2010,16
Bangladesh,BGD,2016,16.1
Belarus,BLR,1998,16.9
Belarus,BLR,1999,17.2
Belarus,BLR,2000,17.2
Belarus,BLR,2001,17.2
Belarus,BLR,2002,17.2
Belarus,BLR,2003,17.5
Belarus,BLR,2004,17.9
Belarus,BLR,2005,17.8
Belarus,BLR,2006,17.7
Belarus,BLR,2007,17.3
Belarus,BLR,2008,17.7
Belarus,BLR,2009,17.7
Belarus,BLR,2010,17.5
Belarus,BLR,2011,17.8
Belarus,BLR,2012,17.9
Belarus,BLR,2013,17.8
Belarus,BLR,2014,17.7
Belarus,BLR,2015,17.7
Belarus,BLR,2016,17.5
Belgium,BEL,2003,17.9
Belgium,BEL,2004,17.1
Belgium,BEL,2005,17.3
Belgium,BEL,2006,17.7
Belgium,BEL,2007,17.4
Belgium,BEL,2008,17.6
Belgium,BEL,2009,17.7
Belgium,BEL,2010,17.8
Belgium,BEL,2011,18
Belgium,BEL,2012,18
Belgium,BEL,2013,18
Belgium,BEL,2014,17.8
Belgium,BEL,2015,18.1
Belize,BLZ,1993,10
Belize,BLZ,1994,9.8
Belize,BLZ,1996,10.7
Belize,BLZ,1997,10.2
Belize,BLZ,1998,11.3
Belize,BLZ,1999,12
Benin,BEN,2003,15
Benin,BEN,2011,13.4
Benin,BEN,2015,14.2
Bhutan,BTN,2003,12.9
Bhutan,BTN,2007,15.3
Bhutan,BTN,2012,15
Bolivia,BOL,1990,14.5
Bolivia,BOL,1997,11.1
Bolivia,BOL,1999,11.7
Bolivia,BOL,2000,10.7
Bolivia,BOL,2001,11.6
Bolivia,BOL,2002,11
Bolivia,BOL,2004,11.4
Bolivia,BOL,2005,10.8
Bolivia,BOL,2006,11.3
Bolivia,BOL,2007,11.8
Bolivia,BOL,2008,13.1
Bolivia,BOL,2009,13.9
Bolivia,BOL,2011,14.3
Bolivia,BOL,2012,14.5
Bolivia,BOL,2013,14
Bolivia,BOL,2014,13.8
Bolivia,BOL,2015,14.2
Bolivia,BOL,2016,14.9
Bosnia and Herzegovina,BIH,2001,17
Bosnia and Herzegovina,BIH,2004,16.3
Bosnia and Herzegovina,BIH,2007,16.6
Bosnia and Herzegovina,BIH,2011,16.7
Bosnia and Herzegovina,BIH,2015,16.6
Botswana,BWA,1985,11.4
Botswana,BWA,1993,9.8
Botswana,BWA,2002,7.8
Botswana,BWA,2009,9.5
Brazil,BRA,1981,10.5
Brazil,BRA,1982,10.3
Brazil,BRA,1983,10
Brazil,BRA,1984,10.2
Brazil,BRA,1985,11
Brazil,BRA,1986,10.3
Brazil,BRA,1987,10.1
Brazil,BRA,1988,9.6
Brazil,BRA,1989,8.9
Brazil,BRA,1990,9.7
Brazil,BRA,1992,12.2
Brazil,BRA,1993,10.1
Brazil,BRA,1995,10.1
Brazil,BRA,1996,10
Brazil,BRA,1997,10
Brazil,BRA,1998,10.1
Brazil,BRA,1999,10.2
Brazil,BRA,2001,10.5
Brazil,BRA,2002,10.5
Brazil,BRA,2003,10.7
Brazil,BRA,2004,11
Brazil,BRA,2005,11.1
Brazil,BRA,2006,11.2
Brazil,BRA,2007,11.6
Brazil,BRA,2008,11.8
Brazil,BRA,2009,12
Brazil,BRA,2011,12.2
Brazil,BRA,2012,12.3
Brazil,BRA,2013,12.3
Brazil,BRA,2014,12.5
Brazil,BRA,2015,12.7
Bulgaria,BGR,1992,17.1
Bulgaria,BGR,2006,17.1
Bulgaria,BGR,2007,16.3
Bulgaria,BGR,2008,16.9
Bulgaria,BGR,2009,17
Bulgaria,BGR,2010,16.7
Bulgaria,BGR,2011,17.1
Bulgaria,BGR,2012,16.6
Bulgaria,BGR,2013,16.7
Bulgaria,BGR,2014,16.2
Burkina Faso,BFA,1994,12
Burkina Faso,BFA,1998,12.1
Burkina Faso,BFA,2003,13.9
Burkina Faso,BFA,2009,14.7
Burkina Faso,BFA,2014,15
Burundi,BDI,1992,16.3
Burundi,BDI,1998,15.1
Burundi,BDI,2006,15.3
Burundi,BDI,2013,15
Cabo Verde,CPV,2001,11.7
Cabo Verde,CPV,2007,13
Cameroon,CMR,1996,13
Cameroon,CMR,2001,14.2
Cameroon,CMR,2007,14
Cameroon,CMR,2014,13.7
