Country Name,Country Code,Year,Value
Albania,ALB,1996,23.3
Albania,ALB,2002,22.2
Albania,ALB,2005,22.5
Albania,ALB,2008,22.2
Albania,ALB,2012,22.8
Algeria,DZA,1988,20.6
Algeria,DZA,1995,22.6
Algeria,DZA,2011,22.3
Angola,AGO,2008,21.9
Argentina,ARG,1980,22.6
Argentina,ARG,1986,21.9
Argentina,ARG,1987,21.5
Argentina,ARG,1991,20.4
Argentina,ARG,1992,21.5
Argentina,ARG,1993,22
Argentina,ARG,1994,21.6
Argentina,ARG,1995,20.8
Argentina,ARG,1996,21.2
Argentina,ARG,1997,21.3
Argentina,ARG,1998,21
Argentina,ARG,1999,21.3
Argentina,ARG,2000,21.3
Argentina,ARG,2001,21.1
Argentina,ARG,2002,20.3
Argentina,ARG,2003,21.9
Argentina,ARG,2004,22.4
Argentina,ARG,2005,22.4
Argentina,ARG,2006,22.7
Argentina,ARG,2007,22.7
Argentina,ARG,2008,23.1
Argentina,ARG,2009,23.2
Argentina,ARG,2010,22.9
Argentina,ARG,2011,22.9
Argentina,ARG,2012,23.4
Argentina,ARG,2013,23.5
Argentina,ARG,2014,23.4
Argentina,ARG,2016,22.7
Armenia,ARM,1999,21.2
Armenia,ARM,2001,20.9
Armenia,ARM,2002,20.8
Armenia,ARM,2003,20.8
Armenia,ARM,2004,20.2
Armenia,ARM,2005,20.2
Armenia,ARM,2006,22.1
Armenia,ARM,2007,22.1
Armenia,ARM,2008,22.4
Armenia,ARM,2009,22.4
Armenia,ARM,2010,21.7
Armenia,ARM,2011,22.2
Armenia,ARM,2012,22
Armenia,ARM,2013,22.2
Armenia,ARM,2014,22
Armenia,ARM,2015,21.8
Armenia,ARM,2016,22.8
Australia,AUS,1981,23.4
Australia,AUS,1985,23.1
Australia,AUS,1989,23.2
Australia,AUS,1995,22.9
Australia,AUS,2001,23.1
Australia,AUS,2003,23.1
Australia,AUS,2008,22.5
Australia,AUS,2010,22.7
Austria,AUT,2003,22.7
Austria,AUT,2004,22.5
Austria,AUT,2005,22.8
Austria,AUT,2006,22.6
Austria,AUT,2007,22.9
Austria,AUT,2008,22.6
Austria,AUT,2009,22.6
Austria,AUT,2010,22.9
Austria,AUT,2011,23
Austria,AUT,2012,23
Austria,AUT,2013,22.7
Austria,AUT,2014,22.7
Austria,AUT,2015,22.9
Azerbaijan,AZE,1995,22.5
Azerbaijan,AZE,2001,21.2
Azerbaijan,AZE,2002,21.7
Azerbaijan,AZE,2003,22.2
Azerbaijan,AZE,2004,21.6
Azerbaijan,AZE,2005,21.5
Bangladesh,BGD,1983,22.3
Bangladesh,BGD,1985,21.7
Bangladesh,BGD,1988,21.6
Bangladesh,BGD,1991,22
Bangladesh,BGD,1995,20.6
Bangladesh,BGD,2000,21
Bangladesh,BGD,2005,20.9
Bangladesh,BGD,2010,21.2
Bangladesh,BGD,2016,21.4
Belarus,BLR,1998,22.6
Belarus,BLR,1999,23.2
Belarus,BLR,2000,23
Belarus,BLR,2001,22.7
Belarus,BLR,2002,22.6
Belarus,BLR,2003,22.8
Belarus,BLR,2004,22.9
Belarus,BLR,2005,23
Belarus,BLR,2006,22.9
Belarus,BLR,2007,22.5
Belarus,BLR,2008,22.9
Belarus,BLR,2009,22.4
Belarus,BLR,2010,22.8
Belarus,BLR,2011,22.8
Belarus,BLR,2012,22.5
Belarus,BLR,2013,22.5
Belarus,BLR,2014,22.4
Belarus,BLR,2015,22.4
Belarus,BLR,2016,21.9
Belgium,BEL,2003,22.7
Belgium,BEL,2004,21.9
Belgium,BEL,2005,22.2
Belgium,BEL,2006,22.7
Belgium,BEL,2007,22.3
Belgium,BEL,2008,22.7
Belgium,BEL,2009,22.7
Belgium,BEL,2010,22.5
Belgium,BEL,2011,22.7
Belgium,BEL,2012,22.8
Belgium,BEL,2013,23
Belgium,BEL,2014,22.8
Belgium,BEL,2015,22.7
Belize,BLZ,1993,16.2
Belize,BLZ,1994,15.2
Belize,BLZ,1996,17.6
Belize,BLZ,1997,16.6
Belize,BLZ,1998,19.1
Belize,BLZ,1999,19.4
Benin,BEN,2003,20.9
Benin,BEN,2011,20.2
Benin,BEN,2015,20.8
Bhutan,BTN,2003,20
Bhutan,BTN,2007,22.1
Bhutan,BTN,2012,21.4
Bolivia,BOL,1990,22
Bolivia,BOL,1997,18.8
Bolivia,BOL,1999,20.8
Bolivia,BOL,2000,18.8
Bolivia,BOL,2001,19.5
Bolivia,BOL,2002,18.9
Bolivia,BOL,2004,18.8
Bolivia,BOL,2005,19.2
Bolivia,BOL,2006,19.8
Bolivia,BOL,2007,19.8
Bolivia,BOL,2008,20.9
Bolivia,BOL,2009,21.3
Bolivia,BOL,2011,22.2
Bolivia,BOL,2012,22.5
Bolivia,BOL,2013,21.7
Bolivia,BOL,2014,21.3
Bolivia,BOL,2015,21.8
Bolivia,BOL,2016,22.8
Bosnia and Herzegovina,BIH,2001,22.1
Bosnia and Herzegovina,BIH,2004,22.4
Bosnia and Herzegovina,BIH,2007,23
Bosnia and Herzegovina,BIH,2011,22.9
Bosnia and Herzegovina,BIH,2015,22.8
Botswana,BWA,1985,19.2
Botswana,BWA,1993,16.4
Botswana,BWA,2002,15.8
Botswana,BWA,2009,16.9
Brazil,BRA,1981,18.4
Brazil,BRA,1982,18.3
Brazil,BRA,1983,18.1
Brazil,BRA,1984,18.1
Brazil,BRA,1985,19.6
Brazil,BRA,1986,18.2
Brazil,BRA,1987,18.1
Brazil,BRA,1988,17.5
Brazil,BRA,1989,16.8
Brazil,BRA,1990,17.9
Brazil,BRA,1992,20.8
Brazil,BRA,1993,17.5
Brazil,BRA,1995,17.9
Brazil,BRA,1996,18.2
Brazil,BRA,1997,18.1
Brazil,BRA,1998,17.9
Brazil,BRA,1999,18
Brazil,BRA,2001,18.5
Brazil,BRA,2002,18.4
Brazil,BRA,2003,18.7
Brazil,BRA,2004,18.8
Brazil,BRA,2005,18.7
Brazil,BRA,2006,18.8
Brazil,BRA,2007,19.2
Brazil,BRA,2008,19.3
Brazil,BRA,2009,19.4
Brazil,BRA,2011,19.5
Brazil,BRA,2012,19.4
Brazil,BRA,2013,19.4
Brazil,BRA,2014,19.7
Brazil,BRA,2015,19.7
Bulgaria,BGR,1992,22.3
Bulgaria,BGR,2006,23
Bulgaria,BGR,2007,22.3
Bulgaria,BGR,2008,22.6
Bulgaria,BGR,2009,22.8
Bulgaria,BGR,2010,22.7
Bulgaria,BGR,2011,22.7
Bulgaria,BGR,2012,22.4
Bulgaria,BGR,2013,22.6
Bulgaria,BGR,2014,22.1
Burkina Faso,BFA,1994,18.8
Burkina Faso,BFA,1998,17.5
Burkina Faso,BFA,2003,20.9
Burkina Faso,BFA,2009,20.9
Burkina Faso,BFA,2014,20.6
Burundi,BDI,1992,22
Burundi,BDI,1998,21.5
Burundi,BDI,2006,21
Burundi,BDI,2013,20.8
Cabo Verde,CPV,2001,18.6
Cabo Verde,CPV,2007,20
Cameroon,CMR,1996,19.6
Cameroon,CMR,2001,20.6
Cameroon,CMR,2007,21.5
Cameroon,CMR,2014,21.6
Canada,CAN,1981,23.1
Canada,CAN,1987,23
Canada,CAN,1991,23.1
Canada,CAN,1994,23
Canada,CAN,1997,23.1
Canada,CAN,1998,22.8
Canada,CAN,2000,22.7
Canada,CAN,2004,22.9
Canada,CAN,2007,22.6
Canada,CAN,2010,22.7
Canada,CAN,2013,23.3
Central African Republic,CAF,1992,18.5
Central African Republic,CAF,2003,21.8
Central African Republic,CAF,2008,17.7
Chad,TCD,2003,21.9
Chad,TCD,2011,21.8
Chile,CHL,1987,17.9
Chile,CHL,1990,17.3
Chile,CHL,1992,17.9
Chile,CHL,1994,17.7
Chile,CHL,1996,18.2
Chile,CHL,1998,18
Chile,CHL,2000,18.7
Chile,CHL,2003,19.1
Chile,CHL,2006,19.7
Chile,CHL,2009,19.2
Chile,CHL,2011,19.4
Chile,CHL,2013,19.2
Chile,CHL,2015,19.7
China,CHN,2008,22.2
China,CHN,2012,22.3
Colombia,COL,1992,19.4
Colombia,COL,1996,18.5
Colombia,COL,1999,18.2
Colombia,COL,2000,18.1
Colombia,COL,2001,18.4
Colombia,COL,2002,18.4
Colombia,COL,2003,18.9
Colombia,COL,2004,18.4
Colombia,COL,2005,18.8
Colombia,COL,2008,19
Colombia,COL,2009,19.2
Colombia,COL,2010,19
Colombia,COL,2011,19.3
Colombia,COL,2012,19.7
Colombia,COL,2013,19.6
Colombia,COL,2014,19.5
Colombia,COL,2015,20
Colombia,COL,2016,19.9
Comoros,COM,2004,16.6
Comoros,COM,2013,22.2
"Congo, Dem. Rep.",COD,2004,21.6
"Congo, Dem. Rep.",COD,2012,21.6
"Congo, Rep.",COG,2005,20.4
"Congo, Rep.",COG,2011,20.7
Costa Rica,CRI,1981,22.8
Costa Rica,CRI,1986,24.9
Costa Rica,CRI,1989,22.4
Costa Rica,CRI,1990,22.5
Costa Rica,CRI,1991,22.1
Costa Rica,CRI,1992,22
Costa Rica,CRI,1993,22.1
Costa Rica,CRI,1994,21.4
Costa Rica,CRI,1995,22
Costa Rica,CRI,1996,21.9
Costa Rica,CRI,1997,21.8
Costa Rica,CRI,1998,21.7
Costa Rica,CRI,1999,21.1
