Country Name,Country Code,Year,Value
Albania,ALB,1996,9.2
Albania,ALB,2002,8.4
Albania,ALB,2005,8.4
Albania,ALB,2008,8.9
Albania,ALB,2012,8.9
Algeria,DZA,1988,6.5
Algeria,DZA,1995,7
Algeria,DZA,2011,9.4
Angola,AGO,2008,5.4
Argentina,ARG,1980,5.3
Argentina,ARG,1986,5.1
Argentina,ARG,1987,4.6
Argentina,ARG,1991,4.8
Argentina,ARG,1992,4.6
Argentina,ARG,1993,4.5
Argentina,ARG,1994,4.4
Argentina,ARG,1995,3.8
Argentina,ARG,1996,3.5
Argentina,ARG,1997,3.6
Argentina,ARG,1998,3.4
Argentina,ARG,1999,3.5
Argentina,ARG,2000,3.2
Argentina,ARG,2001,2.6
Argentina,ARG,2002,2.8
Argentina,ARG,2003,3.2
Argentina,ARG,2004,3.5
Argentina,ARG,2005,3.6
Argentina,ARG,2006,3.7
Argentina,ARG,2007,3.9
Argentina,ARG,2008,4
Argentina,ARG,2009,4
Argentina,ARG,2010,4.6
Argentina,ARG,2011,4.8
Argentina,ARG,2012,4.9
Argentina,ARG,2013,5
Argentina,ARG,2014,5.1
Argentina,ARG,2016,5
Armenia,ARM,1999,7.6
Armenia,ARM,2001,7.7
Armenia,ARM,2002,8
Armenia,ARM,2003,8.7
Armenia,ARM,2004,7.6
Armenia,ARM,2005,8.1
Armenia,ARM,2006,8.9
Armenia,ARM,2007,8.4
Armenia,ARM,2008,9.1
Armenia,ARM,2009,9.4
Armenia,ARM,2010,9.1
Armenia,ARM,2011,9
Armenia,ARM,2012,9
Armenia,ARM,2013,8.6
Armenia,ARM,2014,8.4
Armenia,ARM,2015,8.2
Armenia,ARM,2016,7.9
Australia,AUS,1981,7.7
Australia,AUS,1985,7.5
Australia,AUS,1989,7.3
Australia,AUS,1995,7.6
Australia,AUS,2001,7.4
Australia,AUS,2003,7.4
Australia,AUS,2008,7.2
Australia,AUS,2010,7.3
Austria,AUT,2003,8.5
Austria,AUT,2004,8.6
Austria,AUT,2005,8.8
Austria,AUT,2006,8.6
Austria,AUT,2007,8
Austria,AUT,2008,8
Austria,AUT,2009,7.7
Austria,AUT,2010,8.1
Austria,AUT,2011,7.8
Austria,AUT,2012,7.8
Austria,AUT,2013,8.1
Austria,AUT,2014,8
Austria,AUT,2015,7.9
Azerbaijan,AZE,1995,7.1
Azerbaijan,AZE,2001,7.4
Azerbaijan,AZE,2002,12.9
Azerbaijan,AZE,2003,12.2
Azerbaijan,AZE,2004,13.3
Azerbaijan,AZE,2005,13.4
Bangladesh,BGD,1983,9.7
Bangladesh,BGD,1985,10
Bangladesh,BGD,1988,9.4
Bangladesh,BGD,1991,9.6
Bangladesh,BGD,1995,8.8
Bangladesh,BGD,2000,8.6
Bangladesh,BGD,2005,8.8
Bangladesh,BGD,2010,8.9
Bangladesh,BGD,2016,8.6
Belarus,BLR,1998,7.9
Belarus,BLR,1999,7.6
Belarus,BLR,2000,7.9
Belarus,BLR,2001,8.2
Belarus,BLR,2002,8.3
Belarus,BLR,2003,8.6
Belarus,BLR,2004,9.4
Belarus,BLR,2005,8.9
Belarus,BLR,2006,8.8
Belarus,BLR,2007,8.6
Belarus,BLR,2008,9
Belarus,BLR,2009,9.1
Belarus,BLR,2010,8.8
Belarus,BLR,2011,9.2
