Country Name,Country Code,Year,Value
Afghanistan,AFG,2007,7.9
Afghanistan,AFG,2011,8.4
Albania,ALB,2002,5.7
Albania,ALB,2005,4
Albania,ALB,2008,2.3
Albania,ALB,2012,2.9
Angola,AGO,2008,12.7
Armenia,ARM,2008,5.1
Armenia,ARM,2009,7.8
Armenia,ARM,2010,8.1
Armenia,ARM,2011,7.9
Armenia,ARM,2012,5.6
Armenia,ARM,2013,5.9
Armenia,ARM,2014,4.5
Azerbaijan,AZE,2007,2
Bangladesh,BGD,2000,12.8
Bangladesh,BGD,2005,9
Bangladesh,BGD,2010,6.5
Benin,BEN,2007,9.5
Benin,BEN,2009,10.4
Benin,BEN,2011,9.8
Bhutan,BTN,2007,6.1
Bhutan,BTN,2012,2.6
Bolivia,BOL,2000,40.2
Bolivia,BOL,2001,34.5
Bolivia,BOL,2002,34.9
Bolivia,BOL,2004,31.1
Bolivia,BOL,2005,33.3
Bolivia,BOL,2006,32.4
Bolivia,BOL,2007,30.5
Bolivia,BOL,2008,27.8
Bolivia,BOL,2009,24.6
Bolivia,BOL,2011,20
Bolivia,BOL,2012,20.2
Bolivia,BOL,2013,17.6
Bolivia,BOL,2014,16.9
Bolivia,BOL,2015,16.8
Botswana,BWA,2002,11.7
Botswana,BWA,2003,11.7
Burkina Faso,BFA,2003,19
Burkina Faso,BFA,2009,15.1
Burkina Faso,BFA,2014,9.7
Burundi,BDI,2006,36.7
Burundi,BDI,2014,25.1
Cabo Verde,CPV,2007,8.1
Cambodia,KHM,2003,14.7
Cambodia,KHM,2006,13.2
Cambodia,KHM,2008,8.7
Cambodia,KHM,2009,5.3
Cambodia,KHM,2010,4.7
Cambodia,KHM,2011,4.2
Cambodia,KHM,2012,3.1
Cameroon,CMR,1996,19.1
Cameroon,CMR,2001,12.8
Cameroon,CMR,2007,12.3
Cameroon,CMR,2014,14.4
Central African Republic,CAF,2008,33.1
Chad,TCD,2002,21.5
Chad,TCD,2011,19.7
Colombia,COL,2010,15.1
Colombia,COL,2011,13.4
Colombia,COL,2012,12.9
Colombia,COL,2013,11.8
Colombia,COL,2014,10.8
Colombia,COL,2015,10.3
Comoros,COM,2004,16.3
"Congo, Rep.",COG,2004,19.4
"Congo, Rep.",COG,2011,16.7
Costa Rica,CRI,2010,7.9
Costa Rica,CRI,2011,8.3
Costa Rica,CRI,2012,8.1
Costa Rica,CRI,2013,8.3
Costa Rica,CRI,2014,8.8
Costa Rica,CRI,2015,8.8
Cote d'Ivoire,CIV,2002,12.9
Cote d'Ivoire,CIV,2008,18.2
Cote d'Ivoire,CIV,2015,16.3
Ecuador,ECU,2007,15.3
Ecuador,ECU,2008,14.5
Ecuador,ECU,2009,14.4
Ecuador,ECU,2010,12.7
Ecuador,ECU,2011,10.8
Ecuador,ECU,2012,10.5
Ecuador,ECU,2013,9
Ecuador,ECU,2014,7.9
Ecuador,ECU,2015,8.5
"Egypt, Arab Rep.",EGY,1999,3
"Egypt, Arab Rep.",EGY,2004,3.6
Equatorial Guinea,GNQ,2006,45.3
Ethiopia,ETH,1995,12.9
Ethiopia,ETH,1999,11.9
Ethiopia,ETH,2004,8.3
Ethiopia,ETH,2010,7.8
Fiji,FJI,2002,12.2
Fiji,FJI,2008,9.9
Gabon,GAB,2005,10
"Gambia, The",GMB,2010,27.9
Ghana,GHA,2005,11
Ghana,GHA,2012,7.8
Guinea,GIN,1994,28.5
Guinea,GIN,2002,17.2
Guinea,GIN,2007,17.6
Guinea,GIN,2012,18.4
Guinea-Bissau,GNB,2002,25
Haiti,HTI,2012,24.4
Honduras,HND,2001,53.3
Honduras,HND,2002,53.9
Honduras,HND,2003,54.9
Honduras,HND,2004,55.4
Honduras,HND,2005,55.4
Honduras,HND,2006,53
Honduras,HND,2007,48.7
Honduras,HND,2008,46.9
Honduras,HND,2009,47.2
Honduras,HND,2010,49.1
Honduras,HND,2011,51.2
Honduras,HND,2012,52.8
Honduras,HND,2013,50.4
Honduras,HND,2014,49.3
India,IND,2004,8.4
India,IND,2009,6.2
India,IND,2011,4
Indonesia,IDN,2003,3.1
Indonesia,IDN,2004,3
Indonesia,IDN,2005,2.9
Indonesia,IDN,2006,3.7
Indonesia,IDN,2007,5.1
Indonesia,IDN,2008,2.8
Indonesia,IDN,2009,2.5
Indonesia,IDN,2010,2.2
Indonesia,IDN,2011,2.1
Indonesia,IDN,2012,1.9
Indonesia,IDN,2013,1.8
Indonesia,IDN,2014,1.8
Iraq,IRQ,2006,4.7
Iraq,IRQ,2012,4.1
Jordan,JOR,2008,2.6
Jordan,JOR,2010,3.6
Kazakhstan,KAZ,2001,14.8
Kazakhstan,KAZ,2002,13.3
Kazakhstan,KAZ,2003,10.2
Kazakhstan,KAZ,2004,8.3
Kazakhstan,KAZ,2005,7.5
Kazakhstan,KAZ,2006,3.9
Kazakhstan,KAZ,2007,2.4
Kazakhstan,KAZ,2008,2.3
Kazakhstan,KAZ,2009,1.3
Kazakhstan,KAZ,2010,1.1
Kazakhstan,KAZ,2011,0.9
Kazakhstan,KAZ,2012,0.5
Kazakhstan,KAZ,2013,0.4
Kazakhstan,KAZ,2014,0.4
Kazakhstan,KAZ,2015,0.3
Kenya,KEN,2005,16.3
Kyrgyz Republic,KGZ,2006,9.1
Kyrgyz Republic,KGZ,2007,6.6
Kyrgyz Republic,KGZ,2008,7.5
Kyrgyz Republic,KGZ,2009,6.1
Kyrgyz Republic,KGZ,2010,7.5
Kyrgyz Republic,KGZ,2011,7.5
Kyrgyz Republic,KGZ,2012,7.7
Kyrgyz Republic,KGZ,2013,7
Kyrgyz Republic,KGZ,2014,5.4
Lao PDR,LAO,1997,10.3
Lao PDR,LAO,2002,8
Lao PDR,LAO,2007,6.5
Lao PDR,LAO,2012,5.5
Lebanon,LBN,2012,7
Lesotho,LSO,1994,37.9
Lesotho,LSO,2002,28.9
Lesotho,LSO,2010,29.5
Liberia,LBR,2007,24.4
Madagascar,MDG,2001,35.9
Malawi,MWI,1997,23.4
Malawi,MWI,2004,17.8
Malawi,MWI,2010,18.9
Malaysia,MYS,2004,1.4
Malaysia,MYS,2007,0.8
Malaysia,MYS,2009,0.8
Maldives,MDV,2002,6
Maldives,MDV,2009,4.1
Mali,MLI,2001,21.2
Mali,MLI,2006,16.7
Mali,MLI,2009,13.2
Mauritania,MRT,2000,19.3
Mauritania,MRT,2004,15.3
Mauritania,MRT,2008,14.5
Mexico,MEX,2010,0.453
Mexico,MEX,2012,0.444
Mexico,MEX,2014,0.442
"Micronesia, Fed. Sts.",FSM,2013,15.1
Moldova,MDA,2006,7.9
Moldova,MDA,2007,5.9
Moldova,MDA,2008,6.4
Moldova,MDA,2009,5.9
Moldova,MDA,2010,4.5
Moldova,MDA,2011,3.2
Moldova,MDA,2012,2.9
Moldova,MDA,2013,2
Moldova,MDA,2014,1.5
Mongolia,MNG,2010,11.5
Mongolia,MNG,2011,9.2
Mongolia,MNG,2012,7.1
Mongolia,MNG,2014,5.2
Montenegro,MNE,2005,2.1
Montenegro,MNE,2006,1.9
Montenegro,MNE,2007,1.4
Montenegro,MNE,2008,0.9
Montenegro,MNE,2009,1.4
Montenegro,MNE,2010,1.1
Montenegro,MNE,2011,2
Montenegro,MNE,2012,2.8
Montenegro,MNE,2013,1.1
Morocco,MAR,1998,3.8
Morocco,MAR,2000,3.5
Morocco,MAR,2007,1.9
Mozambique,MOZ,1996,29.3
Mozambique,MOZ,2002,20.5
Mozambique,MOZ,2008,21.2
Namibia,NAM,1993,37.7
Namibia,NAM,2003,12.9
Namibia,NAM,2009,8.8
Nepal,NPL,2010,5.4
Nicaragua,NIC,2009,14.1
Nicaragua,NIC,2014,8.1
Niger,NER,2011,19.6
Nigeria,NGA,2003,18.4
Nigeria,NGA,2009,17
Pakistan,PAK,2013,5.83
Papua New Guinea,PNG,2009,15.7
Peru,PER,2007,14.2
Peru,PER,2008,12
Peru,PER,2009,10.4
Peru,PER,2010,9
Peru,PER,2011,7.8
Peru,PER,2012,7.1
Peru,PER,2013,6.2
Peru,PER,2014,5.8
Peru,PER,2015,5.4
Philippines,PHL,2003,5.6
Philippines,PHL,2006,5.76822
Philippines,PHL,2009,5.35989
Philippines,PHL,2012,5.14329
Russian Federation,RUS,2002,3.7
Russian Federation,RUS,2003,2.6
Russian Federation,RUS,2004,2.1
Russian Federation,RUS,2005,2.1
Russian Federation,RUS,2006,1.6
Russian Federation,RUS,2007,1.3
Russian Federation,RUS,2008,1.3
Russian Federation,RUS,2009,1.2
Russian Federation,RUS,2010,1.2
Russian Federation,RUS,2011,1.2
Russian Federation,RUS,2012,0.9
Russian Federation,RUS,2013,1
Russian Federation,RUS,2014,1
Russian Federation,RUS,2015,1.3
Rwanda,RWA,2005,24.4
Rwanda,RWA,2010,14.8
Senegal,SEN,2000,17.2
Senegal,SEN,2005,15.4
Senegal,SEN,2010,14.5
Seychelles,SYC,2006,12.2
Seychelles,SYC,2013,12.6
Sierra Leone,SLE,2003,27
Sierra Leone,SLE,2011,16.1
Solomon Islands,SLB,2013,3.2
South Africa,ZAF,2005,35.6
South Sudan,SSD,2009,23.7
Sri Lanka,LKA,2002,5.1
Sri Lanka,LKA,2006,3.1
Sri Lanka,LKA,2009,1.7
Sri Lanka,LKA,2012,1.2
Sudan,SDN,2009,16.2
Swaziland,SWZ,2000,32.4
Swaziland,SWZ,2009,30.4
Syrian Arab Republic,SYR,2004,7.4
Syrian Arab Republic,SYR,2007,7.4
Tanzania,TZA,2011,6.7
Timor-Leste,TLS,2001,10.5
Timor-Leste,TLS,2007,13.8
Timor-Leste,TLS,2014,10.4
Togo,TGO,2006,23.6
Togo,TGO,2011,24.4
Togo,TGO,2015,22.1
Uganda,UGA,1992,20.9
Uganda,UGA,1996,13.7
Uganda,UGA,1999,10
Uganda,UGA,2002,11.9
Uganda,UGA,2005,8.7
Uganda,UGA,2009,6.8
Uganda,UGA,2012,5.2
Uruguay,URY,2006,7.8
Uruguay,URY,2007,6.7
Uruguay,URY,2008,5.3
Uruguay,URY,2009,4.3
Uruguay,URY,2010,3.4
Uruguay,URY,2011,2.4
Uruguay,URY,2012,2.2
Uruguay,URY,2013,2.1
Uruguay,URY,2014,1.6
Uruguay,URY,2015,1.6
Vietnam,VNM,2010,5.9
Vietnam,VNM,2012,4.5
West Bank and Gaza,PSE,2010,6.4
West Bank and Gaza,PSE,2011,6
"Yemen, Rep.",YEM,2005,8.9
Zimbabwe,ZWE,2011,34.1
