Country Name,Country Code,Year,Value
Albania,ALB,2012,-1.22
Argentina,ARG,2016,0.15
Armenia,ARM,2016,2.25
Austria,AUT,2015,-0.47
Bangladesh,BGD,2016,1.35
Belarus,BLR,2016,4.06
Belgium,BEL,2015,0.57
Benin,BEN,2015,-4.8
Bolivia,BOL,2016,1.67
Bosnia and Herzegovina,BIH,2015,-0.45
Brazil,BRA,2015,3.8
Bulgaria,BGR,2014,0.43
Burkina Faso,BFA,2014,5.84
Chile,CHL,2015,5.97
China,CHN,2012,8.87
Colombia,COL,2016,3.49
Costa Rica,CRI,2016,2
Cote d'Ivoire,CIV,2015,0.74
Croatia,HRV,2015,0.02
Cyprus,CYP,2015,-4.34
Czech Republic,CZE,2015,1.42
Denmark,DNK,2015,0.57
Dominican Republic,DOM,2016,4.46
Ecuador,ECU,2016,2.95
"Egypt, Arab Rep.",EGY,2012,2.58
El Salvador,SLV,2016,4.08
Estonia,EST,2015,6.15
Ethiopia,ETH,2015,1.67
Fiji,FJI,2013,1
Finland,FIN,2015,0.53
France,FRA,2015,0.74
"Gambia, The",GMB,2015,4.63
Georgia,GEO,2016,6.44
Germany,DEU,2011,0.82
Greece,GRC,2015,-8.35
Honduras,HND,2016,1.17
Hungary,HUN,2015,1.19
Iceland,ISL,2014,-1.33
Indonesia,IDN,2014,4.05
"Iran, Islamic Rep.",IRN,2014,1.26
Ireland,IRL,2014,0.24
Italy,ITA,2014,-2.6
Jordan,JOR,2010,4.46
Kazakhstan,KAZ,2015,4.09
Kosovo,XKX,2015,3.5
Kyrgyz Republic,KGZ,2016,0.59
Latvia,LVA,2015,7.52
Lithuania,LTU,2015,6.65
Luxembourg,LUX,2014,-0.09
"Macedonia, FYR",MKD,2014,6.2
Madagascar,MDG,2012,-2.69
Malta,MLT,2014,4.52
Mauritania,MRT,2014,3.17
Mexico,MEX,2014,0.51
Moldova,MDA,2016,2.79
Mongolia,MNG,2016,0.69
Montenegro,MNE,2014,-2.73
Mozambique,MOZ,2014,1.56
Netherlands,NLD,2015,0.67
Nicaragua,NIC,2014,5.64
Norway,NOR,2015,2.11
Pakistan,PAK,2013,2.82
Panama,PAN,2016,4
Paraguay,PRY,2016,4.9
Peru,PER,2016,3.08
Philippines,PHL,2015,2.43
Poland,POL,2015,2.52
Portugal,PRT,2015,-0.87
Romania,ROU,2015,0.06
Russian Federation,RUS,2015,1.62
Rwanda,RWA,2013,0.68
Serbia,SRB,2015,-1.7
Slovak Republic,SVK,2015,-0.62
Slovenia,SVN,2015,-0.78
South Africa,ZAF,2014,-1.55
Spain,ESP,2015,-2.16
Sri Lanka,LKA,2016,4.8
Sweden,SWE,2015,0.62
Switzerland,CHE,2014,1.22
Tajikistan,TJK,2015,2.3
Thailand,THA,2013,4.81
Togo,TGO,2015,2.76
Turkey,TUR,2016,2.53
Uganda,UGA,2012,4.09
Ukraine,UKR,2016,-0.85
United Kingdom,GBR,2015,0.26
United States,USA,2016,1.33
Uruguay,URY,2016,3.18
Vietnam,VNM,2014,4.82
West Bank and Gaza,PSE,2011,0.21
Zambia,ZMB,2015,-0.59
