Country Name,Country Code,Year,Value
Albania,ALB,2008,4.28
Albania,ALB,2012,4.08
Argentina,ARG,2011,8.44
Argentina,ARG,2016,8.51
Armenia,ARM,2011,3.16
Armenia,ARM,2016,3.53
Austria,AUT,2010,29.76
Austria,AUT,2015,29.07
Bangladesh,BGD,2010,1.88
Bangladesh,BGD,2016,2.03
Belarus,BLR,2011,9.4
Belarus,BLR,2016,11.47
Belgium,BEL,2010,26.73
Belgium,BEL,2015,27.5
Benin,BEN,2011,1.06
Benin,BEN,2015,0.87
Bolivia,BOL,2011,4.07
Bolivia,BOL,2016,4.42
Bosnia and Herzegovina,BIH,2011,9.51
Bosnia and Herzegovina,BIH,2015,9.34
Brazil,BRA,2011,4.77
Brazil,BRA,2015,5.54
Bulgaria,BGR,2009,8.15
Bulgaria,BGR,2014,8.32
Burkina Faso,BFA,2009,1.04
Burkina Faso,BFA,2014,1.38
Chile,CHL,2009,5.21
Chile,CHL,2015,7.37
Colombia,COL,2011,3.57
Colombia,COL,2016,4.24
Costa Rica,CRI,2011,6.69
Costa Rica,CRI,2016,7.39
Cote d'Ivoire,CIV,2008,1.46
Cote d'Ivoire,CIV,2015,1.53
Croatia,HRV,2010,9.28
Croatia,HRV,2015,9.29
Cyprus,CYP,2010,27.05
Cyprus,CYP,2015,21.66
Czech Republic,CZE,2010,15.98
Czech Republic,CZE,2015,17.15
Denmark,DNK,2010,28.97
Denmark,DNK,2015,29.8
Dominican Republic,DOM,2011,4.22
Dominican Republic,DOM,2016,5.24
Ecuador,ECU,2011,4.1
Ecuador,ECU,2016,4.74
"Egypt, Arab Rep.",EGY,2010,2.84
"Egypt, Arab Rep.",EGY,2012,2.99
El Salvador,SLV,2011,3.46
El Salvador,SLV,2016,4.22
Estonia,EST,2010,10.71
Estonia,EST,2015,14.44
Ethiopia,ETH,2010,1.48
Ethiopia,ETH,2015,1.61
Fiji,FJI,2008,3.33
Fiji,FJI,2013,3.49
Finland,FIN,2010,28.13
Finland,FIN,2015,28.89
France,FRA,2010,26.41
France,FRA,2015,27.4
"Gambia, The",GMB,2010,1.86
"Gambia, The",GMB,2015,2.34
Georgia,GEO,2011,2.46
Georgia,GEO,2016,3.36
Germany,DEU,2007,27.44
Germany,DEU,2011,28.35
Greece,GRC,2010,14.56
Greece,GRC,2015,9.41
Honduras,HND,2011,2.15
Honduras,HND,2016,2.28
Hungary,HUN,2010,10.55
Hungary,HUN,2015,11.19
Iceland,ISL,2009,29.23
Iceland,ISL,2014,27.34
Indonesia,IDN,2011,2.12
Indonesia,IDN,2014,2.39
"Iran, Islamic Rep.",IRN,2009,6.59
"Iran, Islamic Rep.",IRN,2014,7.02
Ireland,IRL,2009,22.9
Ireland,IRL,2014,23.18
Italy,ITA,2009,20.54
Italy,ITA,2014,18.01
Jordan,JOR,2008,5.05
Jordan,JOR,2010,5.53
Kazakhstan,KAZ,2010,5.5
Kazakhstan,KAZ,2015,6.72
Kosovo,XKX,2012,4.66
Kosovo,XKX,2015,5.17
Kyrgyz Republic,KGZ,2011,3.07
Kyrgyz Republic,KGZ,2016,3.16
Latvia,LVA,2010,7.74
Latvia,LVA,2015,11.11
Lithuania,LTU,2010,7.91
Lithuania,LTU,2015,10.91
Luxembourg,LUX,2009,36.87
Luxembourg,LUX,2014,36.7
Madagascar,MDG,2010,0.64
Madagascar,MDG,2012,0.61
Malta,MLT,2009,18.64
Malta,MLT,2014,23.25
Mauritania,MRT,2008,2.37
Mauritania,MRT,2014,2.86
Mexico,MEX,2010,3.88
Mexico,MEX,2014,3.96
Moldova,MDA,2011,4.92
Moldova,MDA,2016,5.65
Mongolia,MNG,2011,4.33
Mongolia,MNG,2016,4.48
Montenegro,MNE,2009,8.64
Montenegro,MNE,2014,7.52
Mozambique,MOZ,2008,0.71
Mozambique,MOZ,2014,0.78
Netherlands,NLD,2010,27.9
Netherlands,NLD,2015,28.84
Nicaragua,NIC,2009,2.94
Nicaragua,NIC,2014,3.87
Norway,NOR,2010,36.54
Norway,NOR,2015,40.57
Pakistan,PAK,2007,2.07
Pakistan,PAK,2013,2.44
Panama,PAN,2011,5.74
Panama,PAN,2016,6.98
Paraguay,PRY,2011,4.21
Paraguay,PRY,2016,5.35
Peru,PER,2011,4.11
Peru,PER,2016,4.79
Philippines,PHL,2009,2.38
Philippines,PHL,2015,2.74
Poland,POL,2010,11
Poland,POL,2015,12.46
Portugal,PRT,2010,13.11
Portugal,PRT,2015,12.55
Romania,ROU,2010,4.25
Romania,ROU,2015,4.26
Russian Federation,RUS,2010,9.29
Russian Federation,RUS,2015,10.07
Rwanda,RWA,2010,0.92
Rwanda,RWA,2013,0.94
Serbia,SRB,2012,4.69
Serbia,SRB,2015,4.45
Slovak Republic,SVK,2010,13.17
Slovak Republic,SVK,2015,12.77
Slovenia,SVN,2010,21.12
Slovenia,SVN,2015,20.31
South Africa,ZAF,2010,2.12
South Africa,ZAF,2014,1.99
Spain,ESP,2010,17.74
Spain,ESP,2015,15.9
Sri Lanka,LKA,2012,3.37
Sri Lanka,LKA,2016,3.98
Sweden,SWE,2010,28.6
Sweden,SWE,2015,29.49
Switzerland,CHE,2009,31.76
Switzerland,CHE,2014,33.74
Tajikistan,TJK,2009,2.69
Tajikistan,TJK,2015,3.08
Thailand,THA,2009,5.42
Thailand,THA,2013,6.54
Togo,TGO,2011,0.89
Togo,TGO,2015,0.99
Turkey,TUR,2011,6.45
Turkey,TUR,2016,7.3
Uganda,UGA,2009,1.23
Uganda,UGA,2012,1.39
Ukraine,UKR,2011,7.34
Ukraine,UKR,2016,7.03
United Kingdom,GBR,2010,22
United Kingdom,GBR,2015,22.29
United States,USA,2010,24.36
United States,USA,2016,26.37
Uruguay,URY,2011,9.1
Uruguay,URY,2016,10.64
Vietnam,VNM,2010,3.29
