Country Name,Country Code,Year,Value
Albania,ALB,2012,-1.31
Argentina,ARG,2016,0
Armenia,ARM,2016,4.58
Austria,AUT,2015,-0.28
Bangladesh,BGD,2016,1.54
Belarus,BLR,2016,3.46
Belgium,BEL,2015,0.48
Benin,BEN,2015,0.04
Bolivia,BOL,2016,1.06
Bosnia and Herzegovina,BIH,2015,-0.79
Brazil,BRA,2015,2.19
Bulgaria,BGR,2014,2.11
Burkina Faso,BFA,2014,2.93
Chile,CHL,2015,5.49
China,CHN,2012,8.23
Colombia,COL,2016,1.48
Costa Rica,CRI,2016,1.95
Cote d'Ivoire,CIV,2015,-0.22
Croatia,HRV,2015,-0.65
Cyprus,CYP,2015,-3.04
Czech Republic,CZE,2015,1.03
Denmark,DNK,2015,0.45
Dominican Republic,DOM,2016,3.53
Ecuador,ECU,2016,1.92
"Egypt, Arab Rep.",EGY,2012,0.78
El Salvador,SLV,2016,2.93
Estonia,EST,2015,6.62
Ethiopia,ETH,2015,4.91
Fiji,FJI,2013,-0.86
Finland,FIN,2015,0.17
France,FRA,2015,0.21
"Gambia, The",GMB,2015,-0.48
Georgia,GEO,2016,4.32
Germany,DEU,2011,-0.29
Greece,GRC,2015,-6.98
Honduras,HND,2016,-1.95
Hungary,HUN,2015,1.73
Iceland,ISL,2014,-1.91
Indonesia,IDN,2014,3.62
"Iran, Islamic Rep.",IRN,2014,-1.26
Ireland,IRL,2014,-0.23
Italy,ITA,2014,-1.9
Jordan,JOR,2010,5.66
Kazakhstan,KAZ,2015,3.47
Kosovo,XKX,2015,1.57
Kyrgyz Republic,KGZ,2016,-0.03
Latvia,LVA,2015,6.47
Lithuania,LTU,2015,8.1
Luxembourg,LUX,2014,-0.28
"Macedonia, FYR",MKD,2014,1.9
Madagascar,MDG,2012,-1.05
Malta,MLT,2014,3.67
Mauritania,MRT,2014,1.44
Mexico,MEX,2014,0.74
Moldova,MDA,2016,0.39
Mongolia,MNG,2016,-0.03
Montenegro,MNE,2014,-2.27
Mozambique,MOZ,2014,5.25
Netherlands,NLD,2015,0.85
Nicaragua,NIC,2014,6.52
Norway,NOR,2015,2.95
Pakistan,PAK,2013,2.62
Panama,PAN,2016,3.89
Paraguay,PRY,2016,1.65
Peru,PER,2016,2.18
Philippines,PHL,2015,1.38
Poland,POL,2015,2.07
Portugal,PRT,2015,-0.74
Romania,ROU,2015,1.14
Russian Federation,RUS,2015,0.48
Rwanda,RWA,2013,0.07
Serbia,SRB,2015,-0.88
Slovak Republic,SVK,2015,-0.61
Slovenia,SVN,2015,-0.56
South Africa,ZAF,2014,-1.43
Spain,ESP,2015,-1.53
Sri Lanka,LKA,2016,5.28
Sweden,SWE,2015,1.91
Switzerland,CHE,2014,0.99
Tajikistan,TJK,2015,3.58
Thailand,THA,2013,3.49
Togo,TGO,2015,0.82
Turkey,TUR,2016,3.47
Uganda,UGA,2012,1.85
Ukraine,UKR,2016,-0.69
United Kingdom,GBR,2015,0.11
United States,USA,2016,1.65
Uruguay,URY,2016,1.76
Vietnam,VNM,2014,2.3
West Bank and Gaza,PSE,2011,0.35
Zambia,ZMB,2015,2.93
