Country Name,Country Code,Year,Value
Afghanistan,AFG,2011,5.1
Albania,ALB,2000,31.84332
Albania,ALB,2005,18.8
Albania,ALB,2010,4.6
Algeria,DZA,2013,6.48955221272624
Angola,AGO,2001,30.1
Argentina,ARG,2004,9.8
Argentina,ARG,2012,3.486703
Armenia,ARM,2010,7.5
Azerbaijan,AZE,2000,7.330279
Azerbaijan,AZE,2005,4.5
Bangladesh,BGD,2003,13.9129715635
Bangladesh,BGD,2006,6.4
Bangladesh,BGD,2013,4.224495
Belarus,BLR,2005,11.2
Belarus,BLR,2012,2.6
Benin,BEN,2006,76.1
Benin,BEN,2012,23.7
Bolivia,BOL,2002,22.5
Bolivia,BOL,2005,20.1
Bolivia,BOL,2008,31.1
Bolivia,BOL,2009,18.4
Bolivia,BOL,2013,20.52219
Bolivia,BOL,2015,12.59
Bosnia and Herzegovina,BIH,2000,17.6
Bosnia and Herzegovina,BIH,2006,9.5
Brazil,BRA,2004,4.60644
Brazil,BRA,2007,4
Brazil,BRA,2008,3.5
Brazil,BRA,2009,3.3
Brazil,BRA,2011,2.59
Brazil,BRA,2013,2.071282
Brazil,BRA,2014,2.20961609178223
Brazil,BRA,2015,1.53
Burkina Faso,BFA,2003,51
Burkina Faso,BFA,2006,34.5
Burkina Faso,BFA,2010,44.8
Burundi,BDI,2000,35.67728
Burundi,BDI,2005,11
Burundi,BDI,2010,32.4
Cambodia,KHM,2001,52.1
Cambodia,KHM,2004,48.1
Cambodia,KHM,2009,33.9
Cambodia,KHM,2012,12.1
Cameroon,CMR,2001,17.40652
Cameroon,CMR,2007,43.4
Cameroon,CMR,2011,60.4
Central African Republic,CAF,2000,67.6
Central African Republic,CAF,2010,37.9
Chad,TCD,2004,56.2
Chad,TCD,2010,34.2
Chad,TCD,2015,55.0893846020297
Chile,CHL,2003,3.1
Chile,CHL,2012,2.8
Colombia,COL,2005,1.8
Colombia,COL,2007,2.3
Colombia,COL,2009,4.39
Colombia,COL,2012,4.7
Colombia,COL,2014,4.455055
Colombia,COL,2015,4.1
"Congo, Dem. Rep.",COD,2000,39.8
"Congo, Dem. Rep.",COD,2007,31.5
"Congo, Dem. Rep.",COD,2010,21.4
"Congo, Dem. Rep.",COD,2014,43.6084959730716
"Congo, Rep.",COG,2005,30.183
"Congo, Rep.",COG,2012,31.6
Costa Rica,CRI,2004,3.5
Costa Rica,CRI,2011,1.6
Costa Rica,CRI,2016,0.63
Cote d'Ivoire,CIV,2000,40.5
Cote d'Ivoire,CIV,2006,43.6
Cote d'Ivoire,CIV,2012,36.4
Dominican Republic,DOM,2002,0.9
Dominican Republic,DOM,2005,2.7
Dominican Republic,DOM,2009,7.873248
Dominican Republic,DOM,2012,1.405777
Dominican Republic,DOM,2014,10.3160329660876
Ecuador,ECU,2004,9.3
Ecuador,ECU,2006,11.6
Ecuador,ECU,2009,5.2
Ecuador,ECU,2011,2.5
Ecuador,ECU,2015,5.179114
"Egypt, Arab Rep.",EGY,2005,4.3
"Egypt, Arab Rep.",EGY,2009,0.9
El Salvador,SLV,2003,8.1127204865
El Salvador,SLV,2007,3.8
El Salvador,SLV,2009,4.1
El Salvador,SLV,2011,4.357373
El Salvador,SLV,2012,4
El Salvador,SLV,2013,4.569547
Ethiopia,ETH,2005,47.1
Ethiopia,ETH,2011,19.5
Gabon,GAB,2012,22.6
"Gambia, The",GMB,2000,25.27115
"Gambia, The",GMB,2005,52.3
"Gambia, The",GMB,2008,34.3
"Gambia, The",GMB,2015,21.24
Georgia,GEO,2006,29.9
Ghana,GHA,2003,5.9
Ghana,GHA,2006,48
Ghana,GHA,2012,28.67899
Guatemala,GTM,2003,16
Guatemala,GTM,2004,10.5
Guatemala,GTM,2006,11.7
Guatemala,GTM,2012,11.4
Guatemala,GTM,2014,6.323827
Guatemala,GTM,2015,4.24633155138556
Guinea,GIN,1994,49.5
Guinea,GIN,2010,44.7
Guinea,GIN,2012,35.9
Guinea-Bissau,GNB,2000,67.5
Guinea-Bissau,GNB,2006,48.1
Guinea-Bissau,GNB,2014,62.4593338755161
Haiti,HTI,2006,29.6
Haiti,HTI,2012,35.2
Honduras,HND,2004,3.2
Honduras,HND,2007,4.1
Honduras,HND,2011,3
Honduras,HND,2013,3.8
Honduras,HND,2014,5.753953
India,IND,2000,5.1
India,IND,2005,4.2
India,IND,2006,13.1
India,IND,2010,2.1
India,IND,2012,1.6
Indonesia,IDN,2000,9.101751
Indonesia,IDN,2009,6.2
Indonesia,IDN,2010,3.2
Iraq,IRQ,2000,9.674926
Iraq,IRQ,2006,11.3
Iraq,IRQ,2011,4.3
Jamaica,JAM,2002,0.6
Jamaica,JAM,2005,8.3
Jamaica,JAM,2011,6
Jordan,JOR,2007,0.4
Jordan,JOR,2016,0.4
Kazakhstan,KAZ,1996,29.1
Kazakhstan,KAZ,2006,2.8
Kenya,KEN,1999,6.4
Kenya,KEN,2000,35.2
Kenya,KEN,2009,33.9214473789197
Kyrgyz Republic,KGZ,1998,7.6
Kyrgyz Republic,KGZ,2006,4.6
Kyrgyz Republic,KGZ,2007,35.6
Kyrgyz Republic,KGZ,2014,33.7031322400892
Lao PDR,LAO,2006,19.2
Lao PDR,LAO,2010,9.7
Lesotho,LSO,2000,27.52267
Lesotho,LSO,2002,1.3
Liberia,LBR,2007,37.1
Liberia,LBR,2010,15
"Macedonia, FYR",MKD,2006,8.6
"Macedonia, FYR",MKD,2011,19.2
Madagascar,MDG,2001,25.13218
Madagascar,MDG,2007,24.2
Malawi,MWI,2004,40.3
Malawi,MWI,2006,39.4
Malawi,MWI,2011,23.8
Malawi,MWI,2014,44.3497
Malawi,MWI,2015,47
Mali,MLI,2005,39.4
Mali,MLI,2006,44.1
Mali,MLI,2007,21.6
Mali,MLI,2013,27
Mauritania,MRT,2007,18.6
Mauritania,MRT,2011,12.77774
Mexico,MEX,2004,5.6
Mexico,MEX,2007,5.6
Mexico,MEX,2009,7.6
Mexico,MEX,2010,4.7
Mexico,MEX,2011,4.4
Mexico,MEX,2013,3.795669
Moldova,MDA,2000,32.8
Moldova,MDA,2009,23
Mongolia,MNG,2000,20.59043
Mongolia,MNG,2005,10.7
Mongolia,MNG,2007,8.6
Mongolia,MNG,2012,15.5
Mongolia,MNG,2013,12.176944811783
Morocco,MAR,1999,12.8
Morocco,MAR,2004,3
Mozambique,MOZ,1996,1.7
Mozambique,MOZ,2008,27.7
Namibia,NAM,1999,14.6857321465481
Nepal,NPL,1999,52.4
Nepal,NPL,2008,45.4
Nepal,NPL,2014,44.0913556662385
Nicaragua,NIC,2001,6.4996287654
Nicaragua,NIC,2005,3.9
Nicaragua,NIC,2010,21.2
Nicaragua,NIC,2012,38.95829
Niger,NER,2007,45
Niger,NER,2009,57.7
Niger,NER,2012,46.7
Nigeria,NGA,2007,40.1
Nigeria,NGA,2010,18.7
Nigeria,NGA,2011,36.04485
Pakistan,PAK,2008,16.2
Pakistan,PAK,2011,13.5
Panama,PAN,2003,2.2
Panama,PAN,2008,5.4
Panama,PAN,2010,3.1
Panama,PAN,2012,3.5
Panama,PAN,2014,4.133818
Paraguay,PRY,2005,7.7
Paraguay,PRY,2014,4.736176
Peru,PER,2000,22.3
Peru,PER,2007,39.4
Peru,PER,2011,19.4
Peru,PER,2014,24.79848
Peru,PER,2015,21.9941019785013
Philippines,PHL,2001,10.04384
Philippines,PHL,2011,7.2
Portugal,PRT,2001,2.63149165339076
Romania,ROU,2000,1.1
Rwanda,RWA,2000,30.3
Rwanda,RWA,2008,7
Rwanda,RWA,2010,19.8
Rwanda,RWA,2011,5.009021
Rwanda,RWA,2014,5.7
Senegal,SEN,2005,12.6
Senegal,SEN,2011,8.7
Senegal,SEN,2015,13.0532759871257
Serbia,SRB,2005,6.6
Serbia,SRB,2014,12.88802
Sierra Leone,SLE,2000,65.4
Sierra Leone,SLE,2005,61.8
Sierra Leone,SLE,2007,14.9
Sierra Leone,SLE,2008,52.5
Sierra Leone,SLE,2010,39.1
Sierra Leone,SLE,2013,57.5
Somalia,SOM,2006,41.5
South Africa,ZAF,1999,26.4
South Sudan,SSD,2008,45.7
Sri Lanka,LKA,1999,13.4
Sri Lanka,LKA,2009,8.5
Sudan,SDN,2000,16.78005
Sudan,SDN,2008,9.5
Sudan,SDN,2014,26.8674516848202
Swaziland,SWZ,2000,10.9
Swaziland,SWZ,2010,12.1
Syrian Arab Republic,SYR,2006,4.3
Tajikistan,TJK,1999,6.8
Tajikistan,TJK,2005,9.1
Tanzania,TZA,2001,39.2195644612
Tanzania,TZA,2006,27.1
Tanzania,TZA,2011,28.1
Tanzania,TZA,2014,34.17038
Thailand,THA,2005,14.4
Thailand,THA,2006,14.4
Timor-Leste,TLS,2001,8.1
Timor-Leste,TLS,2007,17.7
Togo,TGO,2006,37.4305
Togo,TGO,2010,47
Togo,TGO,2014,33.0719731364292
Trinidad and Tobago,TTO,2000,2.8
Trinidad and Tobago,TTO,2006,2.7
Tunisia,TUN,2012,2.7
Turkey,TUR,1999,3.8463579373
Turkey,TUR,2006,1.8
Uganda,UGA,2006,36.49879
Uganda,UGA,2012,36.3
Ukraine,UKR,2005,16.6
Ukraine,UKR,2012,5
Uruguay,URY,2009,5
Uzbekistan,UZB,2000,13.98417
Uzbekistan,UZB,2005,4.9
Uzbekistan,UZB,2006,4.9
"Venezuela, RB",VEN,2003,6.6
"Venezuela, RB",VEN,2005,3.6
"Venezuela, RB",VEN,2006,3.3
"Venezuela, RB",VEN,2013,2.389926
Vietnam,VNM,2006,21.6
Vietnam,VNM,2011,13.5
Vietnam,VNM,2012,10.1
"Yemen, Rep.",YEM,1999,13.97018
"Yemen, Rep.",YEM,2006,15.9
"Yemen, Rep.",YEM,2010,15
Zambia,ZMB,2005,46.76866
Zambia,ZMB,2008,33.3
Zimbabwe,ZWE,1999,13.3
