Country Name,Country Code,Year,Value
Albania,ALB,2008,40.43091
Algeria,DZA,2005,34.08693
Angola,AGO,2011,39.10256
Argentina,ARG,1997,159.12278
Argentina,ARG,1998,169.88775
Argentina,ARG,1999,155.7245
Argentina,ARG,2000,157.48519
Argentina,ARG,2001,165.75248
Argentina,ARG,2002,160.25572
Argentina,ARG,2003,167.79139
Argentina,ARG,2004,179.89207
Argentina,ARG,2005,198.95012
Argentina,ARG,2006,206.04797
Argentina,ARG,2007,193.44555
Argentina,ARG,2008,203.95296
Argentina,ARG,2009,225.74281
Argentina,ARG,2010,246.05271
Argentina,ARG,2011,271.05589
Argentina,ARG,2012,304.76141
Argentina,ARG,2013,318.78504
Argentina,ARG,2014,318.82252
Australia,AUS,2006,1013.84397
Australia,AUS,2008,1134.43637
Austria,AUT,1998,987.01685
Austria,AUT,2002,1256.22666
Austria,AUT,2004,1472.17928
Austria,AUT,2006,1792.36102
Austria,AUT,2007,1960.88801
Austria,AUT,2009,1998.3108
Austria,AUT,2011,2176.70464
Austria,AUT,2013,2393.04712
Bahrain,BHR,2014,16.8878
Belgium,BEL,1996,940.98022
Belgium,BEL,1997,973.3344
Belgium,BEL,1998,1006.90358
Belgium,BEL,1999,1063.76823
Belgium,BEL,2000,1405.09389
Belgium,BEL,2001,1458.35092
Belgium,BEL,2002,1481.75634
Belgium,BEL,2003,1466.8172
Belgium,BEL,2004,1403.11588
Belgium,BEL,2005,1424.67369
Belgium,BEL,2006,1347.36521
Belgium,BEL,2007,1383.9366
Belgium,BEL,2008,1461.53451
Belgium,BEL,2009,1472.61172
Belgium,BEL,2010,1317.53568
Belgium,BEL,2011,1378.98225
Bolivia,BOL,2009,35.55765
Bolivia,BOL,2010,25.96225
Bosnia and Herzegovina,BIH,2003,44.43413
Bosnia and Herzegovina,BIH,2004,51.51061
Bosnia and Herzegovina,BIH,2005,51.69567
Bosnia and Herzegovina,BIH,2006,63.80194
Bosnia and Herzegovina,BIH,2007,70.2835
Bosnia and Herzegovina,BIH,2012,37.35223
Bosnia and Herzegovina,BIH,2013,37.76612
Bosnia and Herzegovina,BIH,2014,47.54353
Bosnia and Herzegovina,BIH,2015,59.46857
Botswana,BWA,2012,69.39163
Botswana,BWA,2013,118.53839
Brazil,BRA,2000,336.357
Brazil,BRA,2001,322.99739
Brazil,BRA,2002,310.96035
Brazil,BRA,2003,358.64485
Brazil,BRA,2004,424.2131
Brazil,BRA,2005,460.91548
Brazil,BRA,2006,480.00443
Brazil,BRA,2007,508.74935
Brazil,BRA,2008,537.88142
Brazil,BRA,2009,591.5721
Brazil,BRA,2010,644.74743
Bulgaria,BGR,1996,987.23066
Bulgaria,BGR,1997,554.88326
Bulgaria,BGR,1998,597.9038
Bulgaria,BGR,1999,474.69577
Bulgaria,BGR,2000,479.09446
Bulgaria,BGR,2001,477.1634
Bulgaria,BGR,2002,471.84413
Bulgaria,BGR,2003,478.53688
Bulgaria,BGR,2004,480.57923
Bulgaria,BGR,2005,491.75971
Bulgaria,BGR,2006,504.02571
Bulgaria,BGR,2007,480.68424
Bulgaria,BGR,2008,497.49482
Bulgaria,BGR,2009,539.27202
Bulgaria,BGR,2010,500.04745
Bulgaria,BGR,2011,443.62985
Burkina Faso,BFA,2010,37.06644
Cabo Verde,CPV,2001,31.29492
Cabo Verde,CPV,2002,32.93837
Cabo Verde,CPV,2011,8.07821
Cambodia,KHM,2002,13.37094
Cambodia,KHM,2015,60.66415
Canada,CAN,1996,1121.96458
Canada,CAN,1997,1103.07317
Canada,CAN,1998,1100.14388
Canada,CAN,1999,1114.45626
Canada,CAN,2000,1236.07973
Canada,CAN,2001,1308.10719
Canada,CAN,2002,1362.79789
Canada,CAN,2003,1458.0686
Canada,CAN,2004,1616.61317
Canada,CAN,2005,1637.6629
Canada,CAN,2006,1757.05234
Canada,CAN,2007,1979.54811
Canada,CAN,2008,1958.74168
Canada,CAN,2009,1789.21946
Canada,CAN,2010,1521.70594
Canada,CAN,2011,1556.81588
Canada,CAN,2012,1372.02572
Canada,CAN,2013,1321.01026
Chile,CHL,2007,245.95278
Chile,CHL,2008,295.82379
Chile,CHL,2009,214.37963
Chile,CHL,2010,229.73782
Chile,CHL,2011,269.15516
Chile,CHL,2012,308.51364
Chile,CHL,2013,272.42083
Chile,CHL,2014,313.61294
Chile,CHL,2015,285.07783
"Congo, Rep.",COG,1996,43.63528
"Congo, Rep.",COG,1997,41.41092
