Country Name,Country Code,Year,Value
Caribbean small states,CSS,1990,81.3701201307097
Central Europe and the Baltics,CEB,1990,99.8199158184667
Central Europe and the Baltics,CEB,2000,99.6616636948283
Central Europe and the Baltics,CEB,2010,100
East Asia & Pacific,EAS,1990,17.7604399277964
East Asia & Pacific,EAS,2000,20.4904554123728
East Asia & Pacific,EAS,2010,22.8404212634346
East Asia & Pacific (excluding high income),EAP,1990,6.39604921814043
East Asia & Pacific (excluding high income),EAP,2000,8.56484914561166
East Asia & Pacific (excluding high income),EAP,2010,9.96375833308761
East Asia & Pacific (IDA & IBRD countries),TEA,1990,6.39604921814043
East Asia & Pacific (IDA & IBRD countries),TEA,2000,8.56484914561166
East Asia & Pacific (IDA & IBRD countries),TEA,2010,9.96375833308761
Euro area,EMU,1990,98.9414836525121
Euro area,EMU,2000,99.4943334654973
Euro area,EMU,2010,99.9670456867835
Europe & Central Asia,ECS,1990,94.8832656958483
Europe & Central Asia,ECS,2000,95.8591679041751
Europe & Central Asia,ECS,2010,98.2389382280492
Europe & Central Asia (excluding high income),ECA,1990,89.83119249599
Europe & Central Asia (excluding high income),ECA,2000,92.2770507987945
Europe & Central Asia (excluding high income),ECA,2010,96.3651370338877
Europe & Central Asia (IDA & IBRD countries),TEC,1990,90.7176163069221
Europe & Central Asia (IDA & IBRD countries),TEC,2000,92.7896424939586
Europe & Central Asia (IDA & IBRD countries),TEC,2010,96.6622688343248
European Union,EUU,1990,99.2769207216944
European Union,EUU,2000,99.5567424984031
European Union,EUU,2010,99.956865366023
High income,HIC,1990,98.6007759942551
High income,HIC,2000,98.8309068951006
High income,HIC,2010,98.7651338061741
Late-demographic dividend,LTE,1990,34.5806955120905
Late-demographic dividend,LTE,2000,37.3912637595292
Late-demographic dividend,LTE,2010,36.6032267740488
Latin America & Caribbean,LCN,1990,82.9252900889498
Latin America & Caribbean,LCN,2000,85.5448299944475
Latin America & Caribbean,LCN,2010,92.0889909553071
Latin America & Caribbean (excluding high income),LAC,1990,82.4234570633012
Latin America & Caribbean (excluding high income),LAC,2000,85.0076848241769
Latin America & Caribbean (excluding high income),LAC,2010,91.7897485183146
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,82.566063077567
Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,85.2374962903339
Latin America & the Caribbean (IDA & IBRD countries),TLA,2010,91.926343906479
North America,NAC,1990,98.4718902434532
North America,NAC,2000,97.6194290205346
North America,NAC,2010,98.1792651146031
OECD members,OED,1990,95.2503873050403
OECD members,OED,2000,96.4535898260356
OECD members,OED,2010,98.482587933262
Post-demographic dividend,PST,1990,98.6677446629838
Post-demographic dividend,PST,2000,98.912327277425
Post-demographic dividend,PST,2010,99.2461571328757
Upper middle income,UMC,1990,35.8884989151374
Upper middle income,UMC,2000,40.9835520093923
Upper middle income,UMC,2010,43.3560194293921
Albania,ALB,1992,73
Albania,ALB,1997,74.9
Albania,ALB,2002,67.8
Albania,ALB,2009,53
Andorra,AND,2010,80
Antigua and Barbuda,ATG,1992,92.2
Antigua and Barbuda,ATG,1997,87.7
Antigua and Barbuda,ATG,2002,83.7
Antigua and Barbuda,ATG,2008,80.2
Antigua and Barbuda,ATG,2012,79
Argentina,ARG,1992,99.9
Argentina,ARG,1997,100
Argentina,ARG,2002,99.9
Argentina,ARG,2009,99.2
Argentina,ARG,2011,100
Armenia,ARM,1992,70.1
Armenia,ARM,1997,79.7
Armenia,ARM,2002,74.4
Armenia,ARM,2011,76
Australia,AUS,1992,97.5
Australia,AUS,1997,96.6
Australia,AUS,2002,99.4
Australia,AUS,2007,99.1
Australia,AUS,2010,100
Austria,AUT,1992,100
Austria,AUT,1997,100
Austria,AUT,2002,100
Austria,AUT,2010,100
Austria,AUT,2011,100
Azerbaijan,AZE,1992,67.2
Azerbaijan,AZE,1997,67.5
Azerbaijan,AZE,2002,69
Azerbaijan,AZE,2007,93
"Bahamas, The",BHS,1992,99
"Bahamas, The",BHS,1997,95.9
"Bahamas, The",BHS,2002,93.9
"Bahamas, The",BHS,2007,89
"Bahamas, The",BHS,2009,93
Bahrain,BHR,1997,88.1
Bahrain,BHR,2002,94.6
Bahrain,BHR,2010,88
Barbados,BRB,1992,100
Barbados,BRB,1997,100
Barbados,BRB,2002,95.7
Barbados,BRB,2007,100
Barbados,BRB,2010,100
Belarus,BLR,1992,98.6
Belarus,BLR,1997,98.2
Belarus,BLR,2002,99.7
Belarus,BLR,2008,100
Belarus,BLR,2011,100
Belgium,BEL,1992,100
Belgium,BEL,1997,99.8
Belgium,BEL,2002,100
Belgium,BEL,2006,100
Belgium,BEL,2009,100
Belize,BLZ,1992,81.1
Belize,BLZ,1997,93.6
Belize,BLZ,2002,98.7
Belize,BLZ,2008,100
Belize,BLZ,2011,100
Bosnia and Herzegovina,BIH,1992,100
Bosnia and Herzegovina,BIH,2011,89
Brazil,BRA,1992,80.6
Brazil,BRA,1997,82.8
Brazil,BRA,2002,85.8
Brazil,BRA,2009,93
Brazil,BRA,2011,93
Brunei Darussalam,BRN,1997,100
Brunei Darussalam,BRN,2002,100
Brunei Darussalam,BRN,2010,92.6
Brunei Darussalam,BRN,2011,89
Bulgaria,BGR,1992,99.6
Bulgaria,BGR,1997,100
Bulgaria,BGR,2002,99.9
Bulgaria,BGR,2011,100
Canada,CAN,1992,99.3
Canada,CAN,1997,100
Canada,CAN,2002,100
Canada,CAN,2008,100
Canada,CAN,2010,100
Chile,CHL,1992,93
Chile,CHL,1997,94
Chile,CHL,2002,96.6
Chile,CHL,2008,97.7
Chile,CHL,2011,100
